============================================================
Profiler - epoch 0 (top 20 ops by self-CPU time)
============================================================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               CompiledFunctionBackward        36.20%       13.296s        68.10%       25.012s      50.123ms           499  
          create_aot_dispatcher_function (dynamo_timed)         8.08%        2.966s        14.94%        5.489s        2.744s             2  
                                       CompiledFunction         6.91%        2.537s        12.57%        4.617s       9.233ms           500  
                                              aten::add         6.14%        2.255s         6.33%        2.324s      73.152us         31775  
                                              aten::mul         5.57%        2.048s         5.78%        2.123s      83.927us         25298  
                                            aten::copy_         4.96%        1.822s         4.96%        1.822s      57.895us         31471  
                                               aten::mm         4.05%        1.488s         4.16%        1.528s     116.454us         13123  
                                            aten::fill_         3.70%        1.357s         3.70%        1.357s      63.274us         21451  
                                            aten::slice         2.15%     791.122ms         2.76%        1.013s      23.107us         43836  
                                   aten::slice_backward         1.66%     609.122ms        10.30%        3.782s     209.272us         18070  
                                  aten::linalg_lu_solve         1.65%     604.406ms         3.78%        1.388s     345.835us          4014  
                                              aten::sum         1.45%     532.611ms         1.48%     543.424ms     108.230us          5021  
                                              aten::neg         1.29%     472.849ms         1.33%     488.900ms      80.332us          6086  
                                        aten::unsqueeze         1.09%     400.966ms         1.37%     504.585ms      23.130us         21815  
                                            aten::empty         1.09%     398.777ms         1.09%     398.777ms      13.240us         30120  
                                              aten::pow         1.06%     389.693ms         1.55%     569.512ms      94.259us          6042  
                                           aten::arange         1.02%     373.485ms         2.32%     850.720ms      53.223us         15984  
                                          aten::squeeze         0.94%     345.157ms         1.17%     431.472ms      27.651us         15604  
                                       aten::as_strided         0.82%     302.698ms         0.83%     305.720ms       2.727us        112093  
                                              aten::bmm         0.80%     293.724ms         0.82%     301.069ms     149.562us          2013  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 36.729s

