============================================================
Profiler report — epoch 0 (top 20 ops by self-CPU time)
============================================================
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        11.09%     931.914ms        11.09%     931.914ms      27.057us         34442  
                                              aten::mul        10.50%     882.585ms        10.50%     882.585ms      33.960us         25989  
                                               aten::mm         8.18%     687.636ms         8.18%     687.636ms      52.968us         12982  
                                             aten::add_         6.82%     573.468ms         6.82%     573.468ms      26.121us         21954  
                                            aten::fill_         5.97%     501.938ms         5.97%     501.938ms      25.796us         19458  
                                              aten::add         3.72%     312.988ms         3.72%     312.988ms      32.884us          9518  
                                  aten::linalg_lu_solve         3.72%     312.921ms         8.83%     742.436ms     185.795us          3996  
                                              aten::neg         3.13%     263.106ms         3.13%     263.106ms      32.888us          8000  
                                            aten::slice         3.04%     255.351ms         3.72%     312.789ms       6.262us         49952  
                              aten::linalg_lu_factor_ex         2.88%     241.706ms         3.72%     312.310ms     156.155us          2000  
                                              aten::cat         2.78%     233.519ms         2.78%     233.519ms      38.784us          6021  
                                           aten::arange         2.58%     217.111ms         5.82%     489.350ms      30.615us         15984  
    autograd::engine::evaluate_function: SliceBackward0         2.14%     180.007ms        19.70%        1.656s      97.652us         16958  
                                              aten::sum         2.07%     174.326ms         2.07%     174.329ms      43.681us          3991  
                                   aten::slice_backward         1.77%     148.693ms        15.08%        1.267s      74.739us         16958  
                                              aten::pow         1.65%     138.459ms         2.40%     201.453ms      50.389us          3998  
                                       aten::as_strided         1.61%     135.536ms         1.61%     135.536ms       1.047us        129473  
      autograd::engine::evaluate_function: MulBackward0         1.58%     132.799ms         8.52%     716.465ms     102.411us          6996  
                                            aten::empty         1.53%     128.688ms         1.53%     128.688ms       4.603us         27956  
                                        aten::unsqueeze         1.19%      99.984ms         1.42%     118.956ms       4.568us         26043  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.406s

