[BLA-frf] loaded frf_init_ss.npz, nx=8
[BLA-frf] max|eig| = 1.000000, closest pole to z=1: 0.000e+00
[BLA-frf] |eig| = [1.       1.       0.999889 0.999889 0.99569  0.99569  0.937483 0.937483]
[BLA-frf] applied, zero_nonlinear=True
Model already initilized (init_model_done=True), skipping initilizing of the model, the norm and the creation of the optimizer
Size of the training array =  87.7 MB
N_training_samples = 9184, batch_size = 256, N_batch_updates_per_epoch = 35
Initial Validation sim-RMS= 0.21754673300598
Starting indefinite training until 12600.0 seconds have passed due to provided timeout
########## New lowest validation loss achieved ########### sim-RMS = 0.13715022509188873
It   35, sqrt loss  0.9492, Val sim-RMS 0.1372, Time Loss: 85.3%, data: 0.3%, val: 14.4%,  1.8 batches/sec
It   70, sqrt loss  0.7172, Val sim-RMS 0.1539, Time Loss: 86.3%, data: 0.3%, val: 13.5%,  1.6 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.10724068754478132
It  105, sqrt loss  0.6271, Val sim-RMS 0.1072, Time Loss: 86.2%, data: 0.2%, val: 13.6%,  1.5 batches/sec
It  140, sqrt loss  0.5326, Val sim-RMS 0.1198, Time Loss: 85.7%, data: 0.2%, val: 14.1%,  1.5 batches/sec
It  175, sqrt loss  0.4868, Val sim-RMS 0.1208, Time Loss: 86.0%, data: 0.3%, val: 13.7%,  1.5 batches/sec
It  210, sqrt loss  0.4529, Val sim-RMS 0.1155, Time Loss: 86.1%, data: 0.3%, val: 13.6%,  1.5 batches/sec
It  245, sqrt loss  0.4242, Val sim-RMS 0.1322, Time Loss: 85.6%, data: 0.3%, val: 14.2%,  1.6 batches/sec
It  280, sqrt loss   0.398, Val sim-RMS 0.1368, Time Loss: 85.6%, data: 0.3%, val: 14.1%,  1.6 batches/sec
It  315, sqrt loss  0.3698, Val sim-RMS 0.1574, Time Loss: 85.2%, data: 0.3%, val: 14.6%,  1.6 batches/sec
It  350, sqrt loss   0.341, Val sim-RMS 0.1572, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.5 batches/sec
It  385, sqrt loss  0.3233, Val sim-RMS 0.1666, Time Loss: 84.2%, data: 0.3%, val: 15.5%,  1.4 batches/sec
It  420, sqrt loss  0.3022, Val sim-RMS   0.13, Time Loss: 83.8%, data: 0.3%, val: 15.8%,  1.3 batches/sec
It  455, sqrt loss  0.2873, Val sim-RMS  0.156, Time Loss: 84.1%, data: 0.3%, val: 15.5%,  1.3 batches/sec
It  490, sqrt loss  0.2755, Val sim-RMS 0.1627, Time Loss: 84.3%, data: 0.4%, val: 15.4%,  1.3 batches/sec
It  525, sqrt loss  0.2635, Val sim-RMS 0.1495, Time Loss: 84.0%, data: 0.4%, val: 15.6%,  1.2 batches/sec
It  560, sqrt loss  0.2543, Val sim-RMS  0.153, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.2 batches/sec
It  595, sqrt loss  0.2353, Val sim-RMS 0.4517, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.2 batches/sec
It  630, sqrt loss   0.232, Val sim-RMS 0.1557, Time Loss: 84.0%, data: 0.4%, val: 15.6%,  1.1 batches/sec
It  665, sqrt loss  0.2414, Val sim-RMS 0.4917, Time Loss: 84.1%, data: 0.4%, val: 15.5%,  1.1 batches/sec
It  700, sqrt loss  0.2151, Val sim-RMS   0.68, Time Loss: 84.0%, data: 0.5%, val: 15.5%,  1.1 batches/sec
It  735, sqrt loss  0.2242, Val sim-RMS 0.5071, Time Loss: 83.9%, data: 0.5%, val: 15.5%,  1.0 batches/sec
It  770, sqrt loss  0.2296, Val sim-RMS 0.4305, Time Loss: 83.6%, data: 0.6%, val: 15.8%,  1.0 sec/batch
It  805, sqrt loss  0.2001, Val sim-RMS 0.3907, Time Loss: 83.8%, data: 0.6%, val: 15.6%,  1.0 sec/batch
It  840, sqrt loss  0.1919, Val sim-RMS 0.4952, Time Loss: 83.8%, data: 0.5%, val: 15.7%,  1.0 sec/batch
It  875, sqrt loss  0.1957, Val sim-RMS 0.1823, Time Loss: 83.8%, data: 0.5%, val: 15.7%,  1.0 sec/batch
It  910, sqrt loss  0.1854, Val sim-RMS  0.579, Time Loss: 83.8%, data: 0.5%, val: 15.7%,  1.0 sec/batch
