[BLA-frf] loaded truth_ss_fs800.npz, nx=8
[BLA-frf] max|eig| = 1.000000, closest pole to z=1: 0.000e+00
[BLA-frf] |eig| = [1.       1.       0.999192 0.998763 0.996286 0.996286 0.936582 0.936582]
[BLA-frf] applied, zero_nonlinear=True
Model already initilized (init_model_done=True), skipping initilizing of the model, the norm and the creation of the optimizer
Size of the training array =  87.7 MB
N_training_samples = 9184, batch_size = 256, N_batch_updates_per_epoch = 35
Initial Validation sim-RMS= 0.15225733443244543
Starting indefinite training until 12600.0 seconds have passed due to provided timeout
########## New lowest validation loss achieved ########### sim-RMS = 0.14065797133553362
It   35, sqrt loss  0.8855, Val sim-RMS 0.1407, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.8 batches/sec
It   70, sqrt loss   0.729, Val sim-RMS 0.1731, Time Loss: 85.9%, data: 0.4%, val: 13.7%,  1.6 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.11308055397337205
It  105, sqrt loss  0.6356, Val sim-RMS 0.1131, Time Loss: 85.8%, data: 0.4%, val: 13.8%,  1.5 batches/sec
It  140, sqrt loss  0.5024, Val sim-RMS 0.1142, Time Loss: 85.6%, data: 0.3%, val: 14.1%,  1.5 batches/sec
It  175, sqrt loss  0.4742, Val sim-RMS 0.1167, Time Loss: 86.0%, data: 0.4%, val: 13.6%,  1.5 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.09622332254597425
It  210, sqrt loss  0.4487, Val sim-RMS 0.09622, Time Loss: 86.1%, data: 0.3%, val: 13.6%,  1.5 batches/sec
It  245, sqrt loss  0.4286, Val sim-RMS 0.1191, Time Loss: 85.6%, data: 0.3%, val: 14.1%,  1.6 batches/sec
It  280, sqrt loss  0.4094, Val sim-RMS  0.143, Time Loss: 85.6%, data: 0.3%, val: 14.1%,  1.6 batches/sec
It  315, sqrt loss   0.388, Val sim-RMS 0.1451, Time Loss: 85.2%, data: 0.3%, val: 14.5%,  1.6 batches/sec
It  350, sqrt loss  0.3569, Val sim-RMS 0.1456, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.5 batches/sec
It  385, sqrt loss  0.3473, Val sim-RMS 0.1367, Time Loss: 84.3%, data: 0.3%, val: 15.4%,  1.4 batches/sec
It  420, sqrt loss  0.3263, Val sim-RMS  0.163, Time Loss: 84.0%, data: 0.3%, val: 15.7%,  1.3 batches/sec
It  455, sqrt loss  0.3091, Val sim-RMS 0.1578, Time Loss: 84.3%, data: 0.3%, val: 15.4%,  1.3 batches/sec
It  490, sqrt loss  0.2914, Val sim-RMS 0.1485, Time Loss: 84.4%, data: 0.3%, val: 15.3%,  1.3 batches/sec
It  525, sqrt loss  0.2947, Val sim-RMS 0.1609, Time Loss: 84.2%, data: 0.4%, val: 15.4%,  1.3 batches/sec
It  560, sqrt loss  0.2809, Val sim-RMS  0.178, Time Loss: 84.2%, data: 0.4%, val: 15.5%,  1.2 batches/sec
It  595, sqrt loss  0.2569, Val sim-RMS 0.1795, Time Loss: 84.0%, data: 0.4%, val: 15.6%,  1.2 batches/sec
It  630, sqrt loss   0.244, Val sim-RMS  0.211, Time Loss: 83.9%, data: 0.4%, val: 15.7%,  1.1 batches/sec
It  665, sqrt loss  0.2338, Val sim-RMS 0.2089, Time Loss: 84.0%, data: 0.4%, val: 15.6%,  1.1 batches/sec
It  700, sqrt loss  0.2296, Val sim-RMS 0.1916, Time Loss: 83.9%, data: 0.5%, val: 15.7%,  1.1 batches/sec
It  735, sqrt loss  0.2321, Val sim-RMS 0.1703, Time Loss: 83.8%, data: 0.5%, val: 15.7%,  1.0 batches/sec
It  770, sqrt loss  0.2116, Val sim-RMS  0.174, Time Loss: 83.5%, data: 0.6%, val: 15.9%,  1.0 sec/batch
It  805, sqrt loss  0.2134, Val sim-RMS 0.2079, Time Loss: 83.7%, data: 0.6%, val: 15.7%,  1.0 sec/batch
It  840, sqrt loss  0.2115, Val sim-RMS 0.1926, Time Loss: 83.7%, data: 0.6%, val: 15.8%,  1.0 sec/batch
It  875, sqrt loss  0.2012, Val sim-RMS 0.1818, Time Loss: 83.7%, data: 0.6%, val: 15.7%,  1.0 sec/batch
It  910, sqrt loss  0.2005, Val sim-RMS 0.2025, Time Loss: 83.7%, data: 0.6%, val: 15.7%,  1.0 sec/batch
It  945, sqrt loss  0.1875, Val sim-RMS 0.1953, Time Loss: 83.7%, data: 0.5%, val: 15.7%,  1.0 sec/batch
It  980, sqrt loss   0.184, Val sim-RMS 0.1598, Time Loss: 83.9%, data: 0.5%, val: 15.6%,  1.0 sec/batch
It 1015, sqrt loss  0.1761, Val sim-RMS 0.1756, Time Loss: 83.9%, data: 0.5%, val: 15.6%,  1.0 sec/batch
