time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T07:58:02,0.0,3,28.5,0.0,4.828,7.165,
2026-09-24T07:58:07,5.3,5,449.8,6.7,4.416,7.164,
2026-09-24T07:58:13,10.5,5,611.6,7.7,4.282,7.164,
2026-09-24T07:58:18,15.7,5,768.6,18.9,4.166,7.163,
2026-09-24T07:58:23,20.9,5,770.5,33.2,4.159,7.163,
2026-09-24T07:58:28,26.1,5,772.4,33.0,4.170,7.163,
2026-09-24T07:58:33,31.3,5,774.4,32.8,4.155,7.162,
2026-09-24T07:58:38,36.4,5,776.1,33.0,4.156,7.162,
2026-09-24T07:58:44,41.6,5,778.6,33.0,4.149,7.161,
2026-09-24T07:58:49,46.8,5,780.5,32.9,4.127,7.161,
2026-09-24T07:58:54,51.9,5,782.8,33.1,4.137,7.161,
2026-09-24T07:58:59,57.1,5,784.7,33.0,4.155,7.160,
2026-09-24T07:59:04,62.3,5,786.5,33.2,4.131,7.160,
2026-09-24T07:59:09,67.5,5,788.9,33.0,4.125,7.160,
2026-09-24T07:59:15,72.6,5,790.5,32.6,4.094,7.159,
2026-09-24T07:59:20,77.8,5,792.8,32.9,4.075,7.159,
2026-09-24T07:59:25,83.0,5,794.9,33.0,4.078,7.159,
2026-09-24T07:59:30,88.2,5,797.1,32.7,4.073,7.158,
2026-09-24T07:59:35,93.4,5,798.7,33.1,4.059,7.158,
2026-09-24T07:59:41,98.6,5,800.9,33.1,4.071,7.158,
2026-09-24T07:59:46,103.8,5,803.2,33.1,4.046,7.158,
2026-09-24T07:59:51,109.0,5,805.1,32.9,4.021,7.157,
2026-09-24T07:59:56,114.1,5,807.4,33.0,4.052,7.157,
2026-09-24T08:00:01,119.3,5,809.4,32.8,4.116,7.157,
2026-09-24T08:00:07,124.5,5,811.7,32.7,4.129,7.156,
2026-09-24T08:00:12,129.7,5,813.8,33.0,4.133,7.156,
2026-09-24T08:00:17,134.8,5,815.8,33.2,4.122,7.161,
2026-09-24T08:00:22,140.1,5,817.9,32.9,4.114,7.161,
2026-09-24T08:00:27,145.2,5,819.8,33.1,4.086,7.161,
2026-09-24T08:00:32,150.4,5,822.2,33.2,4.117,7.160,
2026-09-24T08:00:38,155.6,5,824.1,33.2,4.127,7.160,
2026-09-24T08:00:43,160.8,5,826.3,33.1,4.117,7.160,
2026-09-24T08:00:48,165.9,5,772.9,31.4,4.185,7.160,
2026-09-24T08:00:53,171.1,5,774.9,33.2,4.169,7.159,
2026-09-24T08:00:58,176.3,5,776.8,33.1,4.172,7.159,
2026-09-24T08:01:03,181.4,5,779.2,33.2,4.151,7.159,
2026-09-24T08:01:09,186.6,5,781.6,32.9,4.154,7.159,
2026-09-24T08:01:14,191.8,5,783.7,33.2,4.156,7.158,
2026-09-24T08:01:19,197.0,5,785.7,33.0,4.167,7.158,
2026-09-24T08:01:24,202.2,5,787.6,33.1,4.162,7.158,
2026-09-24T08:01:29,207.3,5,789.8,33.1,4.145,7.158,
2026-09-24T08:01:35,212.5,5,792.2,33.3,4.168,7.157,
2026-09-24T08:01:40,217.7,5,794.3,32.6,4.166,7.157,
2026-09-24T08:01:45,222.8,5,796.6,33.1,4.152,7.157,
2026-09-24T08:01:50,228.0,5,798.8,33.3,4.174,7.157,
2026-09-24T08:01:55,233.2,5,800.6,33.0,4.172,7.156,
2026-09-24T08:02:00,238.3,5,802.7,33.0,4.164,7.156,
2026-09-24T08:02:06,243.5,5,804.9,33.1,4.169,7.156,
2026-09-24T08:02:11,248.7,5,806.7,32.9,4.153,7.156,
2026-09-24T08:02:16,253.8,5,808.7,33.1,4.144,7.155,
2026-09-24T08:02:21,259.0,5,811.0,32.9,4.106,7.155,
2026-09-24T08:02:26,264.2,5,813.0,32.9,4.129,7.155,
2026-09-24T08:02:31,269.4,5,815.1,33.1,4.134,7.155,
2026-09-24T08:02:37,274.5,5,817.2,33.2,4.150,7.154,
2026-09-24T08:02:42,279.7,5,819.1,32.9,4.118,7.154,
2026-09-24T08:02:47,284.9,5,821.2,32.9,4.145,7.154,
2026-09-24T08:02:52,290.0,5,820.0,33.1,4.123,7.154,
2026-09-24T08:02:57,295.2,5,822.7,33.1,4.105,7.153,
2026-09-24T08:03:02,300.4,5,824.9,33.1,4.088,7.153,
2026-09-24T08:03:08,305.5,5,827.6,33.0,4.093,7.153,
