time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T07:54:34,0.0,3,28.9,0.0,4.842,7.179,
2026-09-24T07:54:40,5.4,5,450.0,6.7,4.410,7.179,
2026-09-24T07:54:45,10.6,5,624.4,7.9,4.253,7.179,
2026-09-24T07:54:50,15.8,5,763.4,18.1,4.073,7.178,
2026-09-24T07:54:55,21.0,5,765.3,33.0,4.065,7.178,
2026-09-24T07:55:00,26.1,5,767.3,32.8,4.123,7.178,
2026-09-24T07:55:06,31.3,5,768.6,33.2,4.139,7.171,
2026-09-24T07:55:11,36.5,5,770.0,32.7,4.102,7.161,
2026-09-24T07:55:16,41.7,5,771.2,32.7,4.062,7.164,
2026-09-24T07:55:21,46.9,5,772.7,32.8,4.090,7.162,
2026-09-24T07:55:26,52.1,5,774.3,33.1,4.073,7.161,
2026-09-24T07:55:32,57.3,5,776.0,32.9,4.029,7.170,
2026-09-24T07:55:37,62.5,5,777.8,33.1,3.997,7.170,ram_alert
2026-09-24T07:55:42,67.7,5,779.5,32.3,4.065,7.169,
2026-09-24T07:55:47,72.9,5,781.3,32.7,4.073,7.169,
2026-09-24T07:55:52,78.1,5,783.1,32.9,4.063,7.169,
2026-09-24T07:55:58,83.2,5,785.2,33.2,4.095,7.168,
2026-09-24T07:56:03,88.4,5,787.0,33.0,4.116,7.171,
2026-09-24T07:56:08,93.6,5,788.9,32.7,4.115,7.173,
2026-09-24T07:56:13,98.8,5,790.6,33.1,4.081,7.172,
2026-09-24T07:56:18,104.0,5,792.7,33.1,4.068,7.172,
2026-09-24T07:56:23,109.1,5,794.2,32.9,4.078,7.172,
2026-09-24T07:56:29,114.3,5,796.6,33.4,4.068,7.171,
2026-09-24T07:56:34,119.5,5,798.2,33.2,4.134,7.171,
2026-09-24T07:56:39,124.7,5,799.8,33.1,4.119,7.170,
2026-09-24T07:56:44,129.9,5,801.6,32.9,4.119,7.170,
2026-09-24T07:56:49,135.1,5,803.5,32.9,4.095,7.170,
2026-09-24T07:56:55,140.3,5,805.4,33.0,4.083,7.169,
2026-09-24T07:57:00,145.5,5,807.4,33.1,4.114,7.169,
2026-09-24T07:57:05,150.6,5,809.3,33.0,4.089,7.169,
2026-09-24T07:57:10,155.8,5,811.1,32.9,4.118,7.168,
2026-09-24T07:57:15,160.9,5,812.8,33.0,4.120,7.168,
2026-09-24T07:57:20,166.1,5,814.7,33.1,4.117,7.168,
2026-09-24T07:57:26,171.3,5,816.7,32.8,4.115,7.167,
2026-09-24T07:57:31,176.5,5,818.8,33.2,4.086,7.167,
2026-09-24T07:57:36,181.6,5,820.5,33.1,4.116,7.167,
