time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T08:15:16,0.0,3,28.4,0.0,5.052,7.113,
2026-09-24T08:15:21,5.4,5,445.8,6.9,4.576,7.113,
2026-09-24T08:15:26,10.6,5,628.6,7.8,4.413,7.113,
2026-09-24T08:15:31,15.8,5,763.6,9.2,4.258,7.112,
2026-09-24T08:15:37,21.0,5,775.0,8.3,4.317,7.112,
2026-09-24T08:15:42,26.2,5,788.6,8.3,4.310,7.112,
2026-09-24T08:15:47,31.3,5,804.0,8.3,4.278,7.112,
2026-09-24T08:15:52,36.5,5,819.4,8.3,4.277,7.112,
2026-09-24T08:15:57,41.6,5,768.1,8.3,4.315,7.111,
2026-09-24T08:16:02,46.8,5,782.6,8.3,4.335,7.111,
2026-09-24T08:16:08,51.9,5,798.0,8.3,4.318,7.111,
2026-09-24T08:16:13,57.1,5,754.8,8.3,4.325,7.111,
2026-09-24T08:16:18,62.2,5,768.4,8.3,4.322,7.111,
2026-09-24T08:16:23,67.4,5,783.5,8.3,4.303,7.110,
2026-09-24T08:16:28,72.6,5,799.3,8.3,4.310,7.110,
2026-09-24T08:16:33,77.7,5,760.1,8.3,4.354,7.110,
2026-09-24T08:16:38,82.8,5,774.5,8.3,4.342,7.110,
2026-09-24T08:16:44,88.0,5,789.9,8.3,4.319,7.110,
2026-09-24T08:16:49,93.1,5,804.3,8.3,4.282,7.110,
2026-09-24T08:16:54,98.3,5,764.2,8.3,4.327,7.110,
2026-09-24T08:16:59,103.4,5,779.1,8.3,4.291,7.110,
2026-09-24T08:17:04,108.5,5,795.1,8.3,4.257,7.109,
2026-09-24T08:17:09,113.7,5,759.9,8.3,4.300,7.109,
2026-09-24T08:17:14,118.8,5,769.2,8.3,4.285,7.109,
2026-09-24T08:17:20,124.0,5,783.3,8.3,4.294,7.109,
2026-09-24T08:17:25,129.1,5,798.5,8.3,4.266,7.109,
2026-09-24T08:17:30,134.3,5,759.1,8.3,4.361,7.108,
2026-09-24T08:17:35,139.4,5,773.1,8.3,4.393,7.108,
2026-09-24T08:17:40,144.6,5,788.5,8.3,4.393,7.108,
2026-09-24T08:17:45,149.7,5,804.0,8.3,4.381,7.108,
2026-09-24T08:17:50,154.8,5,773.3,8.3,4.402,7.108,
2026-09-24T08:17:56,160.0,5,785.4,8.3,4.363,7.107,
2026-09-24T08:18:01,165.2,5,798.3,8.3,4.369,7.107,
2026-09-24T08:18:06,170.3,5,813.6,8.3,4.369,7.107,
2026-09-24T08:18:11,175.4,5,761.9,8.3,4.402,7.107,
2026-09-24T08:18:16,180.6,5,775.4,8.3,4.363,7.107,
2026-09-24T08:18:21,185.7,5,790.3,8.3,4.369,7.107,
2026-09-24T08:18:27,190.9,5,806.2,8.3,4.333,7.107,
2026-09-24T08:18:32,196.1,5,764.0,8.3,4.396,7.106,
2026-09-24T08:18:37,201.2,5,778.7,8.3,4.403,7.106,
2026-09-24T08:18:42,206.4,5,794.2,8.4,4.368,7.106,
2026-09-24T08:18:47,211.5,5,809.7,8.3,4.364,7.106,
2026-09-24T08:18:52,216.7,5,769.7,8.3,4.368,7.106,
2026-09-24T08:18:57,221.8,5,784.8,8.3,4.364,7.106,
2026-09-24T08:19:03,227.0,5,799.6,8.3,4.365,7.106,
2026-09-24T08:19:08,232.1,5,814.2,8.2,4.367,7.106,
2026-09-24T08:19:13,237.3,5,772.7,8.3,4.386,7.106,
2026-09-24T08:19:18,242.5,5,787.1,8.2,4.365,7.105,
2026-09-24T08:19:23,247.6,5,801.6,8.3,4.321,7.105,
2026-09-24T08:19:28,252.8,5,806.6,8.2,4.345,7.105,
2026-09-24T08:19:34,258.0,5,771.3,8.3,4.371,7.105,
2026-09-24T08:19:39,263.1,5,783.8,8.4,4.351,7.105,
2026-09-24T08:19:44,268.3,5,795.9,8.4,4.349,7.104,
2026-09-24T08:19:49,273.5,5,808.2,8.3,4.336,7.104,
2026-09-24T08:19:54,278.6,5,767.7,8.2,4.363,7.104,
2026-09-24T08:19:59,283.8,5,782.7,8.2,4.377,7.103,
2026-09-24T08:20:05,288.9,5,797.7,8.3,4.338,7.103,
2026-09-24T08:20:10,294.1,5,812.4,8.2,4.365,7.103,
2026-09-24T08:20:15,299.2,5,639.9,22.1,4.534,7.103,
