time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T08:14:24,0.0,3,28.8,0.0,5.020,7.116,
2026-09-24T08:14:29,5.5,5,410.0,6.4,4.594,7.115,
2026-09-24T08:14:34,10.7,5,594.1,7.8,4.409,7.115,
2026-09-24T08:14:39,15.9,5,674.9,9.3,4.457,7.114,
2026-09-24T08:14:45,21.0,5,882.6,29.5,4.280,7.114,
2026-09-24T08:14:50,26.2,5,1330.4,28.9,3.775,7.114,ram_alert
2026-09-24T08:14:55,31.4,5,1671.8,30.6,3.532,7.114,ram_alert
2026-09-24T08:15:00,36.7,5,1059.6,29.5,4.091,7.114,
2026-09-24T08:15:06,42.0,5,1988.8,29.0,3.151,7.114,ram_alert
2026-09-24T08:15:11,47.4,5,1551.3,31.5,3.563,7.114,ram_alert
