time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T08:08:51,0.0,3,29.0,0.0,4.815,7.134,
2026-09-24T08:08:56,5.4,5,457.2,6.7,4.399,7.133,
2026-09-24T08:09:01,10.5,5,612.4,8.0,4.260,7.133,
2026-09-24T08:09:06,15.7,5,769.4,9.3,4.122,7.133,
2026-09-24T08:09:11,20.9,5,784.4,8.3,4.063,7.134,
2026-09-24T08:09:17,26.0,5,797.2,8.3,4.067,7.133,
2026-09-24T08:09:22,31.2,5,810.4,8.3,4.051,7.133,
2026-09-24T08:09:27,36.3,5,757.2,8.2,4.102,7.133,
2026-09-24T08:09:32,41.5,5,769.2,8.3,4.099,7.133,
2026-09-24T08:09:37,46.7,5,781.3,8.3,4.161,7.132,
2026-09-24T08:09:42,51.9,5,794.2,8.3,4.136,7.132,
2026-09-24T08:09:48,57.0,5,806.1,8.2,4.132,7.132,
2026-09-24T08:09:53,62.2,5,760.4,8.2,4.165,7.132,
2026-09-24T08:09:58,67.3,5,771.2,8.2,4.131,7.131,
2026-09-24T08:10:03,72.5,5,780.4,8.3,3.989,7.138,ram_alert
2026-09-24T08:10:08,77.7,5,792.1,8.3,4.515,7.139,
2026-09-24T08:10:13,82.9,5,804.0,8.3,4.536,7.139,
2026-09-24T08:10:19,88.1,5,760.3,8.3,4.557,7.139,
2026-09-24T08:10:24,93.2,5,774.0,8.3,4.608,7.139,
2026-09-24T08:10:29,98.4,5,788.9,8.3,4.557,7.138,
2026-09-24T08:10:34,103.6,5,803.8,8.3,4.616,7.138,
2026-09-24T08:10:39,108.7,5,764.1,8.4,4.656,7.138,
2026-09-24T08:10:44,113.9,5,778.7,8.3,4.631,7.137,
2026-09-24T08:10:50,119.0,5,793.4,8.3,4.616,7.137,
2026-09-24T08:10:55,124.2,5,808.8,8.3,4.602,7.137,
2026-09-24T08:11:00,129.3,5,768.8,8.3,4.638,7.137,
2026-09-24T08:11:05,134.4,5,784.0,8.3,4.637,7.136,
2026-09-24T08:11:10,139.6,5,799.6,8.3,4.634,7.136,
2026-09-24T08:11:15,144.7,5,760.6,8.3,4.679,7.136,
2026-09-24T08:11:20,149.9,5,773.9,8.3,4.684,7.135,
2026-09-24T08:11:26,155.1,5,789.2,8.3,4.667,7.135,
2026-09-24T08:11:31,160.2,5,804.6,8.3,4.618,7.135,
2026-09-24T08:11:36,165.4,5,774.4,8.3,4.678,7.135,
2026-09-24T08:11:41,170.5,5,789.7,8.3,4.653,7.135,
2026-09-24T08:11:46,175.7,5,804.6,8.3,4.627,7.134,
2026-09-24T08:11:51,180.8,5,820.0,8.3,4.617,7.134,
2026-09-24T08:11:57,186.0,5,767.8,8.3,4.699,7.134,
2026-09-24T08:12:02,191.1,5,783.0,8.3,4.658,7.134,
2026-09-24T08:12:07,196.2,5,796.8,8.3,4.550,7.133,
2026-09-24T08:12:12,201.4,5,809.9,8.3,4.543,7.133,
2026-09-24T08:12:17,206.6,5,764.7,8.3,4.572,7.133,
2026-09-24T08:12:22,211.7,5,776.7,8.4,4.539,7.132,
2026-09-24T08:12:28,216.9,5,789.2,8.3,4.518,7.132,
2026-09-24T08:12:33,222.1,5,801.9,8.4,4.479,7.132,
2026-09-24T08:12:38,227.3,5,761.9,8.1,4.557,7.132,
2026-09-24T08:12:43,232.4,5,771.2,8.4,4.547,7.131,
2026-09-24T08:12:48,237.6,5,783.4,8.3,4.518,7.131,
2026-09-24T08:12:53,242.8,5,796.3,8.3,4.332,7.131,
2026-09-24T08:12:59,247.9,5,809.5,8.3,4.304,7.131,
2026-09-24T08:13:04,253.1,5,766.1,8.3,4.399,7.130,
2026-09-24T08:13:09,258.2,5,777.0,8.2,4.401,7.130,
2026-09-24T08:13:14,263.4,5,791.4,8.3,4.427,7.130,
2026-09-24T08:13:19,268.6,5,806.6,8.3,4.404,7.130,
2026-09-24T08:13:24,273.7,5,764.6,8.3,4.412,7.118,
2026-09-24T08:13:29,278.9,5,773.5,8.3,4.422,7.119,
2026-09-24T08:13:35,284.0,5,786.2,8.3,4.330,7.118,
2026-09-24T08:13:40,289.2,5,800.1,8.3,4.332,7.115,
2026-09-24T08:13:45,294.3,5,812.3,8.2,4.315,7.114,
2026-09-24T08:13:50,299.5,5,771.6,8.3,4.311,7.114,
2026-09-24T08:13:55,304.6,5,784.9,8.4,4.268,7.114,
2026-09-24T08:14:00,309.8,5,797.9,8.3,4.256,7.114,
2026-09-24T08:14:06,315.0,5,810.8,8.3,4.300,7.114,
2026-09-24T08:14:11,320.1,5,809.2,15.9,4.306,7.113,
