time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T08:24:25,0.0,3,29.1,0.0,4.941,7.075,
2026-09-24T08:24:30,5.4,5,427.5,6.6,4.557,7.074,
2026-09-24T08:24:35,10.6,5,597.3,7.8,4.456,7.074,
2026-09-24T08:24:41,15.7,5,674.9,9.3,4.417,7.074,
2026-09-24T08:24:46,20.9,5,771.7,16.4,4.326,7.074,
2026-09-24T08:24:51,26.1,5,785.6,8.2,4.364,7.073,
2026-09-24T08:24:56,31.3,5,799.7,8.3,4.337,7.073,
2026-09-24T08:25:01,36.4,5,814.9,8.3,4.319,7.073,
2026-09-24T08:25:06,41.6,5,775.6,8.3,4.341,7.072,
2026-09-24T08:25:12,46.7,5,787.5,8.3,4.262,7.072,
2026-09-24T08:25:17,51.9,5,799.4,8.2,4.279,7.071,
2026-09-24T08:25:22,57.1,5,811.2,8.4,4.276,7.071,
2026-09-24T08:25:27,62.2,5,822.6,8.3,4.248,7.071,
2026-09-24T08:25:32,67.4,5,778.9,8.3,4.291,7.071,
2026-09-24T08:25:37,72.5,5,790.6,8.3,4.320,7.071,
2026-09-24T08:25:43,77.7,5,804.0,8.3,4.300,7.070,
2026-09-24T08:25:48,82.9,5,819.5,8.3,4.255,7.070,
2026-09-24T08:25:53,88.0,5,778.9,8.3,4.340,7.070,
2026-09-24T08:25:58,93.2,5,793.8,8.3,4.301,7.070,
2026-09-24T08:26:03,98.3,5,808.6,8.3,4.324,7.070,
2026-09-24T08:26:08,103.5,5,823.1,8.3,4.308,7.069,
2026-09-24T08:26:14,108.6,5,781.9,8.3,4.342,7.069,
2026-09-24T08:26:19,113.8,5,797.1,8.3,4.310,7.069,
2026-09-24T08:26:24,118.9,5,810.7,8.4,4.231,7.069,
2026-09-24T08:26:29,124.1,5,823.5,8.3,4.300,7.068,
2026-09-24T08:26:34,129.3,5,779.3,8.3,4.328,7.068,
2026-09-24T08:26:39,134.5,5,790.6,8.3,4.343,7.068,
2026-09-24T08:26:44,139.6,5,805.0,8.3,4.363,7.067,
2026-09-24T08:26:50,144.8,5,819.3,8.3,4.292,7.067,
2026-09-24T08:26:55,149.9,5,744.4,15.7,4.379,7.067,
2026-09-24T08:27:00,155.1,5,783.4,8.6,4.352,7.067,
2026-09-24T08:27:05,160.3,5,799.4,8.3,4.352,7.066,
2026-09-24T08:27:10,165.4,5,814.4,8.3,4.335,7.066,
2026-09-24T08:27:15,170.6,5,774.9,8.3,4.358,7.066,
2026-09-24T08:27:21,175.7,5,789.4,8.3,4.361,7.066,
2026-09-24T08:27:26,180.8,5,803.8,8.3,4.330,7.065,
2026-09-24T08:27:31,186.0,5,818.2,8.3,4.345,7.065,
2026-09-24T08:27:36,191.1,5,777.4,8.3,4.366,7.065,
2026-09-24T08:27:41,196.3,5,791.5,8.3,4.327,7.065,
2026-09-24T08:27:46,201.5,5,806.6,8.2,4.344,7.064,
2026-09-24T08:27:51,206.6,5,821.3,8.3,4.335,7.064,
2026-09-24T08:27:57,211.8,5,778.8,8.3,4.379,7.064,
2026-09-24T08:28:02,216.9,5,792.9,8.3,4.336,7.063,
2026-09-24T08:28:07,222.1,5,808.3,8.2,4.388,7.063,
2026-09-24T08:28:12,227.2,5,823.0,8.2,4.371,7.063,
2026-09-24T08:28:17,232.4,5,782.9,8.3,4.388,7.063,
2026-09-24T08:28:22,237.5,5,796.3,8.3,4.354,7.063,
2026-09-24T08:28:28,242.7,5,807.7,8.3,4.368,7.062,
2026-09-24T08:28:33,247.8,5,821.1,8.3,4.384,7.062,
2026-09-24T08:28:38,252.9,5,779.7,8.3,4.415,7.062,
2026-09-24T08:28:43,258.1,5,794.1,8.3,4.400,7.062,
2026-09-24T08:28:48,263.2,5,809.5,8.3,4.385,7.061,
2026-09-24T08:28:53,268.4,5,824.7,8.3,4.348,7.061,
2026-09-24T08:28:58,273.5,5,776.2,15.2,4.443,7.061,
2026-09-24T08:29:04,278.7,5,790.6,8.3,4.423,7.060,
2026-09-24T08:29:09,283.8,5,805.5,8.3,4.409,7.060,
2026-09-24T08:29:14,289.0,5,820.5,8.2,4.383,7.060,
2026-09-24T08:29:19,294.1,5,780.1,8.3,4.393,7.060,
2026-09-24T08:29:24,299.3,5,793.7,8.3,4.352,7.060,
2026-09-24T08:29:29,304.4,5,806.4,8.4,4.333,7.059,
2026-09-24T08:29:34,309.6,5,818.6,8.2,4.360,7.059,
2026-09-24T08:29:40,314.8,5,775.8,8.3,4.384,7.059,
2026-09-24T08:29:45,319.9,5,789.2,8.4,4.423,7.058,
2026-09-24T08:29:50,325.1,5,805.0,8.2,4.389,7.058,
2026-09-24T08:29:55,330.2,5,820.3,8.3,4.354,7.058,
2026-09-24T08:30:00,335.4,5,779.7,8.3,4.425,7.058,
2026-09-24T08:30:05,340.5,5,793.7,8.3,4.397,7.058,
2026-09-24T08:30:11,345.6,5,809.3,8.3,4.393,7.057,
2026-09-24T08:30:16,350.8,5,824.6,8.3,4.375,7.057,
2026-09-24T08:30:21,355.9,5,783.2,8.3,4.389,7.057,
2026-09-24T08:30:26,361.1,5,797.9,8.3,4.386,7.057,
