time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T08:21:45,0.0,3,29.2,0.0,5.089,7.099,
2026-09-24T08:21:50,5.4,5,448.3,6.6,4.611,7.099,
2026-09-24T08:21:56,10.6,5,624.0,7.8,4.490,7.098,
2026-09-24T08:22:01,15.7,5,945.4,8.5,4.099,7.098,
2026-09-24T08:22:06,20.9,5,950.9,8.2,4.288,7.097,
2026-09-24T08:22:11,26.1,5,966.7,8.3,4.245,7.097,
2026-09-24T08:22:16,31.2,5,982.1,8.3,4.216,7.097,
2026-09-24T08:22:21,36.3,5,911.1,10.0,4.291,7.087,
2026-09-24T08:22:27,41.5,5,785.1,17.2,4.376,7.076,
2026-09-24T08:22:32,46.7,5,799.2,8.3,4.392,7.076,
2026-09-24T08:22:37,51.8,5,812.0,8.3,4.386,7.076,
2026-09-24T08:22:42,57.0,5,826.6,8.3,4.336,7.076,
2026-09-24T08:22:47,62.1,5,766.4,8.3,4.418,7.079,
2026-09-24T08:22:52,67.3,5,780.9,8.3,4.403,7.079,
2026-09-24T08:22:57,72.4,5,795.8,8.3,4.388,7.079,
2026-09-24T08:23:03,77.6,5,811.1,8.3,4.374,7.079,
