time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T02:45:22,0.0,3,28.5,0.0,5.419,10.761,
2026-09-24T02:45:27,5.4,5,431.6,6.6,5.016,10.760,
2026-09-24T02:45:32,10.6,5,649.8,7.7,4.703,10.759,
2026-09-24T02:45:38,15.8,5,718.1,28.0,4.651,10.759,
2026-09-24T02:45:43,21.0,5,840.2,27.1,4.578,10.758,
2026-09-24T02:45:48,26.3,5,844.7,32.5,4.596,10.757,
2026-09-24T02:45:53,31.5,5,847.0,33.2,4.590,10.757,
2026-09-24T02:45:59,36.7,5,848.1,33.0,4.692,10.756,
2026-09-24T02:46:04,41.9,5,743.1,23.7,4.669,10.755,
2026-09-24T02:46:09,47.1,5,744.3,30.3,4.464,10.755,
