time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T02:48:10,0.0,3,28.7,0.0,5.092,10.741,
2026-09-24T02:48:15,5.5,5,446.0,6.2,4.708,10.741,
2026-09-24T02:48:20,10.7,5,599.7,7.9,4.539,10.740,
2026-09-24T02:48:26,15.9,5,642.1,8.3,4.516,10.740,
2026-09-24T02:48:31,21.0,5,642.9,8.3,4.601,10.740,
2026-09-24T02:48:36,26.2,5,643.9,8.3,4.560,10.739,
2026-09-24T02:48:41,31.3,5,645.4,8.3,4.586,10.739,
2026-09-24T02:48:46,36.5,5,682.9,12.3,4.552,10.739,
2026-09-24T02:48:51,41.7,5,776.2,28.9,4.473,10.738,
2026-09-24T02:48:57,46.9,5,894.6,22.7,4.354,10.738,
2026-09-24T02:49:02,52.1,5,890.1,10.2,4.365,10.738,
2026-09-24T02:49:07,57.2,5,895.9,8.3,4.328,10.738,
2026-09-24T02:49:12,62.4,5,899.6,8.3,4.288,10.738,
2026-09-24T02:49:17,67.6,5,903.6,8.3,4.298,10.737,
2026-09-24T02:49:22,72.7,5,907.5,8.3,4.291,10.737,
2026-09-24T02:49:28,77.9,5,911.6,8.2,4.285,10.737,
2026-09-24T02:49:33,83.0,5,915.5,8.3,4.283,10.736,
2026-09-24T02:49:38,88.2,5,919.1,8.3,4.256,10.736,
2026-09-24T02:49:43,93.4,5,922.6,8.3,4.248,10.736,
2026-09-24T02:49:48,98.5,5,925.9,8.2,4.228,10.735,
2026-09-24T02:49:53,103.7,5,929.1,8.3,4.246,10.735,
2026-09-24T02:49:59,108.9,5,932.6,8.3,4.286,10.735,
2026-09-24T02:50:04,114.0,5,936.6,8.3,4.301,10.735,
2026-09-24T02:50:09,119.1,5,940.2,8.3,3.967,10.624,ram_alert
2026-09-24T02:50:14,124.3,5,943.3,8.3,4.151,10.734,
2026-09-24T02:50:19,129.4,5,947.5,8.3,4.137,10.734,
2026-09-24T02:50:24,134.6,5,951.4,8.3,4.102,10.733,
2026-09-24T02:50:29,139.7,5,955.2,8.3,4.088,10.733,
2026-09-24T02:50:35,144.9,5,958.6,8.3,4.102,10.733,
2026-09-24T02:50:40,150.0,5,962.7,8.3,4.091,10.732,
2026-09-24T02:50:45,155.2,5,966.7,8.3,4.073,10.732,
2026-09-24T02:50:50,160.3,5,970.6,8.3,4.074,10.732,
2026-09-24T02:50:55,165.5,5,974.7,8.3,4.072,10.732,
2026-09-24T02:51:00,170.6,5,978.7,8.3,4.094,10.731,
2026-09-24T02:51:06,175.8,5,982.9,8.3,4.111,10.731,
2026-09-24T02:51:11,180.9,5,976.2,8.3,4.259,10.731,
2026-09-24T02:51:16,186.1,5,980.4,8.3,4.178,10.730,
2026-09-24T02:51:21,191.3,5,985.1,8.3,4.180,10.730,
2026-09-24T02:51:26,196.4,5,989.2,8.3,4.147,10.730,
2026-09-24T02:51:31,201.6,5,993.3,8.3,4.176,10.730,
2026-09-24T02:51:37,206.7,5,997.3,8.3,4.150,10.729,
2026-09-24T02:51:42,211.9,5,1000.3,8.3,4.140,10.729,
2026-09-24T02:51:47,217.0,5,1003.4,8.2,4.176,10.729,
2026-09-24T02:51:52,222.2,5,1007.6,8.3,4.145,10.729,
2026-09-24T02:51:57,227.3,5,1011.8,8.3,4.145,10.728,
2026-09-24T02:52:02,232.5,5,1015.6,8.3,4.133,10.728,
2026-09-24T02:52:07,237.6,5,1019.9,8.3,4.138,10.728,
2026-09-24T02:52:13,242.8,5,1024.0,8.2,4.134,10.728,
2026-09-24T02:52:18,248.0,5,1027.6,8.3,4.125,10.727,
2026-09-24T02:52:23,253.1,5,1031.5,8.3,4.122,10.727,
2026-09-24T02:52:28,258.3,5,1035.5,8.3,4.100,10.727,
2026-09-24T02:52:33,263.4,5,1039.4,8.3,4.087,10.726,
2026-09-24T02:52:38,268.5,5,1042.6,8.3,4.024,10.726,
2026-09-24T02:52:43,273.7,5,1046.1,8.3,4.045,10.726,
2026-09-24T02:52:49,278.8,5,1049.4,8.3,4.042,10.726,
2026-09-24T02:52:54,284.0,5,1052.4,8.3,4.067,10.725,
2026-09-24T02:52:59,289.1,5,1055.8,8.3,4.104,10.725,
2026-09-24T02:53:04,294.3,5,1059.9,8.3,4.076,10.725,
2026-09-24T02:53:09,299.4,5,1064.1,8.3,4.092,10.725,
2026-09-24T02:53:14,304.6,5,1068.8,8.3,4.024,10.724,
2026-09-24T02:53:20,309.8,5,1072.8,8.3,4.058,10.724,
2026-09-24T02:53:25,315.0,5,1077.1,8.3,4.094,10.724,
2026-09-24T02:53:30,320.1,5,1080.9,8.3,4.088,10.723,
2026-09-24T02:53:35,325.3,5,1084.8,8.3,4.080,10.723,
2026-09-24T02:53:40,330.4,5,1088.8,8.3,4.066,10.723,
2026-09-24T02:53:45,335.6,5,1092.9,8.3,4.073,10.723,
2026-09-24T02:53:50,340.7,5,1096.6,8.2,4.053,10.722,
2026-09-24T02:53:56,345.9,5,1100.6,8.3,3.987,10.726,ram_alert
2026-09-24T02:54:01,351.0,5,1103.6,8.3,3.766,10.725,ram_alert
2026-09-24T02:54:06,356.2,5,1106.8,8.3,3.763,10.708,ram_alert
2026-09-24T02:54:11,361.4,5,1109.4,8.2,3.751,10.706,ram_alert
2026-09-24T02:54:16,366.6,5,1112.2,8.1,3.719,10.705,ram_alert
2026-09-24T02:54:22,371.8,5,1115.0,8.1,3.710,10.705,ram_alert
2026-09-24T02:54:27,376.9,5,1118.0,8.0,3.727,10.705,ram_alert
2026-09-24T02:54:32,382.1,5,1120.7,8.3,3.745,10.704,ram_alert
2026-09-24T02:54:37,387.3,5,1123.3,8.1,3.790,10.704,ram_alert
2026-09-24T02:54:42,392.5,5,1126.2,8.1,3.825,10.704,ram_alert
2026-09-24T02:54:47,397.7,5,1128.9,8.2,3.774,10.703,ram_alert
2026-09-24T02:54:53,402.9,5,1131.4,7.9,3.795,10.703,ram_alert
2026-09-24T02:54:58,408.1,5,1134.3,8.2,3.806,10.703,ram_alert
2026-09-24T02:55:03,413.2,5,1136.9,8.1,3.807,10.703,ram_alert
2026-09-24T02:55:08,418.4,5,1139.7,8.2,3.815,10.702,ram_alert
2026-09-24T02:55:13,423.6,5,1142.8,8.2,3.822,10.702,ram_alert
2026-09-24T02:55:19,428.8,5,1145.6,8.1,3.815,10.702,ram_alert
2026-09-24T02:55:24,433.9,5,1148.1,8.2,3.779,10.702,ram_alert
2026-09-24T02:55:29,439.1,5,1150.5,8.2,3.787,10.701,ram_alert
2026-09-24T02:55:34,444.3,5,1153.1,8.0,3.727,10.701,ram_alert
2026-09-24T02:55:39,449.5,5,1155.9,8.2,3.739,10.701,ram_alert
2026-09-24T02:55:44,454.7,5,1158.2,7.8,3.812,10.700,ram_alert
2026-09-24T02:55:50,459.9,5,1161.1,8.2,3.836,10.700,ram_alert
2026-09-24T02:55:55,465.0,5,1163.8,8.3,3.822,10.700,ram_alert
2026-09-24T02:56:00,470.2,5,1166.5,8.3,3.783,10.700,ram_alert
2026-09-24T02:56:05,475.4,5,1169.3,8.2,3.796,10.699,ram_alert
2026-09-24T02:56:10,480.6,5,1172.3,8.3,3.795,10.699,ram_alert
2026-09-24T02:56:16,485.8,5,1175.1,8.3,3.796,10.699,ram_alert
2026-09-24T02:56:21,490.9,5,1177.8,8.3,3.810,10.698,ram_alert
2026-09-24T02:56:26,496.1,5,1180.5,8.3,3.808,10.698,ram_alert
2026-09-24T02:56:31,501.3,5,1183.2,8.3,3.810,10.697,ram_alert
2026-09-24T02:56:36,506.4,5,1185.9,8.2,3.788,10.697,ram_alert
2026-09-24T02:56:41,511.6,5,1188.3,8.2,3.794,10.697,ram_alert
2026-09-24T02:56:47,516.8,5,1191.4,8.3,3.959,10.713,ram_alert
2026-09-24T02:56:52,521.9,5,1195.4,8.3,3.922,10.713,ram_alert
2026-09-24T02:56:57,527.1,5,1199.4,8.3,3.929,10.713,ram_alert
2026-09-24T02:57:02,532.2,5,1203.4,8.3,3.923,10.713,ram_alert
2026-09-24T02:57:07,537.4,5,1207.8,8.4,3.920,10.712,ram_alert
2026-09-24T02:57:12,542.6,5,1211.3,8.3,3.866,10.712,ram_alert
2026-09-24T02:57:17,547.7,5,1214.7,8.3,3.852,10.712,ram_alert
2026-09-24T02:57:23,552.9,5,1217.7,8.3,3.875,10.711,ram_alert
2026-09-24T02:57:28,558.0,5,1221.3,8.3,3.850,10.710,ram_alert
2026-09-24T02:57:33,563.2,5,1224.8,8.3,3.943,10.709,ram_alert
2026-09-24T02:57:38,568.4,5,1227.6,8.2,3.980,10.695,ram_alert
2026-09-24T02:57:43,573.6,5,1230.5,8.3,3.987,10.694,ram_alert
2026-09-24T02:57:49,578.8,5,1233.9,8.3,3.981,10.693,ram_alert
2026-09-24T02:57:54,584.0,5,1237.2,8.3,3.958,10.693,ram_alert
2026-09-24T02:57:59,589.2,5,1240.9,8.3,4.003,10.692,
2026-09-24T02:58:04,594.3,5,1244.5,8.3,4.037,10.692,
2026-09-24T02:58:09,599.5,5,1248.4,8.3,4.044,10.692,
2026-09-24T02:58:14,604.6,5,1252.5,8.3,4.025,10.691,
2026-09-24T02:58:20,609.8,5,1256.1,8.4,4.031,10.690,
2026-09-24T02:58:25,615.0,5,1260.5,8.2,4.030,10.690,
2026-09-24T02:58:30,620.1,5,1264.4,8.3,4.024,10.690,
2026-09-24T02:58:35,625.3,5,1268.4,8.3,4.026,10.692,
2026-09-24T02:58:40,630.4,5,1272.4,8.3,4.028,10.692,
