time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T03:06:02,0.0,3,29.6,0.0,4.888,10.692,
2026-09-24T03:06:07,5.4,5,435.8,6.6,4.443,10.692,
2026-09-24T03:06:12,10.6,5,592.3,8.0,4.441,10.691,
2026-09-24T03:06:17,15.7,5,644.0,8.3,4.394,10.691,
2026-09-24T03:06:23,20.9,5,642.3,8.3,4.353,10.691,
2026-09-24T03:06:28,26.1,5,642.7,8.2,4.371,10.691,
2026-09-24T03:06:33,31.2,5,643.2,8.3,4.377,10.691,
2026-09-24T03:06:38,36.4,5,644.0,8.3,4.390,10.690,
2026-09-24T03:06:43,41.6,5,708.3,26.5,4.321,10.690,
2026-09-24T03:06:48,46.7,5,825.3,23.6,4.162,10.690,
2026-09-24T03:06:54,52.0,5,884.1,17.6,4.123,10.690,
2026-09-24T03:06:59,57.1,5,889.7,8.3,4.101,10.690,
2026-09-24T03:07:04,62.3,5,893.9,8.3,4.127,10.690,
2026-09-24T03:07:09,67.4,5,897.9,8.3,4.120,10.689,
2026-09-24T03:07:14,72.6,5,901.0,8.3,4.094,10.689,
2026-09-24T03:07:19,77.8,5,905.1,8.3,4.116,10.689,
2026-09-24T03:07:25,82.9,5,909.0,8.3,4.101,10.689,
2026-09-24T03:07:30,88.1,5,912.6,8.3,4.093,10.688,
2026-09-24T03:07:35,93.3,5,916.6,8.3,4.084,10.688,
2026-09-24T03:07:40,98.4,5,920.1,8.3,4.066,10.687,
2026-09-24T03:07:45,103.6,5,923.9,8.3,4.065,10.686,
2026-09-24T03:07:50,108.7,5,927.1,8.3,4.046,10.686,
2026-09-24T03:07:55,113.9,5,931.2,8.3,4.118,10.686,
2026-09-24T03:08:01,119.0,5,935.1,8.2,4.096,10.686,
2026-09-24T03:08:06,124.2,5,938.9,8.3,4.049,10.685,
2026-09-24T03:08:11,129.3,5,942.9,8.3,4.069,10.685,
2026-09-24T03:08:16,134.5,5,946.5,8.3,4.083,10.685,
2026-09-24T03:08:21,139.6,5,950.2,8.3,4.072,10.684,
2026-09-24T03:08:26,144.8,5,953.8,8.3,4.017,10.684,
2026-09-24T03:08:32,150.0,5,957.7,8.3,4.059,10.684,
2026-09-24T03:08:37,155.1,5,961.9,8.3,4.078,10.684,
2026-09-24T03:08:42,160.3,5,965.4,8.2,4.073,10.684,
2026-09-24T03:08:47,165.5,5,968.5,8.3,4.047,10.683,
2026-09-24T03:08:52,170.7,5,971.6,8.2,3.996,10.683,ram_alert
2026-09-24T03:08:57,175.9,5,974.4,8.3,4.001,10.682,
2026-09-24T03:09:03,181.1,5,977.8,8.3,4.032,10.682,
2026-09-24T03:09:08,186.3,5,981.4,8.3,4.023,10.682,
2026-09-24T03:09:13,191.4,5,985.3,8.3,4.058,10.682,
2026-09-24T03:09:18,196.6,5,989.4,8.3,4.039,10.681,
2026-09-24T03:09:23,201.7,5,993.4,8.3,4.081,10.681,
2026-09-24T03:09:28,206.9,5,997.4,8.3,4.065,10.681,
2026-09-24T03:09:34,212.0,5,1001.3,8.3,4.058,10.681,
2026-09-24T03:09:39,217.2,5,1004.7,8.4,4.011,10.681,
2026-09-24T03:09:44,222.4,5,1007.8,8.3,3.981,10.681,ram_alert
2026-09-24T03:09:49,227.6,5,1011.0,8.3,3.987,10.680,ram_alert
2026-09-24T03:09:54,232.8,5,1014.4,8.2,3.950,10.680,ram_alert
2026-09-24T03:10:00,237.9,5,1018.3,8.3,4.049,10.680,
2026-09-24T03:10:05,243.1,5,1021.6,8.3,4.035,10.680,
2026-09-24T03:10:10,248.2,5,1025.6,8.3,4.008,10.680,
2026-09-24T03:10:15,253.4,5,1029.5,8.3,4.026,10.679,
2026-09-24T03:10:20,258.6,5,1033.4,8.3,4.018,10.679,
2026-09-24T03:10:25,263.7,5,1036.8,8.3,3.962,10.678,ram_alert
2026-09-24T03:10:31,268.9,5,1040.3,8.3,3.983,10.678,ram_alert
2026-09-24T03:10:36,274.1,5,1044.4,8.3,3.990,10.678,ram_alert
2026-09-24T03:10:41,279.2,5,1048.0,8.2,4.001,10.678,
2026-09-24T03:10:46,284.4,5,1051.8,8.3,4.010,10.677,
2026-09-24T03:10:51,289.5,5,1055.6,8.3,3.988,10.677,ram_alert
2026-09-24T03:10:56,294.7,5,1059.2,8.3,3.955,10.677,ram_alert
2026-09-24T03:11:01,299.8,5,1063.2,8.3,3.976,10.677,ram_alert
2026-09-24T03:11:07,305.0,5,1068.1,8.4,3.962,10.677,ram_alert
2026-09-24T03:11:12,310.1,5,1071.9,8.3,3.988,10.677,ram_alert
2026-09-24T03:11:17,315.2,5,1075.4,8.3,3.972,10.676,ram_alert
2026-09-24T03:11:22,320.4,5,1078.9,8.3,3.916,10.676,ram_alert
2026-09-24T03:11:27,325.6,5,1082.9,8.3,3.945,10.676,ram_alert
2026-09-24T03:11:32,330.8,5,1086.6,8.3,3.899,10.676,ram_alert
2026-09-24T03:11:38,335.9,5,1090.7,8.3,3.889,10.675,ram_alert
2026-09-24T03:11:43,341.1,5,1094.7,8.3,3.893,10.675,ram_alert
2026-09-24T03:11:48,346.2,5,1098.8,8.3,3.883,10.675,ram_alert
2026-09-24T03:11:53,351.4,5,1102.4,8.3,3.897,10.675,ram_alert
2026-09-24T03:11:58,356.5,5,1106.7,8.3,3.879,10.675,ram_alert
2026-09-24T03:12:03,361.7,5,1110.7,8.3,3.941,10.675,ram_alert
2026-09-24T03:12:08,366.8,5,1114.2,8.3,3.874,10.674,ram_alert
2026-09-24T03:12:14,372.0,5,1117.3,8.2,3.853,10.674,ram_alert
2026-09-24T03:12:19,377.2,5,1121.1,8.3,3.910,10.674,ram_alert
2026-09-24T03:12:24,382.3,5,1125.0,8.3,3.910,10.673,ram_alert
2026-09-24T03:12:29,387.5,5,1128.8,8.3,3.906,10.673,ram_alert
2026-09-24T03:12:34,392.7,5,1132.8,8.3,3.890,10.673,ram_alert
2026-09-24T03:12:39,397.8,5,1135.7,8.3,3.831,10.673,ram_alert
2026-09-24T03:12:45,403.0,5,1139.0,8.3,3.816,10.672,ram_alert
2026-09-24T03:12:50,408.2,5,1142.7,8.3,3.870,10.672,ram_alert
2026-09-24T03:12:55,413.3,5,1146.8,8.2,3.904,10.672,ram_alert
2026-09-24T03:13:00,418.5,5,1150.8,8.3,3.896,10.672,ram_alert
2026-09-24T03:13:05,423.6,5,1154.4,8.2,3.852,10.672,ram_alert
2026-09-24T03:13:10,428.8,5,1158.1,8.3,3.773,10.672,ram_alert
2026-09-24T03:13:16,434.0,5,1161.6,8.2,3.819,10.672,ram_alert
2026-09-24T03:13:21,439.1,5,1164.8,8.2,3.802,10.671,ram_alert
2026-09-24T03:13:26,444.3,5,1168.4,8.3,3.780,10.671,ram_alert
2026-09-24T03:13:31,449.4,5,1171.8,8.3,3.764,10.671,ram_alert
2026-09-24T03:13:36,454.6,5,1175.2,8.3,3.823,10.671,ram_alert
2026-09-24T03:13:41,459.7,5,1178.9,8.3,3.802,10.671,ram_alert
2026-09-24T03:13:47,464.9,5,1182.7,8.3,3.781,10.671,ram_alert
2026-09-24T03:13:52,470.1,5,1187.0,8.3,3.796,10.671,ram_alert
2026-09-24T03:13:57,475.2,5,1190.8,8.3,3.796,10.674,ram_alert
2026-09-24T03:14:02,480.4,5,1194.7,8.3,3.783,10.674,ram_alert
2026-09-24T03:14:07,485.5,5,1198.7,8.3,3.820,10.674,ram_alert
2026-09-24T03:14:12,490.6,5,1202.8,8.3,3.820,10.674,ram_alert
2026-09-24T03:14:17,495.8,5,1206.3,8.4,3.795,10.674,ram_alert
2026-09-24T03:14:23,501.0,5,1209.5,8.3,3.785,10.673,ram_alert
2026-09-24T03:14:28,506.2,5,1213.3,8.2,3.758,10.673,ram_alert
2026-09-24T03:14:33,511.3,5,1217.3,8.2,3.773,10.673,ram_alert
2026-09-24T03:14:38,516.5,5,1221.1,8.3,3.759,10.673,ram_alert
2026-09-24T03:14:43,521.6,5,1225.1,8.3,3.779,10.673,ram_alert
2026-09-24T03:14:48,526.8,5,1229.1,8.3,3.782,10.673,ram_alert
2026-09-24T03:14:54,531.9,5,1232.7,8.3,3.781,10.672,ram_alert
2026-09-24T03:14:59,537.1,5,1236.8,8.2,3.793,10.672,ram_alert
2026-09-24T03:15:04,542.2,5,1240.7,8.2,3.726,10.672,ram_alert
2026-09-24T03:15:09,547.4,5,1244.7,8.3,3.732,10.672,ram_alert
2026-09-24T03:15:14,552.5,5,1248.6,8.3,3.733,10.672,ram_alert
2026-09-24T03:15:19,557.7,5,1252.1,8.3,3.694,10.672,ram_alert
2026-09-24T03:15:24,562.9,5,1255.1,8.3,3.689,10.671,ram_alert
2026-09-24T03:15:30,568.1,5,1258.6,8.3,3.645,10.671,ram_alert
2026-09-24T03:15:35,573.3,5,1261.9,8.3,3.768,10.671,ram_alert
2026-09-24T03:15:40,578.5,5,1265.3,8.3,3.750,10.671,ram_alert
2026-09-24T03:15:45,583.6,5,1269.3,8.4,3.752,10.671,ram_alert
2026-09-24T03:15:50,588.8,5,1273.0,8.3,3.767,10.671,ram_alert
2026-09-24T03:15:56,593.9,5,1277.0,8.3,3.779,10.670,ram_alert
2026-09-24T03:16:01,599.1,5,1281.1,8.3,3.763,10.670,ram_alert
2026-09-24T03:16:06,604.2,5,1285.3,8.2,3.733,10.670,ram_alert
2026-09-24T03:16:11,609.4,5,1288.9,8.3,3.745,10.670,ram_alert
2026-09-24T03:16:16,614.5,5,1293.1,8.3,3.686,10.670,ram_alert
2026-09-24T03:16:21,619.7,5,1296.5,8.2,3.653,10.669,ram_alert
2026-09-24T03:16:27,624.9,5,1299.7,8.2,3.720,10.669,ram_alert
2026-09-24T03:16:32,630.1,5,1303.5,8.2,3.722,10.669,ram_alert
2026-09-24T03:16:37,635.2,5,1307.8,8.3,3.734,10.669,ram_alert
2026-09-24T03:16:42,640.4,5,1311.8,8.3,3.704,10.669,ram_alert
2026-09-24T03:16:47,645.5,5,1315.3,8.3,3.675,10.669,ram_alert
2026-09-24T03:16:52,650.7,5,1318.9,8.2,3.683,10.669,ram_alert
2026-09-24T03:16:57,655.9,5,1322.3,8.3,3.654,10.668,ram_alert
2026-09-24T03:17:03,661.0,5,1325.6,8.4,3.677,10.668,ram_alert
2026-09-24T03:17:08,666.2,5,1328.8,8.3,3.715,10.667,ram_alert
2026-09-24T03:17:13,671.4,5,1332.9,8.3,3.703,10.667,ram_alert
2026-09-24T03:17:18,676.5,5,1335.2,8.3,3.668,10.667,ram_alert
2026-09-24T03:17:23,681.7,5,1338.1,9.2,3.698,10.667,ram_alert
2026-09-24T03:17:28,686.8,5,1380.5,8.3,3.701,10.666,ram_alert
