time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T04:29:07,0.0,3,29.0,0.0,5.887,8.279,
2026-09-24T04:29:12,5.4,5,285.7,2.2,5.599,8.278,
2026-09-24T04:29:18,10.6,5,421.8,4.1,5.474,8.278,
2026-09-24T04:29:23,15.7,5,477.5,2.3,5.461,8.278,
2026-09-24T04:29:28,20.9,5,662.0,4.1,5.259,8.278,
2026-09-24T04:29:33,26.1,5,691.1,9.3,5.234,8.278,
2026-09-24T04:29:38,31.3,5,693.3,9.1,5.235,8.277,
2026-09-24T04:29:43,36.4,5,696.8,9.3,5.215,8.277,
2026-09-24T04:29:48,41.5,5,698.8,9.2,5.249,8.277,
2026-09-24T04:29:54,46.7,5,694.3,9.2,5.261,8.277,
2026-09-24T04:29:59,51.8,5,698.2,9.2,5.209,8.277,
2026-09-24T04:30:04,57.0,5,704.8,9.2,5.229,8.277,
2026-09-24T04:30:09,62.1,5,702.5,10.2,5.213,8.277,
2026-09-24T04:30:14,67.3,5,688.8,11.3,5.230,8.277,
2026-09-24T04:30:19,72.4,5,700.8,10.3,5.221,8.276,
2026-09-24T04:30:25,77.6,5,549.8,8.8,5.356,8.276,
