time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T04:31:13,0.0,3,29.0,0.0,5.720,8.273,
2026-09-24T04:31:18,5.4,5,443.6,6.4,5.287,8.272,
2026-09-24T04:31:23,10.6,5,672.1,7.8,5.093,8.272,
2026-09-24T04:31:28,15.8,5,693.2,9.3,5.055,8.272,
2026-09-24T04:31:34,20.9,5,702.6,9.3,5.066,8.272,
2026-09-24T04:31:39,26.0,5,709.2,9.3,5.043,8.272,
2026-09-24T04:31:44,31.2,5,700.2,10.2,5.065,8.272,
2026-09-24T04:31:49,36.3,5,692.4,9.4,5.063,8.271,
2026-09-24T04:31:54,41.5,5,681.5,9.3,5.022,8.271,
2026-09-24T04:31:59,46.7,5,680.5,9.8,5.032,8.271,
2026-09-24T04:32:04,51.8,5,699.7,9.7,4.996,8.271,
2026-09-24T04:32:10,57.0,5,696.3,10.3,5.058,8.271,
2026-09-24T04:32:15,62.2,5,674.8,10.0,5.092,8.271,
