time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T03:02:00,0.0,3,29.7,0.0,5.008,10.668,
2026-09-24T03:02:05,5.4,3,506.7,12.3,4.453,10.667,
2026-09-24T03:02:10,10.7,4,706.7,8.4,4.323,10.669,
2026-09-24T03:02:16,15.8,4,709.2,2.0,4.354,10.669,
2026-09-24T03:02:21,21.0,4,708.8,1.4,4.359,10.669,
2026-09-24T03:02:26,26.2,4,709.2,0.8,4.360,10.669,
2026-09-24T03:02:31,31.3,4,709.1,0.7,4.344,10.669,
2026-09-24T03:02:36,36.5,4,854.9,11.8,4.189,10.668,
2026-09-24T03:02:41,41.8,4,1011.6,13.2,3.987,10.668,ram_alert
2026-09-24T03:02:47,47.0,4,1050.1,11.2,3.924,10.668,ram_alert
2026-09-24T03:02:52,52.3,4,1127.9,8.6,3.869,10.668,ram_alert
2026-09-24T03:02:57,57.5,4,1341.5,8.5,3.628,10.668,ram_alert
2026-09-24T03:03:02,62.7,11,2133.5,14.8,3.153,10.662,ram_alert
2026-09-24T03:03:08,67.9,11,2219.7,8.9,2.964,10.634,ram_alert
2026-09-24T03:03:13,73.3,10,2360.2,3.0,2.866,10.644,ram_alert
2026-09-24T03:03:18,78.5,10,2492.1,4.9,2.711,10.690,ram_alert
2026-09-24T03:03:23,83.7,10,2680.3,8.9,2.526,10.716,ram_alert
2026-09-24T03:03:29,88.9,10,2743.9,6.7,2.489,10.715,ram_alert kill
