time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T03:20:30,0.0,3,45.9,0.0,4.734,10.473,
2026-09-24T03:20:35,5.5,4,633.2,11.9,4.216,10.475,
2026-09-24T03:20:40,10.7,8,1360.3,20.4,3.547,10.470,
2026-09-24T03:20:46,16.0,12,2331.3,19.3,2.867,10.447,
2026-09-24T03:20:51,21.4,10,2522.1,7.7,2.669,10.447,
2026-09-24T03:20:56,26.6,10,2668.0,11.0,2.561,10.446,
2026-09-24T03:21:02,31.8,10,2766.3,11.4,2.446,10.440,
2026-09-24T03:21:07,37.0,10,2952.7,6.0,2.296,10.440,
2026-09-24T03:21:12,42.2,13,3070.4,5.1,2.209,10.450,
2026-09-24T03:21:17,47.4,10,2941.8,0.9,2.493,10.450,
2026-09-24T03:21:22,52.5,10,2994.1,6.4,2.396,10.449,
2026-09-24T03:21:27,57.7,10,3090.9,6.6,2.261,10.448,
2026-09-24T03:21:33,62.9,10,3098.8,8.0,2.272,10.447,
2026-09-24T03:21:38,68.1,10,3129.8,8.3,2.236,10.446,
2026-09-24T03:21:43,73.3,10,3176.4,6.8,2.199,10.445,
2026-09-24T03:21:48,78.4,10,3193.2,8.4,2.212,10.445,
2026-09-24T03:21:53,83.6,10,3210.9,8.5,2.189,10.445,
2026-09-24T03:21:59,88.8,10,3229.8,8.7,2.191,10.444,
2026-09-24T03:22:04,93.9,10,3224.5,8.5,2.175,10.444,
2026-09-24T03:22:09,99.1,10,3203.0,8.8,2.109,10.413,
2026-09-24T03:22:14,104.3,10,3264.8,7.8,2.076,10.410,
2026-09-24T03:22:19,109.4,10,3302.1,8.3,1.976,10.410,ram_alert
2026-09-24T03:22:24,114.6,10,3319.7,8.6,2.006,10.410,
2026-09-24T03:22:30,119.8,10,3336.9,8.5,1.991,10.409,ram_alert
2026-09-24T03:22:35,125.0,10,3311.3,8.9,2.032,10.377,
2026-09-24T03:22:40,130.2,10,3328.6,8.5,2.035,10.377,
2026-09-24T03:22:45,135.4,11,3562.5,8.7,1.835,10.357,ram_alert
2026-09-24T03:22:50,140.5,12,3889.5,18.4,2.405,10.357,
2026-09-24T03:22:56,145.8,11,3599.2,6.8,2.622,10.357,
2026-09-24T03:23:01,151.0,11,3671.6,8.5,2.580,10.357,
2026-09-24T03:23:06,156.1,11,3685.7,8.8,2.590,10.356,
2026-09-24T03:23:11,161.3,11,3698.9,8.5,2.590,10.356,
2026-09-24T03:23:16,166.4,11,3711.6,8.5,2.567,10.356,
2026-09-24T03:23:21,171.6,11,3682.6,8.7,2.542,10.325,
2026-09-24T03:23:27,176.8,11,3696.0,8.4,2.554,10.325,
2026-09-24T03:23:32,182.0,11,3696.2,9.1,2.520,10.307,
2026-09-24T03:23:37,187.2,11,3708.1,8.5,2.540,10.307,
2026-09-24T03:23:42,192.4,11,3721.2,8.6,2.549,10.307,
2026-09-24T03:23:47,197.5,11,3734.5,8.6,2.532,10.307,
2026-09-24T03:23:52,202.7,11,3747.0,8.5,2.544,10.307,
2026-09-24T03:23:58,207.9,11,3718.3,8.9,2.540,10.275,
2026-09-24T03:24:03,213.0,12,3915.6,13.6,2.353,10.244,
2026-09-24T03:24:08,218.3,11,3631.3,9.5,2.648,10.441,
2026-09-24T03:24:13,223.4,10,3359.2,0.4,2.863,10.441,
2026-09-24T03:24:18,228.6,10,3033.8,2.2,3.161,10.441,
