time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T04:33:05,0.0,3,51.0,0.0,5.538,8.271,
2026-09-24T04:33:11,5.5,4,851.0,23.2,4.793,8.267,
2026-09-24T04:33:16,10.8,11,2040.5,22.5,3.889,8.261,
2026-09-24T04:33:21,16.0,11,2339.9,11.5,3.605,8.243,
2026-09-24T04:33:27,21.3,10,2477.8,10.0,3.504,8.243,
2026-09-24T04:33:32,26.4,10,2635.0,10.1,3.334,8.237,
2026-09-24T04:33:37,31.7,12,2869.7,6.8,3.186,8.236,
2026-09-24T04:33:42,36.8,10,2885.4,4.9,3.105,8.253,
2026-09-24T04:33:47,42.0,10,2983.5,8.6,3.053,8.251,
2026-09-24T04:33:53,47.2,10,2998.6,8.6,3.033,8.251,
2026-09-24T04:33:58,52.4,10,3012.1,8.6,3.058,8.251,
2026-09-24T04:34:03,57.5,10,3025.2,8.3,3.026,8.250,
2026-09-24T04:34:08,62.7,10,3002.5,8.8,2.988,8.219,
2026-09-24T04:34:13,67.9,10,3015.3,8.3,3.007,8.219,
2026-09-24T04:34:18,73.1,10,3089.7,8.9,2.899,8.202,
2026-09-24T04:34:24,78.2,10,3108.6,8.5,2.908,8.201,
2026-09-24T04:34:29,83.4,10,3125.0,8.5,2.901,8.201,
2026-09-24T04:34:34,88.6,10,3142.7,8.6,2.857,8.201,
2026-09-24T04:34:39,93.8,10,3114.5,8.7,2.845,8.169,
2026-09-24T04:34:44,98.9,10,3148.7,8.9,2.789,8.128,
2026-09-24T04:34:49,104.1,12,3546.5,13.5,2.451,8.116,
2026-09-24T04:34:55,109.4,12,3791.5,19.6,2.287,8.116,
2026-09-24T04:35:00,114.6,11,3513.6,3.3,2.497,8.110,
2026-09-24T04:35:05,119.8,11,3516.3,9.0,2.539,8.110,
2026-09-24T04:35:10,124.9,11,3530.1,8.4,2.528,8.110,
2026-09-24T04:35:15,130.1,11,3542.1,8.6,2.532,8.122,
2026-09-24T04:35:21,135.3,11,3552.8,8.7,2.497,8.128,
2026-09-24T04:35:26,140.5,11,3563.5,8.4,2.472,8.153,
2026-09-24T04:35:31,145.7,11,3529.6,8.9,2.482,8.142,
2026-09-24T04:35:36,150.9,11,3540.9,8.4,2.478,8.140,
2026-09-24T04:35:41,156.1,11,3545.1,8.8,2.514,8.122,
2026-09-24T04:35:47,161.3,11,3560.8,8.5,2.502,8.121,
2026-09-24T04:35:52,166.5,11,3566.9,8.5,2.468,8.121,
2026-09-24T04:35:57,171.7,11,3584.5,8.5,2.410,8.120,
2026-09-24T04:36:02,176.9,11,3558.3,8.5,2.404,8.089,
2026-09-24T04:36:08,182.2,12,3726.2,12.9,2.260,8.026,
2026-09-24T04:36:13,187.5,12,3907.7,20.9,1.773,8.025,ram_alert
2026-09-24T04:36:18,192.8,11,3570.8,1.1,2.447,8.019,
2026-09-24T04:36:23,198.0,11,3526.9,9.4,2.540,8.019,
2026-09-24T04:36:29,203.2,11,3382.2,8.4,2.865,8.021,
2026-09-24T04:36:34,208.4,11,3399.3,8.4,2.819,8.020,
2026-09-24T04:36:39,213.6,11,3417.3,8.3,2.782,8.020,
2026-09-24T04:36:44,218.8,11,3392.5,8.7,2.807,7.989,
2026-09-24T04:36:49,223.9,11,3415.6,8.3,2.798,7.971,
2026-09-24T04:36:54,229.1,11,3475.0,8.8,2.671,7.971,
2026-09-24T04:37:00,234.3,11,3491.4,8.4,2.653,7.971,
2026-09-24T04:37:05,239.5,11,3509.3,8.3,2.596,7.970,
2026-09-24T04:37:10,244.6,11,3484.6,8.8,2.638,7.939,
2026-09-24T04:37:15,249.8,11,3489.3,8.9,2.607,7.911,
2026-09-24T04:37:20,255.0,12,3782.6,20.3,2.369,7.877,
2026-09-24T04:37:26,260.2,11,3520.9,4.8,2.555,7.871,
2026-09-24T04:37:31,265.4,11,3485.1,9.4,2.559,7.871,
2026-09-24T04:37:36,270.5,11,3497.5,8.4,2.590,7.870,
2026-09-24T04:37:41,275.7,11,3509.0,8.6,2.561,7.870,
2026-09-24T04:37:46,280.9,11,3521.3,8.4,2.592,7.870,
2026-09-24T04:37:51,286.1,11,3532.2,8.5,2.606,7.870,
2026-09-24T04:37:57,291.3,11,3497.7,8.7,2.584,7.838,
2026-09-24T04:38:02,296.5,11,3509.1,8.4,2.592,7.838,
2026-09-24T04:38:07,301.7,11,3504.4,8.8,2.526,7.821,
2026-09-24T04:38:12,306.9,11,3518.7,8.4,2.540,7.821,
2026-09-24T04:38:17,312.1,11,3534.5,8.3,2.583,7.820,
2026-09-24T04:38:23,317.3,11,3553.2,8.6,2.634,7.820,
2026-09-24T04:38:28,322.4,11,3528.0,8.7,2.633,7.789,
2026-09-24T04:38:33,327.6,12,3666.1,13.1,2.477,7.727,
2026-09-24T04:38:38,332.8,11,3451.3,9.5,2.737,7.726,
2026-09-24T04:38:43,338.0,11,3421.2,11.8,2.760,7.721,
2026-09-24T04:38:49,343.2,11,3497.7,9.6,2.705,7.720,
2026-09-24T04:38:54,348.4,11,3511.3,8.7,2.646,7.720,
2026-09-24T04:38:59,353.6,11,3524.6,8.6,2.649,7.720,
2026-09-24T04:39:04,358.7,11,3539.1,8.8,2.663,7.720,
2026-09-24T04:39:09,363.9,11,3509.5,8.5,2.653,7.688,
2026-09-24T04:39:14,369.1,11,3523.3,8.3,2.673,7.688,
2026-09-24T04:39:20,374.3,11,3524.2,8.7,2.650,7.671,
2026-09-24T04:39:25,379.4,11,3537.9,8.4,2.596,7.670,
2026-09-24T04:39:30,384.6,11,3551.4,8.7,2.564,7.670,
2026-09-24T04:39:35,389.8,11,3564.4,8.5,2.530,7.670,
2026-09-24T04:39:40,395.0,11,3533.3,8.7,2.560,7.639,
2026-09-24T04:39:45,400.2,11,3545.4,8.3,2.536,7.638,
2026-09-24T04:39:51,405.4,11,3568.2,9.0,2.538,7.576,
2026-09-24T04:39:56,410.5,12,3906.5,20.9,2.283,7.572,
2026-09-24T04:40:01,415.8,11,3588.4,5.4,2.530,7.571,
2026-09-24T04:40:06,421.0,11,3576.4,9.0,2.551,7.565,
2026-09-24T04:40:12,426.2,11,3588.3,8.5,2.524,7.565,
2026-09-24T04:40:17,431.4,11,3599.8,8.5,2.538,7.565,
2026-09-24T04:40:22,436.7,11,3613.5,8.7,2.561,7.565,
2026-09-24T04:40:27,441.8,11,3626.8,8.5,2.587,7.565,
2026-09-24T04:40:32,447.0,11,3598.5,8.6,2.583,7.533,
2026-09-24T04:40:38,452.2,11,3595.8,9.5,2.580,7.516,
2026-09-24T04:40:43,457.3,11,3610.8,8.5,2.591,7.516,
2026-09-24T04:40:48,462.5,11,3624.5,8.3,2.586,7.516,
2026-09-24T04:40:53,467.7,11,3639.2,8.4,2.565,7.516,
2026-09-24T04:40:58,472.8,11,3652.0,8.3,2.570,7.515,
2026-09-24T04:41:03,478.0,11,3623.6,8.5,2.602,7.484,
2026-09-24T04:41:09,483.2,12,3706.7,10.3,2.449,7.416,
2026-09-24T04:41:14,488.4,11,3643.9,13.1,2.523,7.415,
2026-09-24T04:41:19,493.7,11,3580.7,11.8,2.582,7.409,
2026-09-24T04:41:24,498.8,11,3594.8,8.5,2.572,7.409,
2026-09-24T04:41:29,504.0,11,3607.8,8.4,2.525,7.409,
2026-09-24T04:41:35,509.2,11,3621.2,8.5,2.544,7.409,
2026-09-24T04:41:40,514.4,11,3633.7,8.4,2.580,7.408,
2026-09-24T04:41:45,519.5,11,3605.1,8.9,2.599,7.377,
2026-09-24T04:41:50,524.7,11,3609.8,9.6,2.548,7.359,
2026-09-24T04:41:55,529.9,11,3616.5,8.5,2.560,7.359,
2026-09-24T04:42:00,535.0,11,3630.3,8.5,2.548,7.359,
2026-09-24T04:42:06,540.2,11,3645.0,8.6,2.522,7.359,
2026-09-24T04:42:11,545.4,11,3658.4,8.5,2.581,7.359,
2026-09-24T04:42:16,550.5,11,3629.3,8.6,2.591,7.327,
2026-09-24T04:42:21,555.7,11,3608.0,9.0,2.528,7.267,
2026-09-24T04:42:26,560.9,12,3939.4,21.9,2.492,7.261,
2026-09-24T04:42:31,566.1,11,3576.3,3.7,2.541,7.255,
2026-09-24T04:42:37,571.3,11,3571.5,8.4,2.591,7.255,
2026-09-24T04:42:42,576.5,11,3585.4,8.5,2.582,7.255,
2026-09-24T04:42:47,581.6,11,3600.1,8.4,2.606,7.254,
2026-09-24T04:42:52,586.8,11,3614.1,8.5,2.565,7.254,
2026-09-24T04:42:57,592.0,11,3585.6,8.6,2.567,7.223,
2026-09-24T04:43:03,597.2,11,3589.3,9.3,2.526,7.205,
2026-09-24T04:43:08,602.3,11,3595.0,8.6,2.497,7.205,
2026-09-24T04:43:13,607.5,11,3607.0,8.4,2.454,7.205,
2026-09-24T04:43:18,612.7,11,3619.2,8.6,2.446,7.204,
2026-09-24T04:43:23,617.9,11,3633.4,8.5,2.578,7.204,
2026-09-24T04:43:28,623.1,11,3604.0,8.6,2.568,7.173,
2026-09-24T04:43:34,628.2,11,3618.2,8.5,2.544,7.173,
2026-09-24T04:43:39,633.4,12,3854.4,18.5,2.355,7.106,
2026-09-24T04:43:44,638.6,10,3220.6,0.0,2.855,7.882,
2026-09-24T04:43:49,643.8,10,2865.8,3.7,3.213,7.882,
2026-09-24T04:43:54,649.0,10,2868.8,2.1,3.219,7.882,
