time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T04:02:25,0.0,3,19.6,0.0,5.922,8.982,
2026-09-24T04:02:30,5.5,4,611.3,11.9,5.438,8.983,
2026-09-24T04:02:35,10.8,4,1069.3,13.9,4.986,8.983,
2026-09-24T04:02:41,16.0,12,1979.4,23.5,4.316,8.971,
2026-09-24T04:02:46,21.4,10,2098.4,9.9,4.104,8.959,
2026-09-24T04:02:51,26.8,10,2387.8,14.6,3.832,8.959,
2026-09-24T04:02:56,31.9,10,2484.7,11.7,3.726,8.954,
2026-09-24T04:03:02,37.1,10,2666.5,9.2,3.568,8.953,
2026-09-24T04:03:07,42.3,12,2852.7,4.3,3.368,8.952,
2026-09-24T04:03:12,47.5,10,2937.8,7.3,3.327,8.952,
2026-09-24T04:03:17,52.6,10,3012.6,8.6,3.225,8.949,
2026-09-24T04:03:22,57.8,10,3023.0,8.5,3.205,8.948,
2026-09-24T04:03:27,63.0,10,3035.2,8.6,3.153,8.948,
2026-09-24T04:03:33,68.1,10,3048.1,8.4,3.121,8.947,
2026-09-24T04:03:38,73.3,10,3059.0,8.6,3.204,8.947,
2026-09-24T04:03:43,78.5,10,3035.2,8.8,3.200,8.916,
2026-09-24T04:03:48,83.6,10,3122.8,8.8,3.122,8.899,
2026-09-24T04:03:53,88.9,10,3134.6,8.5,3.141,8.899,
2026-09-24T04:03:59,94.0,10,3152.1,8.5,3.112,8.898,
2026-09-24T04:04:04,99.2,10,3171.4,8.5,3.123,8.898,
2026-09-24T04:04:09,104.4,10,3146.1,8.9,3.122,8.863,
2026-09-24T04:04:14,109.5,10,3151.3,8.0,3.054,8.801,
2026-09-24T04:04:19,114.8,12,3706.3,16.5,2.569,8.801,
2026-09-24T04:04:25,120.0,11,3568.1,9.0,2.696,8.800,
2026-09-24T04:04:30,125.2,11,3540.2,11.2,2.734,8.794,
2026-09-24T04:04:35,130.4,11,3533.0,8.9,2.689,8.794,
2026-09-24T04:04:40,135.6,11,3547.3,8.7,2.683,8.794,
2026-09-24T04:04:45,140.7,11,3561.6,8.7,2.770,8.794,
2026-09-24T04:04:50,145.9,11,3572.4,8.4,2.778,8.794,
2026-09-24T04:04:56,151.1,11,3543.4,8.7,2.780,8.763,
2026-09-24T04:05:01,156.3,11,3571.3,8.7,2.736,8.745,
2026-09-24T04:05:06,161.5,11,3566.7,8.9,2.782,8.745,
2026-09-24T04:05:11,166.7,11,3584.6,8.5,2.773,8.745,
2026-09-24T04:05:16,171.8,11,3584.1,8.5,2.776,8.745,
2026-09-24T04:05:22,177.0,11,3544.7,8.8,2.768,8.713,
2026-09-24T04:05:27,182.2,11,3531.3,8.9,2.665,8.672,
2026-09-24T04:05:32,187.4,12,3805.2,19.6,2.495,8.651,
2026-09-24T04:05:37,192.6,11,3551.1,5.6,2.753,8.651,
2026-09-24T04:05:42,197.8,11,3520.2,10.9,2.771,8.645,
2026-09-24T04:05:48,203.0,11,3533.4,8.4,2.748,8.645,
2026-09-24T04:05:53,208.2,11,3546.3,8.5,2.717,8.645,
2026-09-24T04:05:58,213.4,11,3560.9,8.5,2.729,8.645,
2026-09-24T04:06:03,218.6,11,3573.5,8.4,2.770,8.644,
2026-09-24T04:06:08,223.7,11,3544.3,8.6,2.805,8.613,
2026-09-24T04:06:13,228.9,11,3551.1,9.0,2.795,8.596,
2026-09-24T04:06:19,234.1,11,3561.6,8.8,2.780,8.595,
2026-09-24T04:06:24,239.3,11,3413.3,8.5,3.060,8.595,
2026-09-24T04:06:29,244.4,11,3445.7,8.6,3.009,8.595,
2026-09-24T04:06:34,249.6,11,3448.0,8.7,3.000,8.563,
2026-09-24T04:06:39,254.8,12,3654.7,14.6,2.769,8.500,
2026-09-24T04:06:44,260.0,11,3531.2,9.6,2.880,8.500,
2026-09-24T04:06:50,265.2,11,3493.4,10.9,2.901,8.494,
2026-09-24T04:06:55,270.3,11,3506.9,8.6,2.893,8.494,
2026-09-24T04:07:00,275.5,11,3520.2,8.4,2.870,8.494,
2026-09-24T04:07:05,280.7,11,3533.6,8.5,2.858,8.494,
2026-09-24T04:07:10,285.8,11,3546.9,8.4,2.859,8.493,
2026-09-24T04:07:16,291.0,11,3518.2,8.7,2.861,8.462,
2026-09-24T04:07:21,296.2,11,3515.1,9.4,2.874,8.445,
2026-09-24T04:07:26,301.3,11,3534.0,8.6,2.879,8.444,
2026-09-24T04:07:31,306.5,11,3551.9,8.3,2.844,8.444,
2026-09-24T04:07:36,311.7,11,3570.8,8.6,2.842,8.444,
2026-09-24T04:07:41,316.8,11,3547.7,8.7,2.833,8.413,
2026-09-24T04:07:46,322.0,12,3736.9,15.1,2.640,8.351,
2026-09-24T04:07:52,327.2,11,3570.3,10.0,2.754,8.350,
2026-09-24T04:07:57,332.4,11,3524.5,11.0,2.759,8.345,
2026-09-24T04:08:02,337.5,11,3536.2,8.4,2.744,8.344,
2026-09-24T04:08:07,342.8,11,3544.9,8.5,2.730,8.344,
2026-09-24T04:08:12,348.0,11,3557.2,8.7,2.785,8.344,
2026-09-24T04:08:18,353.1,11,3569.8,8.4,2.815,8.344,
2026-09-24T04:08:23,358.3,11,3540.5,8.7,2.806,8.312,
2026-09-24T04:08:28,363.5,11,3546.6,8.8,2.818,8.295,
2026-09-24T04:08:33,368.6,11,3554.8,8.5,2.828,8.295,
2026-09-24T04:08:38,373.8,11,3572.1,8.4,2.846,8.294,
2026-09-24T04:08:44,379.0,11,3590.6,8.3,2.773,8.294,
2026-09-24T04:08:49,384.2,11,3563.8,8.7,2.820,8.262,
2026-09-24T04:08:54,389.4,11,3544.7,8.7,2.790,8.213,
2026-09-24T04:08:59,394.6,12,3910.9,21.6,2.510,8.200,
2026-09-24T04:09:04,399.7,11,3565.6,4.8,2.780,8.195,
2026-09-24T04:09:09,404.9,11,3547.9,8.5,2.838,8.194,
2026-09-24T04:09:15,410.1,11,3560.7,8.5,2.846,8.194,
2026-09-24T04:09:20,415.3,11,3572.1,8.8,2.805,8.194,
2026-09-24T04:09:25,420.4,11,3585.1,8.3,2.826,8.194,
2026-09-24T04:09:30,425.6,11,3556.4,8.5,2.833,8.162,
2026-09-24T04:09:35,430.7,11,3569.8,8.4,2.780,8.153,
2026-09-24T04:09:40,435.9,11,3570.5,9.7,2.843,8.145,
2026-09-24T04:09:46,441.1,11,3588.0,8.5,2.838,8.145,
2026-09-24T04:09:51,446.2,11,3606.5,8.6,2.830,8.144,
2026-09-24T04:09:56,451.4,11,3581.0,8.8,2.804,8.113,
2026-09-24T04:10:01,456.6,11,3562.9,8.8,2.731,8.064,
2026-09-24T04:10:06,461.8,12,3931.3,20.8,2.498,8.051,
2026-09-24T04:10:12,467.0,11,3559.5,2.7,2.787,8.050,
2026-09-24T04:10:17,472.2,11,3544.0,8.6,2.869,8.050,
2026-09-24T04:10:22,477.4,11,3557.4,8.5,2.870,8.050,
2026-09-24T04:10:27,482.5,11,3570.5,8.5,2.853,8.050,
2026-09-24T04:10:32,487.7,11,3539.8,8.7,2.854,8.018,
2026-09-24T04:10:37,492.8,11,3553.8,8.4,2.818,8.018,
2026-09-24T04:10:43,498.0,11,3552.0,9.6,2.854,8.001,
2026-09-24T04:10:48,503.2,11,3570.8,8.4,2.821,8.001,
2026-09-24T04:10:53,508.4,11,3589.4,8.4,2.826,8.001,
2026-09-24T04:10:58,513.5,11,3564.3,8.7,2.833,7.969,
2026-09-24T04:11:03,518.7,11,3600.9,8.9,2.817,7.950,
2026-09-24T04:11:08,523.9,12,3852.8,19.5,2.589,7.913,
2026-09-24T04:11:14,529.1,11,3557.0,6.5,2.788,7.907,
2026-09-24T04:11:19,534.4,11,3545.1,9.0,2.784,7.906,
2026-09-24T04:11:24,539.5,11,3559.3,8.5,2.790,7.906,
2026-09-24T04:11:29,544.7,11,3572.4,8.4,2.782,7.906,
2026-09-24T04:11:34,549.9,11,3584.7,8.4,2.751,7.906,
2026-09-24T04:11:40,555.1,11,3554.0,8.6,2.777,7.874,
2026-09-24T04:11:45,560.2,11,3567.8,8.6,2.830,7.874,
2026-09-24T04:11:50,565.4,11,3566.6,9.3,2.788,7.857,
2026-09-24T04:11:55,570.6,11,3584.1,8.5,2.812,7.857,
2026-09-24T04:12:00,575.7,11,3602.7,8.5,2.805,7.856,
2026-09-24T04:12:05,580.9,11,3577.5,8.7,2.827,7.825,
2026-09-24T04:12:11,586.1,11,3602.2,8.4,2.797,7.808,
2026-09-24T04:12:16,591.3,12,3825.9,18.6,2.610,7.762,
2026-09-24T04:12:21,596.5,11,3532.7,6.0,2.826,7.761,
2026-09-24T04:12:26,601.7,11,3521.6,8.5,2.860,7.761,
2026-09-24T04:12:31,606.9,11,3535.3,8.6,2.831,7.761,
2026-09-24T04:12:37,612.0,11,3549.6,8.4,2.867,7.761,
2026-09-24T04:12:42,617.2,11,3563.3,8.5,2.883,7.761,
2026-09-24T04:12:47,622.3,11,3534.2,8.6,2.907,7.730,
2026-09-24T04:12:52,627.5,11,3534.3,9.2,2.850,7.712,
2026-09-24T04:12:57,632.7,11,3550.0,8.6,2.859,7.712,
2026-09-24T04:13:02,637.9,11,3562.1,8.4,2.806,7.712,
2026-09-24T04:13:08,643.0,11,3573.6,8.5,2.773,7.712,
2026-09-24T04:13:13,648.2,11,3585.0,8.6,2.827,7.712,
2026-09-24T04:13:18,653.4,11,3594.2,8.5,2.805,7.690,
2026-09-24T04:13:23,658.6,11,3563.7,8.8,2.851,7.680,
2026-09-24T04:13:28,663.8,11,3586.4,9.1,2.768,7.632,
2026-09-24T04:13:34,669.0,12,3954.7,20.7,2.504,7.630,
2026-09-24T04:13:39,674.2,11,3585.3,1.2,2.745,7.629,
2026-09-24T04:13:44,679.4,11,3583.5,8.6,2.663,7.629,
2026-09-24T04:13:49,684.6,11,3595.2,8.5,2.741,7.629,
2026-09-24T04:13:54,689.8,11,3609.2,8.3,2.724,7.629,
2026-09-24T04:14:00,695.0,11,3622.6,8.5,2.737,7.629,
2026-09-24T04:14:05,700.2,11,3593.9,8.7,2.753,7.597,
2026-09-24T04:14:10,705.4,11,3590.4,9.1,2.705,7.580,
2026-09-24T04:14:15,710.5,11,3603.8,8.4,2.726,7.583,
2026-09-24T04:14:20,715.7,11,3617.2,8.5,2.736,7.583,
2026-09-24T04:14:25,720.9,11,3631.0,8.6,2.755,7.582,
2026-09-24T04:14:31,726.1,11,3643.1,8.5,2.691,7.582,
2026-09-24T04:14:36,731.3,11,3610.6,8.8,2.668,7.551,
2026-09-24T04:14:41,736.6,11,3623.3,8.4,2.705,7.551,
2026-09-24T04:14:46,741.7,12,3801.7,16.2,2.500,7.499,
2026-09-24T04:14:51,746.9,11,3604.1,8.4,2.690,7.499,
2026-09-24T04:14:57,752.1,11,3604.4,8.6,2.699,7.499,
2026-09-24T04:15:02,757.3,11,3616.2,8.4,2.693,7.499,
2026-09-24T04:15:07,762.5,11,3626.6,8.4,2.691,7.498,
2026-09-24T04:15:12,767.7,11,3640.0,8.7,2.699,7.498,
2026-09-24T04:15:17,772.8,11,3611.0,8.8,2.780,7.467,
2026-09-24T04:15:23,778.0,11,3624.4,8.6,2.788,7.467,
2026-09-24T04:15:28,783.2,11,3620.0,9.0,2.741,7.449,
2026-09-24T04:15:33,788.4,11,3632.8,8.4,2.747,7.449,
2026-09-24T04:15:38,793.6,11,3643.3,8.5,2.807,7.449,
2026-09-24T04:15:43,798.8,11,3656.4,8.8,2.797,7.449,
2026-09-24T04:15:48,803.9,11,3669.1,8.4,2.755,7.449,
2026-09-24T04:15:54,809.1,11,3639.3,8.6,2.783,7.417,
2026-09-24T04:15:59,814.3,11,3618.6,8.6,2.762,7.383,
2026-09-24T04:16:04,819.5,12,3967.7,20.2,2.543,7.370,
2026-09-24T04:16:09,824.7,11,3603.5,2.0,2.765,7.369,
2026-09-24T04:16:14,829.9,11,3617.5,8.4,2.799,7.369,
2026-09-24T04:16:20,835.1,11,3630.9,8.6,2.791,7.369,
2026-09-24T04:16:25,840.2,11,3644.2,8.5,2.744,7.369,
2026-09-24T04:16:30,845.4,11,3615.6,8.5,2.791,7.337,
2026-09-24T04:16:35,850.6,11,3629.4,8.6,2.763,7.337,
2026-09-24T04:16:40,855.8,11,3626.8,8.9,2.761,7.320,
2026-09-24T04:16:45,860.9,11,3640.6,8.5,2.781,7.320,
2026-09-24T04:16:51,866.2,11,3652.9,8.5,2.750,7.319,
2026-09-24T04:16:56,871.3,11,3667.2,8.4,2.756,7.319,
2026-09-24T04:17:01,876.5,11,3638.2,8.6,2.767,7.288,
2026-09-24T04:17:06,881.7,11,3651.3,8.4,2.733,7.288,
2026-09-24T04:17:11,886.9,12,3857.1,17.1,2.549,7.236,
2026-09-24T04:17:17,892.1,11,3618.1,8.0,2.717,7.235,
2026-09-24T04:17:22,897.2,11,3616.4,8.4,2.774,7.235,
2026-09-24T04:17:27,902.4,11,3628.5,8.4,2.776,7.235,
2026-09-24T04:17:32,907.6,11,3643.4,8.3,2.778,7.235,
2026-09-24T04:17:37,912.8,11,3656.4,8.5,2.745,7.234,
2026-09-24T04:17:42,917.9,11,3628.1,8.6,2.752,7.203,
2026-09-24T04:17:48,923.1,11,3632.2,9.1,2.773,7.186,
2026-09-24T04:17:53,928.3,11,3637.7,8.6,2.705,7.186,
2026-09-24T04:17:58,933.5,11,3648.7,8.6,2.728,7.185,
2026-09-24T04:18:03,938.7,11,3661.3,8.5,2.776,7.185,
2026-09-24T04:18:08,943.8,11,3675.8,8.4,2.752,7.185,
2026-09-24T04:18:14,949.1,11,3646.9,8.6,2.742,7.154,
2026-09-24T04:18:19,954.2,11,3660.4,8.4,2.672,7.153,
2026-09-24T04:18:24,959.4,12,3867.0,16.9,2.480,7.102,
2026-09-24T04:18:29,964.7,11,3603.6,6.3,2.659,7.101,
2026-09-24T04:18:34,969.9,11,3617.0,8.6,2.738,7.101,
2026-09-24T04:18:40,975.0,11,3629.4,8.4,2.704,7.101,
2026-09-24T04:18:45,980.2,11,3644.7,8.5,2.678,7.101,
2026-09-24T04:18:50,985.4,11,3656.8,8.3,2.705,7.101,
2026-09-24T04:18:55,990.6,11,3625.5,8.5,2.685,7.069,
