time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T04:21:32,0.0,3,28.3,0.0,6.051,8.295,
2026-09-24T04:21:37,5.5,4,818.9,18.2,5.262,8.291,
2026-09-24T04:21:43,10.7,4,1044.1,39.0,5.028,8.291,
2026-09-24T04:21:48,15.9,4,1043.5,8.3,4.987,8.291,
2026-09-24T04:21:53,21.0,4,1081.2,26.6,4.939,8.290,
2026-09-24T04:21:58,26.2,4,998.8,9.9,4.969,8.290,
2026-09-24T04:22:03,31.4,4,1081.4,24.1,4.966,8.290,
2026-09-24T04:22:08,36.5,4,1081.4,8.3,4.980,8.290,
2026-09-24T04:22:14,41.6,4,1095.3,23.0,4.951,8.290,
2026-09-24T04:22:19,46.8,4,1095.3,8.3,4.974,8.290,
2026-09-24T04:22:24,51.9,4,1087.6,26.7,4.985,8.290,
2026-09-24T04:22:29,57.1,4,1096.0,8.5,4.953,8.289,
2026-09-24T04:22:34,62.2,4,1088.5,22.9,5.005,8.289,
2026-09-24T04:22:39,67.4,4,1096.8,11.6,4.985,8.289,
2026-09-24T04:22:45,72.6,4,1096.8,26.4,4.973,8.289,
2026-09-24T04:22:50,77.7,4,1096.8,8.4,4.974,8.289,
2026-09-24T04:22:55,82.9,4,1088.9,19.5,4.956,8.289,
2026-09-24T04:23:00,88.1,4,1097.2,14.2,4.960,8.288,
2026-09-24T04:23:05,93.3,4,1070.1,12.3,5.003,8.288,
2026-09-24T04:23:11,98.7,4,1097.1,22.1,4.957,8.288,
2026-09-24T04:23:16,103.8,4,1097.7,15.7,4.987,8.288,
2026-09-24T04:23:21,109.0,4,1106.0,16.6,4.969,8.288,
2026-09-24T04:23:26,114.2,4,1079.1,11.8,5.013,8.288,
2026-09-24T04:23:32,119.6,4,1106.1,21.1,4.967,8.288,
2026-09-24T04:23:37,124.7,4,1074.8,9.8,5.002,8.288,
2026-09-24T04:23:42,129.9,4,1108.0,24.8,4.982,8.287,
2026-09-24T04:23:47,135.0,4,1099.6,21.1,4.967,8.287,
2026-09-24T04:23:52,140.2,4,1107.8,11.7,5.007,8.287,
2026-09-24T04:23:57,145.4,4,1101.1,15.7,5.027,8.287,
2026-09-24T04:24:03,150.6,4,1109.5,17.3,4.982,8.287,
2026-09-24T04:24:08,155.8,4,1053.3,9.6,5.030,8.286,
2026-09-24T04:24:13,161.0,4,1109.5,24.3,4.973,8.286,
2026-09-24T04:24:18,166.1,4,1109.5,8.3,4.978,8.286,
2026-09-24T04:24:23,171.3,4,1105.7,27.5,4.961,8.286,
2026-09-24T04:24:28,176.4,4,1105.7,8.3,5.005,8.286,
2026-09-24T04:24:34,181.5,4,1104.1,26.2,4.992,8.286,
2026-09-24T04:24:39,186.7,4,1090.9,8.4,5.016,8.286,
2026-09-24T04:24:44,191.8,4,1088.0,25.7,5.001,8.286,
2026-09-24T04:24:49,197.0,4,1085.8,8.5,4.971,8.286,
2026-09-24T04:24:54,202.1,4,1074.2,22.5,4.996,8.285,
2026-09-24T04:24:59,207.4,4,1077.6,11.5,4.968,8.285,
2026-09-24T04:25:04,212.5,4,1062.7,23.1,4.979,8.285,
2026-09-24T04:25:10,217.8,4,1068.7,10.0,4.997,8.284,
2026-09-24T04:25:15,222.9,4,1036.6,13.2,4.977,8.284,
2026-09-24T04:25:20,228.3,4,1061.3,20.6,4.921,8.284,
2026-09-24T04:25:25,233.4,4,995.9,9.7,4.905,8.284,
2026-09-24T04:25:31,238.6,4,1037.8,24.3,4.856,8.284,
2026-09-24T04:25:36,243.8,4,1010.9,13.7,4.905,8.284,
2026-09-24T04:25:41,249.1,4,1037.9,22.3,4.926,8.284,
2026-09-24T04:25:46,254.3,4,1037.9,8.3,4.935,8.283,
2026-09-24T04:25:51,259.4,4,1037.9,26.8,4.966,8.283,
2026-09-24T04:25:57,264.6,4,1037.9,8.3,4.967,8.283,
2026-09-24T04:26:02,269.7,4,1037.9,26.3,4.952,8.283,
2026-09-24T04:26:07,274.9,4,1037.9,8.3,4.968,8.283,
