record,split,rate_hz,protocol,horizon,domain,oracle_rms,fp_rms,floor_over_target,oracle_finite,fp_finite
E1_resonance_sweep,E,4000,corate,full,time,1.69153418749951e-08,1.1090200297234679e-05,0.0015252512508013862,True,True
E1_resonance_sweep,E,4000,corate,full,band,1.5933832722759868e-08,1.056576355863019e-05,0.0015080625867067601,True,True
E1_resonance_sweep,E,4000,corate,windows,time,1.856538716288987e-08,1.1239006856266021e-05,0.0016518707925281863,True,True
E1_resonance_sweep,E,4000,corate,windows,band,1.4322806687744805e-08,9.395244042128713e-06,0.00152447415133877,True,True
E1_resonance_sweep,E,4000,controller20k_zoh,full,time,2.4089679755674223e-07,1.1217358942356963e-05,0.021475357862278194,True,True
E1_resonance_sweep,E,4000,controller20k_zoh,full,band,2.2640321799069372e-07,1.068798987701606e-05,0.021182955878126485,True,True
E1_resonance_sweep,E,4000,controller20k_zoh,windows,time,2.4129089283300107e-07,1.1364079358299912e-05,0.021232770840936707,True,True
E1_resonance_sweep,E,4000,controller20k_zoh,windows,band,1.954525530010044e-07,9.496734891525033e-06,0.02058102655634074,True,True
E1_resonance_sweep,E,2000,corate,full,time,7.774896039786921e-08,1.2321114297871233e-05,0.006310221504178579,True,True
E1_resonance_sweep,E,2000,corate,full,band,7.364020142808265e-08,1.1747098968035045e-05,0.006268798928864439,True,True
E1_resonance_sweep,E,2000,corate,windows,time,8.763742282282277e-08,1.2484624765183625e-05,0.007019628100255026,True,True
E1_resonance_sweep,E,2000,corate,windows,band,6.801926451163187e-08,1.0847128144103547e-05,0.006270716415257512,True,True
E1_resonance_sweep,E,2000,controller20k_zoh,full,time,6.297551743280847e-07,1.261809686382293e-05,0.049908887300876725,True,True
E1_resonance_sweep,E,2000,controller20k_zoh,full,band,5.924802761168883e-07,1.2031245309725667e-05,0.04924513305683714,True,True
E1_resonance_sweep,E,2000,controller20k_zoh,windows,time,6.264936595253023e-07,1.277816913830157e-05,0.04902843691804299,True,True
E1_resonance_sweep,E,2000,controller20k_zoh,windows,band,5.318653725003867e-07,1.1089493491980607e-05,0.047961196143449326,True,True
E1_resonance_sweep,E,1000,corate,full,time,inf,1.5386589621362973e-05,inf,False,True
E1_resonance_sweep,E,1000,corate,full,band,inf,1.4739011283733702e-05,inf,False,True
E1_resonance_sweep,E,1000,corate,windows,time,9.025020388650164e-06,1.545265330790209e-05,0.5840434136987335,True,True
E1_resonance_sweep,E,1000,corate,windows,band,1.3726843471641267e-06,1.4018249820489025e-05,0.09792123587053043,True,True
E1_resonance_sweep,E,1000,controller20k_zoh,full,time,2.1233747428525945e-06,1.6675155272629615e-05,0.12733762943352464,True,True
E1_resonance_sweep,E,1000,controller20k_zoh,full,band,1.9710263361048594e-06,1.587968192641532e-05,0.12412253250653106,True,True
