record,split,rate_hz,protocol,horizon,domain,oracle_rms,fp_rms,floor_over_target,oracle_finite,fp_finite
E1_resonance_sweep,E,4000,open_loop,full,time,4.3475597352564124e-07,6.401949494454302e-06,0.06790993491939436,True,True
E1_resonance_sweep,E,4000,open_loop,full,band,1.260806648031832e-08,6.08678767052001e-06,0.0020713826673111435,True,True
E1_resonance_sweep,E,4000,open_loop,windows,time,3.3825459198081226e-08,0.00030796900556920716,0.00010983397220627103,True,True
E1_resonance_sweep,E,4000,open_loop,windows,band,1.156042515507713e-08,5.456415381387881e-06,0.0021186849510230372,True,True
E1_resonance_sweep,E,2000,open_loop,full,time,1.7683576398106036e-06,6.403465494347144e-06,0.27615634711730325,True,True
E1_resonance_sweep,E,2000,open_loop,full,band,4.4537921064355336e-08,6.007157928292971e-06,0.007414141861426223,True,True
E1_resonance_sweep,E,2000,open_loop,windows,time,1.261492787884756e-07,0.00035092416198171045,0.00035947732432014835,True,True
E1_resonance_sweep,E,2000,open_loop,windows,band,4.1495701362565515e-08,5.606022241601862e-06,0.007401986573408342,True,True
E1_resonance_sweep,E,1000,open_loop,full,time,6.757092239907642e-06,8.552069673028212e-06,0.7901119259140713,True,True
E1_resonance_sweep,E,1000,open_loop,full,band,3.816584147067011e-07,5.686047144785694e-06,0.06712192231059767,True,True
E1_resonance_sweep,E,1000,open_loop,windows,time,6.007701334528186e-07,0.0003555732371382601,0.001689581978351247,True,True
E1_resonance_sweep,E,1000,open_loop,windows,band,3.524835301359575e-07,5.486933050581124e-06,0.06424053781713734,True,True
E2_multisine_Yp22,E,4000,open_loop,full,time,1.3771632716267156e-06,1.35236939372615e-05,0.10183336579603089,True,True
E2_multisine_Yp22,E,4000,open_loop,full,band,3.8890616779871385e-08,6.8016710923119e-06,0.005717803206307701,True,True
E2_multisine_Yp22,E,4000,open_loop,windows,time,5.919844497751138e-08,0.00042681137897218694,0.00013869931284416162,True,True
E2_multisine_Yp22,E,4000,open_loop,windows,band,3.4519624234157117e-08,6.2291346675900015e-06,0.0055416403844600875,True,True
E2_multisine_Yp22,E,2000,open_loop,full,time,5.598663671852918e-06,9.908963822191007e-06,0.5650100022885114,True,True
E2_multisine_Yp22,E,2000,open_loop,full,band,1.583521316822135e-07,6.708622233420154e-06,0.02360427017239921,True,True
E2_multisine_Yp22,E,2000,open_loop,windows,time,2.5145897166054205e-07,0.00039211228704469434,0.0006412932722811613,True,True
E2_multisine_Yp22,E,2000,open_loop,windows,band,1.48274900579376e-07,6.196134410069506e-06,0.023930226616519234,True,True
E2_multisine_Yp22,E,1000,open_loop,full,time,2.127295570627247e-05,1.2253257254347864e-05,1.7361061850492137,True,True
E2_multisine_Yp22,E,1000,open_loop,full,band,7.538288522862167e-07,6.352857115872281e-06,0.11865981534557338,True,True
E2_multisine_Yp22,E,1000,open_loop,windows,time,1.0865948313960935e-06,0.0004582382914396535,0.002371244070377278,True,True
E2_multisine_Yp22,E,1000,open_loop,windows,band,7.136284989829667e-07,6.01226819343498e-06,0.11869538683623665,True,True
E3_aprbs_above,E,4000,open_loop,full,time,2.8638928906890974e-06,0.008374305574918592,0.000341985716316178,True,True
E3_aprbs_above,E,4000,open_loop,full,band,5.085519846210696e-08,8.592399241826973e-06,0.005918626105564177,True,True
E3_aprbs_above,E,4000,open_loop,windows,time,1.1596167958244655e-07,0.0006563108999504554,0.00017668711519372974,True,True
E3_aprbs_above,E,4000,open_loop,windows,band,4.561784787075186e-08,7.770333704113965e-06,0.005870770755521055,True,True
E3_aprbs_above,E,2000,open_loop,full,time,1.1638271724225603e-05,0.008366052673868071,0.0013911305818786594,True,True
E3_aprbs_above,E,2000,open_loop,full,band,2.077695728497784e-07,8.479975404018748e-06,0.024501199938777446,True,True
E3_aprbs_above,E,2000,open_loop,windows,time,4.88071176132121e-07,0.0006272490222734216,0.0007781138890629756,True,True
E3_aprbs_above,E,2000,open_loop,windows,band,1.9365266699116812e-07,7.954186564845514e-06,0.02434600513986426,True,True
E3_aprbs_above,E,1000,open_loop,full,time,4.4207884018118675e-05,0.008335442171170443,0.005303603949292484,True,True
E3_aprbs_above,E,1000,open_loop,full,band,9.823879367409903e-07,8.0465490465663e-06,0.12208810647344583,True,True
E3_aprbs_above,E,1000,open_loop,windows,time,2.0219730189737745e-06,0.0006254749744932524,0.00323270011020335,True,True
E3_aprbs_above,E,1000,open_loop,windows,band,9.355923712914304e-07,7.695171587014483e-06,0.12158174261769969,True,True
E4_multisine_off,E,4000,open_loop,full,time,7.464667966586771e-08,0.007767518310462025,9.610106688171758e-06,True,True
E4_multisine_off,E,4000,open_loop,full,band,4.513453727253746e-10,3.2856375067976224e-08,0.013736919297749393,True,True
E4_multisine_off,E,4000,open_loop,windows,time,7.972775592985567e-08,0.00030000990132802877,0.00026575041549272696,True,True
E4_multisine_off,E,4000,open_loop,windows,band,4.3557866205917384e-10,4.8887102499762024e-08,0.008909889107485847,True,True
E4_multisine_off,E,2000,open_loop,full,time,3.139172581377751e-07,0.007767165923252743,4.041593307515085e-05,True,True
E4_multisine_off,E,2000,open_loop,full,band,8.722403738954159e-10,3.232162951213455e-08,0.026986274734940252,True,True
E4_multisine_off,E,2000,open_loop,windows,time,3.245040051314989e-07,0.00030025894098110626,0.001080747184650592,True,True
E4_multisine_off,E,2000,open_loop,windows,band,8.518644671597195e-10,5.1956219514137775e-08,0.016395813150491427,True,True
E4_multisine_off,E,1000,open_loop,full,time,1.2724150749413197e-06,0.007765852121560107,0.00016384745099752172,True,True
E4_multisine_off,E,1000,open_loop,full,band,3.23514788946922e-09,3.023953553707119e-08,0.10698404694421294,True,True
E4_multisine_off,E,1000,open_loop,windows,time,1.2856704831827133e-06,0.0003056527157072228,0.004206311336733632,True,True
E4_multisine_off,E,1000,open_loop,windows,band,3.2433479913557647e-09,5.407095215326323e-08,0.059983186206200835,True,True
T10_aprbs_60,T,4000,open_loop,full,time,2.5386541502574174e-06,0.0028557987465917386,0.0008889471477243211,True,True
T10_aprbs_60,T,4000,open_loop,full,band,5.1774983301982085e-08,8.515948079043926e-06,0.006079767375448206,True,True
T10_aprbs_60,T,4000,open_loop,windows,time,8.754992824668509e-08,0.0005816275923188292,0.00015052574775148062,True,True
T10_aprbs_60,T,4000,open_loop,windows,band,4.595205232411252e-08,7.543664772744976e-06,0.0060914759216416725,True,True
T10_aprbs_60,T,2000,open_loop,full,time,1.0316698379428477e-05,0.0028483344350995563,0.0036220109030377545,True,True
T10_aprbs_60,T,2000,open_loop,full,band,2.1144382011078472e-07,8.403540560721592e-06,0.02516127798550526,True,True
T10_aprbs_60,T,2000,open_loop,windows,time,3.5572163114401275e-07,0.0005917065164794076,0.000601179167774794,True,True
T10_aprbs_60,T,2000,open_loop,windows,band,1.9522386429977326e-07,7.812927247399472e-06,0.02498728813387497,True,True
T10_aprbs_60,T,1000,open_loop,full,time,3.914650558993657e-05,0.002820733636646739,0.013878129108451927,True,True
T10_aprbs_60,T,1000,open_loop,full,band,9.911785174475564e-07,7.980035289697993e-06,0.12420728498871937,True,True
T10_aprbs_60,T,1000,open_loop,windows,time,1.5215335782310536e-06,0.0005360737777121028,0.002838291372364402,True,True
T10_aprbs_60,T,1000,open_loop,windows,band,9.404642025961091e-07,7.688343168251011e-06,0.1223233903605855,True,True
T11_aprbs_100,T,4000,open_loop,full,time,2.73232816729352e-06,0.006380687205809791,0.00042821847853718016,True,True
T11_aprbs_100,T,4000,open_loop,full,band,5.152727413173573e-08,8.542071720548131e-06,0.00603217531032733,True,True
T11_aprbs_100,T,4000,open_loop,windows,time,1.1169022973561835e-07,0.0006533585459498444,0.00017094783626537633,True,True
T11_aprbs_100,T,4000,open_loop,windows,band,4.595232186723461e-08,7.62563066865088e-06,0.006026035598097548,True,True
T11_aprbs_100,T,2000,open_loop,full,time,1.1097491141191177e-05,0.00637262871814012,0.0017414306767317882,True,True
T11_aprbs_100,T,2000,open_loop,full,band,2.1049095113415904e-07,8.429783689039837e-06,0.024969911316684593,True,True
T11_aprbs_100,T,2000,open_loop,windows,time,4.5881001844302685e-07,0.0006319027432508393,0.0007260769530492419,True,True
T11_aprbs_100,T,2000,open_loop,windows,band,1.9663081195910413e-07,7.768612427052785e-06,0.025310930852255283,True,True
T11_aprbs_100,T,1000,open_loop,full,time,4.2138573273900744e-05,0.006342746115083471,0.006643585051227641,True,True
T11_aprbs_100,T,1000,open_loop,full,band,9.90736257663842e-07,8.004307214089146e-06,0.12377539131930775,True,True
T11_aprbs_100,T,1000,open_loop,windows,time,1.8901793356458976e-06,0.0006434109570698743,0.002937748129521867,True,True
T11_aprbs_100,T,1000,open_loop,windows,band,9.404819264834598e-07,7.650388149378434e-06,0.12293257650722866,True,True
T12_aprbs_yaw,T,4000,open_loop,full,time,2.576981750503502e-06,0.0009518087649984259,0.0027074574696817,True,True
T12_aprbs_yaw,T,4000,open_loop,full,band,5.1255044574295054e-08,8.540610949330114e-06,0.006001332326034036,True,True
T12_aprbs_yaw,T,4000,open_loop,windows,time,8.43182781458119e-08,0.0005413481377724951,0.00015575610639903442,True,True
T12_aprbs_yaw,T,4000,open_loop,windows,band,4.612297222033673e-08,7.691361514320686e-06,0.005996724004515914,True,True
T12_aprbs_yaw,T,2000,open_loop,full,time,1.0472473596124234e-05,0.0009584667156750691,0.010926277798544357,True,True
T12_aprbs_yaw,T,2000,open_loop,full,band,2.09292082485391e-07,8.428564549508512e-06,0.02483128428999162,True,True
T12_aprbs_yaw,T,2000,open_loop,windows,time,3.3846262298266003e-07,0.0005522981603710505,0.0006128259104742819,True,True
T12_aprbs_yaw,T,2000,open_loop,windows,band,1.9352678987971575e-07,7.836509282769896e-06,0.024695535077744676,True,True
T12_aprbs_yaw,T,1000,open_loop,full,time,3.979296921893333e-05,0.0009833729989269476,0.04046579401951777,True,True
