time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T06:13:31,0.0,3,28.5,0.0,5.228,7.564,
2026-09-24T06:13:36,5.5,5,398.1,5.2,4.849,7.563,
2026-09-24T06:13:41,10.7,5,606.5,7.6,4.686,7.563,
2026-09-24T06:13:46,15.9,5,692.2,12.4,4.623,7.562,
2026-09-24T06:13:52,21.1,5,724.1,29.4,4.555,7.562,
2026-09-24T06:13:57,26.3,5,790.8,30.1,4.482,7.562,
2026-09-24T06:14:02,31.5,5,791.0,33.1,4.522,7.562,
2026-09-24T06:14:07,36.6,5,981.8,29.6,4.395,7.562,
2026-09-24T06:14:12,41.8,5,927.5,33.1,4.352,7.562,
2026-09-24T06:14:18,47.1,5,933.1,31.8,4.263,7.561,
2026-09-24T06:14:23,52.3,5,934.8,31.2,4.249,7.561,
2026-09-24T06:14:28,57.5,5,939.1,31.9,4.212,7.560,
2026-09-24T06:14:33,62.7,5,943.4,32.8,4.245,7.560,
2026-09-24T06:14:38,67.9,5,945.1,32.1,4.278,7.560,
2026-09-24T06:14:44,73.1,5,949.3,33.1,4.304,7.560,
2026-09-24T06:14:49,78.2,5,954.6,32.6,4.321,7.560,
2026-09-24T06:14:54,83.4,5,960.1,33.0,4.358,7.560,
2026-09-24T06:14:59,88.6,5,964.8,33.0,4.346,7.560,
