time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T06:24:21,0.0,3,29.2,0.0,5.079,7.242,
2026-09-24T06:24:26,5.5,5,393.0,5.5,4.718,7.241,
2026-09-24T06:24:32,10.7,5,577.4,7.6,4.557,7.241,
2026-09-24T06:24:37,15.9,5,663.5,9.8,4.504,7.241,
2026-09-24T06:24:42,21.1,5,651.1,23.8,4.482,7.240,
2026-09-24T06:24:47,26.2,5,651.7,23.9,4.484,7.242,
2026-09-24T06:24:52,31.5,5,657.1,17.6,4.472,7.242,
2026-09-24T06:24:58,36.6,5,660.3,8.3,4.457,7.241,
2026-09-24T06:25:03,41.8,5,663.1,8.3,4.460,7.241,
2026-09-24T06:25:08,46.9,5,660.3,8.3,4.526,7.241,
2026-09-24T06:25:13,52.1,5,661.6,8.2,4.518,7.241,
2026-09-24T06:25:18,57.3,5,662.0,17.4,4.557,7.240,
2026-09-24T06:25:23,62.5,5,662.9,33.2,4.554,7.240,
2026-09-24T06:25:29,67.7,5,663.6,33.1,4.509,7.240,
2026-09-24T06:25:34,73.0,5,660.3,33.0,4.487,7.239,
2026-09-24T06:25:39,78.2,5,661.3,33.0,4.538,7.239,
2026-09-24T06:25:44,83.4,5,661.6,33.0,4.554,7.239,
2026-09-24T06:25:50,88.7,5,662.6,33.1,4.534,7.239,
2026-09-24T06:25:55,93.9,5,663.7,33.0,4.555,7.239,
2026-09-24T06:26:00,99.1,5,660.3,32.9,4.575,7.238,
2026-09-24T06:26:05,104.3,5,661.4,33.2,4.572,7.238,
2026-09-24T06:26:11,109.5,5,656.0,25.3,4.563,7.238,
2026-09-24T06:26:16,114.7,5,656.1,28.9,4.535,7.238,
2026-09-24T06:26:21,119.8,5,660.9,9.5,4.535,7.238,
2026-09-24T06:26:26,125.0,5,663.8,8.2,4.525,7.238,
2026-09-24T06:26:31,130.2,5,665.3,8.3,4.554,7.237,
2026-09-24T06:26:36,135.3,5,662.6,8.3,4.566,7.237,
2026-09-24T06:26:41,140.4,5,663.2,14.5,4.515,7.237,
2026-09-24T06:26:47,145.6,5,664.4,33.1,4.551,7.237,
2026-09-24T06:26:52,150.8,5,661.2,32.8,4.562,7.237,
2026-09-24T06:26:57,156.0,5,662.4,33.1,4.543,7.237,
2026-09-24T06:27:02,161.2,5,663.6,33.2,4.589,7.236,
2026-09-24T06:27:07,166.4,5,664.1,33.2,4.599,7.236,
2026-09-24T06:27:13,171.6,5,665.2,33.2,4.604,7.236,
2026-09-24T06:27:18,176.8,5,662.0,33.3,4.578,7.236,
2026-09-24T06:27:23,182.0,5,663.2,33.2,4.588,7.236,
2026-09-24T06:27:28,187.2,5,655.8,21.5,4.591,7.236,
2026-09-24T06:27:33,192.3,5,659.6,29.2,4.581,7.236,
2026-09-24T06:27:38,197.5,5,661.2,8.3,4.607,7.235,
2026-09-24T06:27:44,202.6,5,663.8,8.3,4.597,7.235,
2026-09-24T06:27:49,207.8,5,665.3,8.3,4.569,7.235,
2026-09-24T06:27:54,212.9,5,662.4,8.3,4.542,7.235,
2026-09-24T06:27:59,218.1,5,663.7,8.3,4.507,7.235,
2026-09-24T06:28:04,223.2,5,664.1,32.7,4.525,7.235,
2026-09-24T06:28:09,228.4,5,665.2,33.1,4.541,7.235,
2026-09-24T06:28:15,233.6,5,662.1,33.0,4.519,7.236,
2026-09-24T06:28:20,238.8,5,663.2,33.0,4.520,7.235,
2026-09-24T06:28:25,244.0,5,663.7,33.0,4.524,7.235,
2026-09-24T06:28:30,249.2,5,664.9,33.1,4.504,7.235,
2026-09-24T06:28:35,254.4,5,661.8,33.3,4.501,7.235,
2026-09-24T06:28:41,259.6,5,663.0,33.0,4.513,7.235,
2026-09-24T06:28:46,264.7,5,656.0,24.1,4.559,7.234,
2026-09-24T06:28:51,269.9,5,659.8,30.4,4.585,7.234,
2026-09-24T06:28:56,275.1,5,661.0,8.3,4.583,7.234,
2026-09-24T06:29:01,280.2,5,663.8,8.3,4.576,7.234,
2026-09-24T06:29:06,285.4,5,665.4,8.3,4.572,7.234,
2026-09-24T06:29:12,290.5,5,662.6,8.2,4.563,7.234,
2026-09-24T06:29:17,295.7,5,663.5,15.2,4.583,7.233,
2026-09-24T06:29:22,300.8,5,665.2,33.2,4.562,7.233,
2026-09-24T06:29:27,306.0,5,662.4,33.3,4.585,7.233,
2026-09-24T06:29:32,311.2,5,663.6,33.1,4.574,7.233,
2026-09-24T06:29:37,316.4,5,664.2,32.9,4.568,7.233,
2026-09-24T06:29:43,321.5,5,665.4,33.2,4.578,7.233,
2026-09-24T06:29:48,326.7,5,662.2,33.1,4.554,7.233,
2026-09-24T06:29:53,331.9,5,663.5,33.1,4.560,7.232,
