time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T06:29:59,0.0,3,29.1,0.0,5.151,7.232,
2026-09-24T06:30:04,5.5,9,843.1,175.5,4.721,7.231,
2026-09-24T06:30:09,10.7,9,1011.2,8.1,4.589,7.231,
2026-09-24T06:30:15,15.9,9,1108.6,20.5,4.445,7.231,
2026-09-24T06:30:20,21.1,9,1180.7,29.5,4.405,7.231,
2026-09-24T06:30:25,26.3,9,1159.4,27.9,4.405,7.231,
2026-09-24T06:30:30,31.5,9,1224.4,27.2,4.348,7.230,
2026-09-24T06:30:35,36.8,9,1214.0,28.5,4.379,7.230,
2026-09-24T06:30:41,42.0,9,1156.8,28.4,4.412,7.230,
2026-09-24T06:30:46,47.2,9,1152.4,23.0,4.411,7.229,
