time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T07:18:30,0.0,3,28.7,0.0,4.979,7.510,
2026-09-24T07:18:36,5.5,5,439.9,5.8,4.552,7.509,
2026-09-24T07:18:41,10.7,5,578.9,8.0,4.449,7.509,
2026-09-24T07:18:46,15.9,5,676.4,19.2,4.355,7.508,
2026-09-24T07:18:51,21.1,5,678.1,33.0,4.371,7.508,
2026-09-24T07:18:56,26.3,5,758.3,17.3,4.282,7.508,
2026-09-24T07:19:02,31.4,5,760.8,8.3,4.246,7.508,
2026-09-24T07:19:07,36.6,5,763.1,8.2,4.284,7.507,
2026-09-24T07:19:12,41.8,5,765.4,8.3,4.277,7.507,
2026-09-24T07:19:17,46.9,5,768.3,8.3,4.295,7.507,
2026-09-24T07:19:22,52.1,5,771.0,8.3,4.281,7.507,
2026-09-24T07:19:27,57.2,5,774.1,8.3,4.256,7.507,
2026-09-24T07:19:33,62.4,5,776.5,8.3,4.272,7.507,
2026-09-24T07:19:38,67.5,5,779.2,8.3,4.247,7.507,
2026-09-24T07:19:43,72.6,5,781.6,8.3,4.287,7.506,
2026-09-24T07:19:48,77.8,5,784.5,8.3,4.279,7.506,
2026-09-24T07:19:53,82.9,5,786.5,8.3,4.222,7.506,
2026-09-24T07:19:58,88.1,5,788.9,8.3,4.275,7.505,
2026-09-24T07:20:03,93.3,5,791.6,8.2,4.272,7.505,
2026-09-24T07:20:09,98.4,5,794.7,8.3,4.254,7.505,
2026-09-24T07:20:14,103.6,5,797.2,8.3,4.267,7.505,
2026-09-24T07:20:19,108.7,5,799.8,8.3,4.259,7.505,
2026-09-24T07:20:24,113.9,5,802.8,8.3,4.246,7.505,
2026-09-24T07:20:29,119.0,5,805.4,8.2,4.240,7.505,
2026-09-24T07:20:34,124.2,5,808.2,8.3,4.249,7.505,
2026-09-24T07:20:40,129.3,5,811.0,8.3,4.221,7.508,
2026-09-24T07:20:45,134.5,5,919.2,9.7,4.331,7.456,
2026-09-24T07:20:50,139.7,5,689.2,32.2,4.385,7.456,
2026-09-24T07:20:55,144.8,5,764.5,28.7,4.261,7.456,
2026-09-24T07:21:00,150.0,5,766.6,8.3,4.236,7.455,
2026-09-24T07:21:05,155.1,5,768.9,8.4,4.215,7.455,
2026-09-24T07:21:10,160.2,5,771.3,8.2,4.242,7.455,
2026-09-24T07:21:16,165.4,5,774.2,8.3,4.260,7.455,
2026-09-24T07:21:21,170.5,5,776.9,8.3,4.257,7.455,
2026-09-24T07:21:26,175.7,5,779.8,8.3,4.283,7.454,
2026-09-24T07:21:31,180.9,5,782.1,8.3,4.267,7.454,
2026-09-24T07:21:36,186.0,5,784.6,8.3,4.347,7.454,
2026-09-24T07:21:41,191.1,5,787.4,8.3,4.323,7.454,
2026-09-24T07:21:46,196.3,5,790.0,8.3,4.366,7.454,
2026-09-24T07:21:52,201.4,5,792.4,8.3,4.301,7.454,
2026-09-24T07:21:57,206.6,5,784.8,8.3,4.479,7.454,
2026-09-24T07:22:02,211.7,5,787.5,8.3,4.419,7.453,
2026-09-24T07:22:07,216.9,5,789.9,8.2,4.396,7.453,
2026-09-24T07:22:12,222.1,5,792.9,8.3,4.409,7.453,
2026-09-24T07:22:17,227.2,5,795.5,8.3,4.388,7.453,
2026-09-24T07:22:23,232.4,5,798.3,8.3,4.419,7.453,
2026-09-24T07:22:28,237.5,5,800.9,8.3,4.406,7.453,
2026-09-24T07:22:33,242.6,5,804.1,8.3,4.378,7.452,
2026-09-24T07:22:38,247.8,5,806.6,8.4,4.385,7.452,
2026-09-24T07:22:43,252.9,5,717.9,9.7,4.440,7.400,
2026-09-24T07:22:48,258.1,5,719.6,32.9,4.463,7.399,
2026-09-24T07:22:54,263.3,5,765.4,33.0,4.430,7.399,
2026-09-24T07:22:59,268.5,5,764.3,33.1,4.426,7.399,
2026-09-24T07:23:04,273.7,5,760.7,32.9,4.398,7.399,
2026-09-24T07:23:09,278.9,5,760.7,33.0,4.396,7.398,
2026-09-24T07:23:14,284.0,5,824.6,31.9,4.359,7.398,
2026-09-24T07:23:19,289.2,5,808.8,8.3,4.356,7.398,
2026-09-24T07:23:25,294.3,5,811.3,8.2,4.382,7.398,
2026-09-24T07:23:30,299.5,5,813.9,8.3,4.369,7.398,
2026-09-24T07:23:35,304.6,5,817.4,8.3,4.369,7.398,
2026-09-24T07:23:40,309.8,5,819.7,8.3,4.373,7.397,
2026-09-24T07:23:45,314.9,5,822.3,8.3,4.341,7.397,
2026-09-24T07:23:50,320.1,5,824.6,8.3,4.306,7.397,
2026-09-24T07:23:55,325.2,5,826.6,8.2,4.304,7.397,
2026-09-24T07:24:01,330.4,5,828.5,8.3,4.279,7.397,
2026-09-24T07:24:06,335.5,5,830.6,8.3,4.306,7.397,
2026-09-24T07:24:11,340.7,5,833.0,8.3,4.349,7.397,
2026-09-24T07:24:16,345.9,5,835.9,8.2,4.360,7.396,
2026-09-24T07:24:21,351.0,5,829.1,8.3,4.354,7.396,
2026-09-24T07:24:26,356.2,5,831.5,8.3,4.310,7.396,
2026-09-24T07:24:32,361.3,5,834.3,8.3,4.299,7.396,
2026-09-24T07:24:37,366.4,5,836.8,8.3,4.287,7.395,
2026-09-24T07:24:42,371.6,5,839.4,8.3,4.290,7.395,
2026-09-24T07:24:47,376.7,5,842.2,8.3,4.299,7.395,
2026-09-24T07:24:52,381.9,5,845.1,8.3,4.300,7.395,
2026-09-24T07:24:57,387.0,5,847.9,8.2,4.322,7.395,
2026-09-24T07:25:02,392.1,5,850.3,8.3,4.314,7.395,
2026-09-24T07:25:07,397.3,5,745.3,12.7,4.411,7.395,
2026-09-24T07:25:13,402.4,5,746.6,32.9,4.399,7.394,
