time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T07:27:39,0.0,3,29.5,0.0,5.028,7.383,
2026-09-24T07:27:44,5.4,5,447.4,6.8,4.587,7.383,
2026-09-24T07:27:50,10.6,5,622.2,7.9,4.425,7.381,
2026-09-24T07:27:55,15.8,5,624.4,8.2,4.389,7.380,
2026-09-24T07:28:00,21.0,5,625.5,8.3,4.398,7.379,
2026-09-24T07:28:05,26.1,5,634.7,20.4,4.400,7.378,
2026-09-24T07:28:10,31.3,5,635.4,8.2,4.410,7.378,
2026-09-24T07:28:15,36.5,5,636.1,11.7,4.408,7.377,
2026-09-24T07:28:21,41.6,5,636.7,8.3,4.404,7.376,
2026-09-24T07:28:26,46.8,5,636.1,8.3,4.433,7.376,
2026-09-24T07:28:31,51.9,5,636.4,8.2,4.415,7.376,
2026-09-24T07:28:36,57.1,5,636.5,8.2,4.407,7.376,
2026-09-24T07:28:41,62.3,5,636.4,8.3,4.429,7.376,
2026-09-24T07:28:46,67.4,5,636.6,8.3,4.409,7.375,
2026-09-24T07:28:52,72.6,5,636.8,8.3,4.420,7.375,
2026-09-24T07:28:57,77.8,5,636.8,8.3,4.432,7.375,
