time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T09:45:49,0.0,3,29.5,0.0,3.950,6.380,
2026-09-24T09:45:54,5.5,5,129.9,2.0,3.790,6.380,
2026-09-24T09:45:59,10.7,5,403.2,4.9,3.382,6.380,
2026-09-24T09:46:04,16.0,5,454.6,2.7,3.340,6.379,
2026-09-24T09:46:10,21.2,5,500.1,2.3,3.203,6.378,
2026-09-24T09:46:15,26.4,5,609.8,4.3,2.935,6.378,
2026-09-24T09:46:20,31.6,5,659.3,8.9,3.136,6.377,
2026-09-24T09:46:25,36.8,5,649.0,25.3,3.316,6.376,
2026-09-24T09:46:31,42.1,5,650.4,30.8,3.288,6.375,
2026-09-24T09:46:36,47.3,5,651.7,30.6,3.165,6.375,
2026-09-24T09:46:41,52.5,5,666.0,14.1,3.231,6.374,
2026-09-24T09:46:46,57.7,5,667.5,8.2,3.179,6.372,
2026-09-24T09:46:51,62.9,5,668.2,8.3,3.163,6.371,
2026-09-24T09:46:57,68.0,5,669.5,8.2,3.220,6.369,
2026-09-24T09:47:02,73.2,5,670.6,8.3,3.192,6.368,
2026-09-24T09:47:07,78.4,5,675.2,8.7,3.004,6.367,
2026-09-24T09:47:12,83.6,5,678.5,29.7,3.050,6.367,
2026-09-24T09:47:17,88.7,5,675.2,16.1,3.117,6.367,
2026-09-24T09:47:22,93.9,5,676.8,8.3,3.197,6.366,
2026-09-24T09:47:28,99.0,5,677.6,8.3,3.195,6.366,
2026-09-24T09:47:33,104.1,5,678.6,8.2,3.178,6.366,
2026-09-24T09:47:38,109.3,5,680.2,8.3,3.181,6.366,
2026-09-24T09:47:43,114.4,5,683.8,22.8,3.152,6.365,
2026-09-24T09:47:48,119.6,5,680.9,16.2,3.227,6.365,
2026-09-24T09:47:53,124.7,5,682.5,8.3,3.158,6.365,
2026-09-24T09:47:58,129.9,5,683.0,8.3,3.284,6.364,
2026-09-24T09:48:04,135.0,5,684.5,8.3,3.258,6.364,
2026-09-24T09:48:09,140.2,5,685.3,8.2,3.126,6.360,
2026-09-24T09:48:14,145.5,5,684.5,11.1,3.024,6.360,
2026-09-24T09:48:19,150.8,5,682.4,28.3,3.058,6.360,
2026-09-24T09:48:24,156.0,5,684.4,9.2,2.665,6.360,
2026-09-24T09:48:30,161.2,5,685.6,8.2,2.751,6.360,
2026-09-24T09:48:35,166.4,5,686.3,8.3,2.832,6.360,
2026-09-24T09:48:40,171.5,5,687.9,8.3,2.808,6.359,
2026-09-24T09:48:45,176.7,5,689.0,8.3,2.723,6.359,
2026-09-24T09:48:50,181.8,5,687.7,17.5,2.650,6.359,
