time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T10:07:50,0.0,3,29.5,0.0,4.293,6.009,
2026-09-24T10:07:56,5.5,5,455.3,6.0,4.019,6.009,
2026-09-24T10:08:01,10.7,5,628.9,7.9,3.881,6.009,
2026-09-24T10:08:06,15.8,5,673.5,22.9,3.922,6.009,
2026-09-24T10:08:11,21.0,5,657.9,32.2,3.990,6.009,
2026-09-24T10:08:16,26.2,5,658.4,32.5,3.982,6.008,
2026-09-24T10:08:22,31.3,5,661.4,32.2,3.946,6.008,
2026-09-24T10:08:27,36.5,5,666.5,32.1,3.934,6.008,
2026-09-24T10:08:32,41.7,5,666.9,32.3,3.899,6.007,
2026-09-24T10:08:37,46.9,5,670.0,32.5,3.905,6.007,
2026-09-24T10:08:42,52.0,5,675.2,32.3,3.945,6.007,
2026-09-24T10:08:47,57.2,5,675.7,32.6,3.921,6.006,
2026-09-24T10:08:53,62.4,5,678.4,32.8,3.894,6.006,
2026-09-24T10:08:58,67.6,5,683.4,31.8,3.886,6.006,
