time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T10:21:07,0.0,3,29.6,0.0,3.680,6.022,
2026-09-24T10:21:13,5.4,5,448.3,6.2,3.227,6.022,
2026-09-24T10:21:18,10.6,5,604.2,7.9,3.007,6.022,
2026-09-24T10:21:23,15.8,5,688.0,20.2,2.908,6.020,
2026-09-24T10:21:28,20.9,5,652.0,32.1,2.750,6.020,
2026-09-24T10:21:33,26.1,5,651.9,30.7,3.086,6.020,
2026-09-24T10:21:39,31.4,5,649.3,32.7,3.070,6.020,
2026-09-24T10:21:44,36.5,5,653.6,31.6,2.969,6.019,
2026-09-24T10:21:49,41.8,5,654.3,32.1,3.158,6.012,
2026-09-24T10:21:54,46.9,5,655.7,32.7,3.067,6.003,
2026-09-24T10:21:59,52.1,5,653.7,32.5,3.007,6.002,
2026-09-24T10:22:04,57.2,5,655.8,32.8,3.221,6.000,
2026-09-24T10:22:10,62.4,5,656.3,33.0,3.068,6.000,
2026-09-24T10:22:15,67.6,5,653.5,32.1,2.943,6.000,
2026-09-24T10:22:20,72.8,5,655.7,33.0,3.228,6.000,
2026-09-24T10:22:25,78.0,5,656.5,32.9,3.107,5.999,
2026-09-24T10:22:30,83.2,5,654.2,32.6,3.283,5.999,
2026-09-24T10:22:36,88.4,5,655.8,32.8,3.128,5.999,
2026-09-24T10:22:41,93.6,5,648.6,32.6,3.657,5.998,
2026-09-24T10:22:46,98.7,5,649.5,32.4,3.525,5.998,
2026-09-24T10:22:51,103.9,5,651.0,32.2,3.356,5.998,
2026-09-24T10:22:56,109.1,5,651.2,31.9,3.310,5.997,
2026-09-24T10:23:01,114.3,5,651.9,32.2,3.160,5.997,
2026-09-24T10:23:07,119.6,5,648.5,31.8,3.449,5.997,
2026-09-24T10:23:12,124.8,5,648.9,31.6,3.345,5.996,
2026-09-24T10:23:17,130.0,5,649.5,32.5,3.219,5.996,
2026-09-24T10:23:22,135.2,5,651.3,32.5,3.282,5.996,
2026-09-24T10:23:28,140.4,5,648.9,33.0,3.268,5.995,
2026-09-24T10:23:33,145.5,5,649.2,32.3,3.134,5.995,
2026-09-24T10:23:38,150.7,5,649.5,31.5,3.082,5.995,
2026-09-24T10:23:43,155.9,5,651.7,33.1,3.033,5.995,
2026-09-24T10:23:48,161.1,5,648.7,32.0,3.483,5.994,
2026-09-24T10:23:53,166.3,5,649.2,31.7,3.499,5.994,
2026-09-24T10:23:59,171.5,5,651.2,33.1,3.348,5.994,
2026-09-24T10:24:04,176.7,5,651.7,32.8,3.435,5.993,
2026-09-24T10:24:09,181.9,5,648.7,32.3,3.328,5.993,
2026-09-24T10:24:14,187.2,5,649.0,31.3,3.388,5.993,
2026-09-24T10:24:20,192.4,5,649.3,32.5,3.234,5.992,
2026-09-24T10:24:25,197.7,5,656.9,31.8,3.083,5.992,
2026-09-24T10:24:30,202.9,5,651.0,32.0,3.052,5.992,
2026-09-24T10:24:35,208.1,5,651.5,32.8,3.430,5.992,
2026-09-24T10:24:40,213.3,5,648.6,32.0,3.484,5.991,
2026-09-24T10:24:46,218.4,5,648.6,31.2,3.394,5.991,
2026-09-24T10:24:51,223.7,5,648.9,32.2,3.414,5.991,
2026-09-24T10:24:56,228.9,5,649.4,32.8,3.351,5.990,
2026-09-24T10:25:01,234.2,5,651.0,31.3,3.398,5.990,
2026-09-24T10:25:06,239.3,5,651.6,32.7,3.419,5.990,
2026-09-24T10:25:12,244.5,5,651.5,29.9,3.333,5.990,
2026-09-24T10:25:17,249.8,5,648.6,31.4,3.398,5.993,
