time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-26T20:10:38,0.0,4,35.9,0.0,4.675,2.743,
2026-09-26T20:10:43,5.4,6,391.3,11.7,4.246,2.743,
2026-09-26T20:10:49,10.6,6,492.0,20.1,4.179,2.743,
2026-09-26T20:10:54,15.8,6,437.5,19.3,4.183,2.743,
2026-09-26T20:10:59,21.0,6,733.8,22.3,4.181,2.743,
2026-09-26T20:11:04,26.1,6,472.9,18.0,4.291,2.743,
2026-09-26T20:11:09,31.3,6,370.8,19.5,4.350,2.743,
2026-09-26T20:11:14,36.5,6,485.3,22.6,4.166,2.743,
2026-09-26T20:11:20,41.7,6,732.9,20.1,4.064,2.743,
2026-09-26T20:11:25,46.9,6,454.4,17.3,4.256,2.743,
2026-09-26T20:11:30,52.1,6,385.2,20.1,4.341,2.743,
2026-09-26T20:11:35,57.3,6,646.0,20.3,3.989,2.743,
2026-09-26T20:11:40,62.5,6,508.2,18.5,4.229,2.743,
