time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-26T19:37:57,0.0,3,19.8,0.0,4.338,1.985,
2026-09-26T19:38:03,5.4,4,627.4,9.9,3.832,1.981,
2026-09-26T19:38:08,10.6,4,1120.4,14.8,3.283,1.981,
2026-09-26T19:38:13,15.8,11,1939.8,20.7,2.817,1.975,
2026-09-26T19:38:18,21.0,10,2149.9,8.2,2.552,1.957,
2026-09-26T19:38:23,26.2,10,2372.0,6.8,2.391,1.957,
2026-09-26T19:38:29,31.4,10,2567.8,8.0,2.161,1.958,
2026-09-26T19:38:34,36.7,13,2740.9,5.2,2.074,1.957,
2026-09-26T19:38:39,41.9,10,2785.0,5.6,2.015,1.957,
2026-09-26T19:38:44,47.1,10,2877.0,7.7,1.857,1.955,
2026-09-26T19:38:49,52.3,10,2892.0,8.9,1.774,1.955,
2026-09-26T19:38:55,57.5,10,2904.8,8.4,1.801,1.955,
2026-09-26T19:39:00,62.7,10,2970.3,8.5,1.689,1.930,
2026-09-26T19:39:05,67.8,10,2986.5,8.4,1.816,1.930,
2026-09-26T19:39:10,73.0,10,2996.9,8.4,1.735,1.930,
2026-09-26T19:39:15,78.2,10,2987.8,8.7,1.607,1.906,
2026-09-26T19:39:21,83.5,10,2997.5,8.9,2.137,1.903,
2026-09-26T19:39:26,88.7,10,3006.4,8.4,2.337,1.906,
2026-09-26T19:39:31,93.9,10,3014.9,8.3,2.348,1.905,
2026-09-26T19:39:36,99.1,10,3000.7,8.8,2.354,1.881,
2026-09-26T19:39:41,104.3,10,3011.4,8.3,2.302,1.877,
2026-09-26T19:39:47,109.4,10,3020.2,8.3,2.332,1.877,
2026-09-26T19:39:52,114.6,10,3011.4,9.6,2.334,1.853,
2026-09-26T19:39:57,119.8,10,3021.0,8.4,2.325,1.853,
2026-09-26T19:40:02,125.0,10,3029.0,8.5,2.320,1.853,
2026-09-26T19:40:07,130.2,10,3020.4,8.8,2.260,1.829,
2026-09-26T19:40:12,135.3,10,3026.7,8.8,2.261,1.828,
2026-09-26T19:40:18,140.5,10,3035.9,8.4,2.200,1.828,
2026-09-26T19:40:23,145.7,10,3036.5,8.5,2.094,1.804,
2026-09-26T19:40:28,150.9,10,3029.8,8.5,2.025,1.804,
2026-09-26T19:40:33,156.0,10,3039.8,8.5,2.164,1.804,
2026-09-26T19:40:38,161.2,10,3049.0,8.4,2.086,1.804,
2026-09-26T19:40:44,166.4,10,3031.6,8.9,2.080,1.780,
2026-09-26T19:40:49,171.6,10,3035.2,8.2,2.027,1.779,
2026-09-26T19:40:54,176.8,10,3044.7,8.7,1.947,1.779,
2026-09-26T19:40:59,182.0,10,3029.9,9.9,2.050,1.755,
2026-09-26T19:41:04,187.2,10,3039.3,8.4,2.105,1.755,
2026-09-26T19:41:09,192.3,10,3049.7,8.3,2.034,1.755,
2026-09-26T19:41:15,197.5,10,3031.5,8.7,2.077,1.731,
2026-09-26T19:41:20,202.7,10,3040.6,8.5,1.979,1.731,
2026-09-26T19:41:25,207.9,10,3048.9,8.7,1.986,1.731,
2026-09-26T19:41:30,213.1,10,2993.2,7.8,2.101,1.951,
2026-09-26T19:41:36,218.4,8,2436.3,2.1,2.487,1.952,
