time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-26T18:53:45,0.0,3,19.7,0.0,5.289,2.079,
2026-09-26T18:53:51,5.5,4,552.4,9.4,4.635,2.078,
2026-09-26T18:53:56,10.7,4,842.4,11.5,4.379,2.080,
2026-09-26T18:54:01,15.9,11,1508.2,13.5,3.820,2.075,
2026-09-26T18:54:07,21.6,12,2003.3,14.1,3.488,2.064,
2026-09-26T18:54:12,27.0,10,2012.6,6.8,3.489,2.057,
2026-09-26T18:54:18,32.3,10,2203.5,7.2,3.314,2.057,
2026-09-26T18:54:23,37.5,10,2363.5,4.8,3.145,2.057,
2026-09-26T18:54:28,42.7,10,2513.3,5.3,2.980,2.057,
2026-09-26T18:54:33,47.9,10,2587.1,5.8,2.918,2.057,
2026-09-26T18:54:39,53.1,11,2734.1,4.8,2.784,2.056,
2026-09-26T18:54:44,58.4,10,2782.4,3.1,2.681,2.056,
2026-09-26T18:54:49,63.5,10,2844.4,5.6,2.637,2.056,
2026-09-26T18:54:54,68.8,10,2896.3,7.1,2.599,2.053,
2026-09-26T18:54:59,73.9,10,2910.3,8.5,2.577,2.053,
2026-09-26T18:55:05,79.1,10,2898.1,8.5,2.588,2.053,
2026-09-26T18:55:10,84.3,10,2964.9,7.7,2.496,2.029,
2026-09-26T18:55:15,89.5,10,2979.8,8.3,2.523,2.029,
2026-09-26T18:55:20,94.7,10,2991.5,8.4,2.536,2.029,
2026-09-26T18:55:25,99.9,10,3004.6,8.2,2.474,2.029,
2026-09-26T18:55:31,105.1,10,3003.9,8.6,2.474,2.000,
2026-09-26T18:55:36,110.3,10,3014.2,8.4,2.501,2.000,
2026-09-26T18:55:41,115.5,10,3024.1,8.3,2.529,2.000,
2026-09-26T18:55:46,120.7,10,3010.5,8.6,2.519,1.976,
2026-09-26T18:55:51,125.8,10,3021.0,8.4,2.532,1.976,
2026-09-26T18:55:56,131.0,10,3029.5,8.5,2.532,1.976,
2026-09-26T18:56:02,136.2,10,3021.4,9.5,2.527,1.952,
2026-09-26T18:56:07,141.4,10,3031.2,8.4,2.497,1.952,
2026-09-26T18:56:12,146.6,10,3041.0,8.4,2.503,1.952,
2026-09-26T18:56:17,151.8,10,3035.3,8.5,2.436,1.928,
2026-09-26T18:56:22,157.0,10,3031.7,9.0,2.394,1.928,
2026-09-26T18:56:28,162.2,10,3037.3,8.3,2.387,1.928,
2026-09-26T18:56:33,167.4,10,3042.5,8.6,2.387,1.928,
2026-09-26T18:56:38,172.6,10,3047.6,8.4,2.349,1.928,
2026-09-26T18:56:43,177.8,10,3052.6,8.5,2.313,1.928,
2026-09-26T18:56:48,183.0,10,3032.6,9.0,2.288,1.903,
2026-09-26T18:56:54,188.3,10,3026.7,8.4,2.246,1.903,
2026-09-26T18:56:59,193.4,10,3031.8,8.4,2.232,1.903,
2026-09-26T18:57:04,198.7,10,3037.4,8.4,2.183,1.903,
2026-09-26T18:57:09,203.9,10,3046.0,8.4,2.155,1.903,
2026-09-26T18:57:14,209.1,10,3028.5,8.7,2.155,1.879,
2026-09-26T18:57:20,214.2,10,3038.1,8.6,2.179,1.879,
2026-09-26T18:57:25,219.4,10,3040.5,8.4,2.192,1.879,
2026-09-26T18:57:30,224.6,10,3022.3,10.3,2.239,1.855,
2026-09-26T18:57:35,229.8,10,3031.9,8.2,2.250,1.855,
2026-09-26T18:57:40,235.0,10,3040.6,8.5,2.237,1.855,
2026-09-26T18:57:46,240.1,10,3021.5,8.7,2.201,1.831,
2026-09-26T18:57:51,245.4,10,3030.6,8.4,2.232,1.831,
2026-09-26T18:57:56,250.5,10,3039.3,8.5,2.240,1.831,
2026-09-26T18:58:01,255.7,10,3020.9,9.2,2.227,1.803,
2026-09-26T18:58:06,260.9,10,3029.8,8.5,2.209,1.803,
2026-09-26T18:58:12,266.1,10,3038.6,8.5,2.217,1.803,
2026-09-26T18:58:17,271.3,10,3032.0,8.6,2.182,1.784,
2026-09-26T18:58:22,276.5,10,3035.3,8.8,2.206,1.784,
2026-09-26T18:58:27,281.7,10,3044.1,8.4,2.200,1.784,
2026-09-26T18:58:32,286.9,10,3053.5,8.5,2.186,1.784,
2026-09-26T18:58:37,292.0,10,3034.1,8.8,2.237,1.759,
2026-09-26T18:58:43,297.2,10,3043.6,8.5,2.216,1.759,
2026-09-26T18:58:48,302.4,10,3052.8,8.4,2.271,1.759,
2026-09-26T18:58:53,307.6,10,3033.6,9.8,2.278,1.735,
2026-09-26T18:58:58,312.8,10,3043.2,8.4,2.308,1.735,
2026-09-26T18:59:03,318.0,10,3053.2,8.5,2.295,1.735,
2026-09-26T18:59:09,323.2,10,3035.3,9.1,2.280,1.711,
2026-09-26T18:59:14,328.4,10,3044.1,8.4,2.286,1.711,
2026-09-26T18:59:19,333.5,10,3052.8,8.6,2.295,1.711,
2026-09-26T18:59:24,338.7,10,3033.7,9.1,2.281,1.687,
2026-09-26T18:59:29,343.9,10,3043.0,8.6,2.284,1.687,
2026-09-26T18:59:35,349.1,10,3051.7,8.6,2.281,1.687,
2026-09-26T18:59:40,354.2,10,3029.8,8.8,2.271,1.662,
2026-09-26T18:59:45,359.4,10,3038.6,8.5,2.286,1.663,
2026-09-26T18:59:50,364.6,10,3047.5,8.5,2.275,1.663,
2026-09-26T18:59:55,369.7,10,3034.5,9.6,2.255,1.638,
2026-09-26T19:00:00,374.9,10,3038.8,8.4,2.289,1.638,
2026-09-26T19:00:06,380.1,10,3047.6,8.4,2.336,1.638,
2026-09-26T19:00:11,385.3,10,3057.4,8.6,2.298,1.614,
2026-09-26T19:00:16,390.5,10,3037.6,8.7,2.305,1.615,
2026-09-26T19:00:21,395.7,10,3046.4,8.5,2.294,1.615,
2026-09-26T19:00:26,400.9,10,3054.0,8.5,2.208,1.614,
2026-09-26T19:00:32,406.2,10,3032.7,9.7,2.151,1.591,
2026-09-26T19:00:37,411.4,10,3038.3,8.4,2.118,1.591,
2026-09-26T19:00:42,416.7,10,3044.0,8.5,2.150,1.591,
2026-09-26T19:00:47,421.9,10,3049.0,8.6,2.192,1.591,
2026-09-26T19:00:53,427.1,10,3054.0,8.3,2.180,1.591,
2026-09-26T19:00:58,432.4,10,3035.7,8.5,2.148,1.564,
2026-09-26T19:01:03,437.6,10,3031.9,8.8,2.150,1.564,
2026-09-26T19:01:08,442.9,10,3038.2,8.5,2.146,1.564,
2026-09-26T19:01:14,448.1,10,3043.3,8.6,2.117,1.564,
2026-09-26T19:01:19,453.3,10,3048.4,8.3,2.092,1.564,
2026-09-26T19:01:24,458.5,10,3054.7,8.3,2.095,1.564,
2026-09-26T19:01:29,463.8,10,3037.3,9.6,2.077,1.540,
2026-09-26T19:01:34,469.0,10,3042.4,8.3,2.082,1.540,
2026-09-26T19:01:40,474.2,10,3047.5,8.5,2.535,1.540,
2026-09-26T19:01:45,479.5,10,3051.5,8.3,2.458,1.540,
2026-09-26T19:01:50,484.7,10,3056.6,8.5,2.434,1.540,
2026-09-26T19:01:55,489.9,10,3034.8,9.0,2.377,1.515,
2026-09-26T19:02:00,495.1,10,3039.8,8.5,2.358,1.515,
2026-09-26T19:02:06,500.3,10,3045.7,8.4,2.319,1.515,
2026-09-26T19:02:11,505.5,10,3050.9,8.4,2.307,1.515,
2026-09-26T19:02:16,510.7,10,3056.2,8.4,2.320,1.515,
2026-09-26T19:02:21,515.9,10,3042.5,8.5,2.288,1.491,
2026-09-26T19:02:27,521.1,10,3039.3,9.2,2.294,1.491,
2026-09-26T19:02:32,526.4,10,3045.1,8.3,2.262,1.491,
