time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T09:55:24,0.0,3,29.1,0.0,4.144,5.985,
2026-09-24T09:55:30,5.4,5,448.7,5.8,3.587,5.984,ram_alert
2026-09-24T09:55:35,10.6,5,621.1,7.9,3.403,6.088,ram_alert
2026-09-24T09:55:40,15.7,5,762.3,9.8,3.330,6.088,ram_alert
2026-09-24T09:55:45,20.9,5,765.1,8.3,3.295,6.088,ram_alert
2026-09-24T09:55:50,26.0,5,767.4,8.3,3.363,6.088,ram_alert
2026-09-24T09:55:55,31.2,5,770.0,8.3,3.376,6.087,ram_alert
2026-09-24T09:56:00,36.3,5,772.7,8.3,3.279,6.087,ram_alert
2026-09-24T09:56:06,41.5,5,775.2,8.2,3.297,6.087,ram_alert
2026-09-24T09:56:11,46.7,5,778.3,8.3,3.267,6.087,ram_alert
2026-09-24T09:56:16,51.8,5,781.0,8.3,3.360,6.086,ram_alert
2026-09-24T09:56:21,57.0,5,783.9,8.3,3.334,6.086,ram_alert
2026-09-24T09:56:26,62.2,5,786.1,8.3,3.278,6.086,ram_alert
2026-09-24T09:56:31,67.3,5,789.1,8.3,3.209,6.086,ram_alert
2026-09-24T09:56:37,72.5,5,792.3,8.3,3.107,6.085,ram_alert
2026-09-24T09:56:42,77.6,5,795.0,8.3,2.995,6.085,ram_alert
2026-09-24T09:56:47,82.8,5,797.5,8.1,3.293,6.085,ram_alert
2026-09-24T09:56:52,88.0,5,800.4,8.3,3.246,6.085,ram_alert
2026-09-24T09:56:57,93.1,5,803.2,8.3,3.185,6.085,ram_alert
2026-09-24T09:57:02,98.3,5,805.9,8.3,3.122,6.084,ram_alert
2026-09-24T09:57:08,103.4,5,808.4,8.3,3.008,6.084,ram_alert
2026-09-24T09:57:13,108.6,5,811.2,8.3,3.311,6.084,ram_alert
2026-09-24T09:57:18,113.7,5,814.0,8.3,3.360,6.083,ram_alert
2026-09-24T09:57:23,118.8,5,817.2,8.3,3.438,6.084,ram_alert
2026-09-24T09:57:28,124.0,5,819.7,8.2,3.447,6.084,ram_alert
