time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-23T23:24:55,0.0,3,29.9,0.0,5.529,10.939,
2026-09-23T23:25:00,5.5,5,409.9,5.2,5.122,10.939,
2026-09-23T23:25:06,10.7,5,586.8,8.0,4.986,10.938,
2026-09-23T23:25:11,15.9,5,935.0,11.5,4.633,10.938,
2026-09-23T23:25:16,21.1,5,1071.1,24.6,4.523,10.938,
2026-09-23T23:25:21,26.2,5,1071.1,27.7,4.498,10.938,
2026-09-23T23:25:26,31.4,5,2101.1,22.2,3.507,10.938,ram_alert
2026-09-23T23:25:31,36.6,5,1792.5,15.5,3.807,10.937,ram_alert
2026-09-23T23:25:37,42.0,5,2025.4,32.4,3.428,10.937,ram_alert
2026-09-23T23:25:42,47.2,5,1244.0,25.3,4.367,10.937,
