time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-23T23:45:55,0.0,3,29.2,0.0,5.405,10.062,
2026-09-23T23:46:00,5.4,5,442.8,5.6,4.961,10.062,
2026-09-23T23:46:05,10.6,5,647.2,8.9,4.769,10.061,
2026-09-23T23:46:10,15.7,5,782.6,9.6,4.671,10.061,
2026-09-23T23:46:16,20.9,5,778.0,8.4,4.658,10.061,
2026-09-23T23:46:21,26.1,5,1202.2,10.5,4.247,10.061,
2026-09-23T23:46:26,31.3,5,1294.8,27.1,4.168,10.061,
2026-09-23T23:46:31,36.5,5,1294.8,27.4,4.127,10.060,
2026-09-23T23:46:36,41.7,5,2186.9,26.0,3.272,10.060,ram_alert
2026-09-23T23:46:42,46.8,5,2186.9,27.7,3.262,10.060,ram_alert
2026-09-23T23:46:47,52.0,5,2986.7,27.1,2.513,10.060,ram_alert
