time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-23T23:52:39,0.0,3,29.9,0.0,5.572,10.047,
2026-09-23T23:52:44,5.4,5,421.2,6.1,5.118,10.046,
2026-09-23T23:52:49,10.7,5,585.3,7.8,4.974,10.046,
2026-09-23T23:52:55,15.9,5,1069.7,11.5,4.559,10.045,
2026-09-23T23:53:00,21.0,5,1069.7,28.4,4.550,10.045,
2026-09-23T23:53:05,26.2,5,1529.8,27.2,3.974,10.045,ram_alert
2026-09-23T23:53:10,31.4,5,1682.8,20.6,3.936,10.045,ram_alert
2026-09-23T23:53:15,36.6,5,1484.6,27.1,4.238,10.045,
2026-09-23T23:53:21,41.8,5,1561.8,29.3,4.141,10.045,
2026-09-23T23:53:26,47.0,5,1331.1,27.9,4.289,10.045,
2026-09-23T23:53:31,52.2,5,1415.8,15.1,4.187,10.044,
2026-09-23T23:53:36,57.4,5,1415.8,8.3,4.204,10.044,
2026-09-23T23:53:41,62.5,5,2161.7,24.9,3.579,10.044,ram_alert
2026-09-23T23:53:46,67.7,5,1739.7,32.8,3.844,10.044,ram_alert
2026-09-23T23:53:52,72.9,5,1439.1,13.4,4.112,10.044,
2026-09-23T23:53:57,78.1,5,1439.1,8.1,4.023,10.047,
2026-09-23T23:54:02,83.2,5,2162.0,26.4,3.248,10.030,ram_alert
2026-09-23T23:54:07,88.5,5,1742.4,32.9,3.633,10.030,ram_alert
2026-09-23T23:54:12,93.7,5,1439.1,12.2,3.899,10.027,ram_alert
2026-09-23T23:54:18,98.9,5,1439.1,7.9,3.877,10.027,ram_alert
2026-09-23T23:54:23,104.1,5,2162.0,24.8,3.377,10.027,ram_alert
2026-09-23T23:54:28,109.3,5,1975.7,31.5,3.714,10.027,ram_alert
2026-09-23T23:54:33,114.6,5,1439.1,16.5,3.978,10.027,ram_alert
2026-09-23T23:54:38,119.8,5,1439.1,8.1,4.003,10.026,
2026-09-23T23:54:44,124.9,5,2063.1,21.8,3.287,10.026,ram_alert
2026-09-23T23:54:49,130.2,5,2047.9,31.3,3.230,10.026,ram_alert
2026-09-23T23:54:54,135.4,5,1439.1,18.4,3.955,10.025,ram_alert
2026-09-23T23:54:59,140.6,5,1439.2,8.3,4.229,10.042,
2026-09-23T23:55:04,145.7,5,2095.8,22.5,3.545,10.042,ram_alert
2026-09-23T23:55:10,150.9,5,1700.7,32.7,3.959,10.041,ram_alert
2026-09-23T23:55:15,156.1,5,1439.2,15.0,4.265,10.041,
2026-09-23T23:55:20,161.3,5,1439.2,8.2,4.234,10.041,
2026-09-23T23:55:25,166.4,5,2055.6,25.6,3.494,10.041,ram_alert
2026-09-23T23:55:30,171.7,5,1743.1,32.0,3.934,10.041,ram_alert
2026-09-23T23:55:36,177.0,5,1439.2,14.6,4.148,10.041,
2026-09-23T23:55:41,182.1,5,1439.2,8.3,4.154,10.041,
2026-09-23T23:55:46,187.3,5,2198.9,24.8,3.613,10.040,ram_alert
2026-09-23T23:55:51,192.5,5,1740.2,32.4,3.916,10.040,ram_alert
2026-09-23T23:55:56,197.8,5,1439.2,14.6,4.234,10.040,
2026-09-23T23:56:02,202.9,5,1439.2,8.2,4.205,10.039,
2026-09-23T23:56:07,208.1,5,2162.1,26.0,3.620,10.039,ram_alert
2026-09-23T23:56:12,213.3,5,1724.3,32.6,3.898,10.039,ram_alert
2026-09-23T23:56:17,218.6,5,1439.2,13.2,4.203,10.039,
2026-09-23T23:56:22,223.7,5,1439.2,8.3,4.204,10.038,
