time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T00:52:37,0.0,3,28.2,0.0,5.332,8.330,
2026-09-24T00:52:42,5.6,5,425.5,5.8,4.948,8.329,
2026-09-24T00:52:48,10.8,5,657.9,8.9,4.749,8.329,
2026-09-24T00:52:53,16.0,5,781.6,9.7,4.621,8.329,
2026-09-24T00:52:58,21.2,5,780.3,8.2,4.634,8.329,
2026-09-24T00:53:03,26.3,5,1191.5,10.6,4.199,8.328,
2026-09-24T00:53:08,31.5,5,1295.0,27.6,4.127,8.328,
2026-09-24T00:53:13,36.7,5,1295.0,27.6,4.109,8.328,
2026-09-24T00:53:19,41.8,5,2187.0,26.2,3.264,8.328,ram_alert
2026-09-24T00:53:24,47.1,5,2187.0,26.8,3.258,8.328,ram_alert
2026-09-24T00:53:29,52.3,5,2986.8,26.1,2.474,8.327,ram_alert kill
