time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T01:22:31,0.0,3,28.4,0.0,5.271,7.786,
2026-09-24T01:22:36,5.4,5,443.1,5.8,4.821,7.785,
2026-09-24T01:22:41,10.6,5,585.4,7.9,4.648,7.785,
2026-09-24T01:22:46,15.8,5,783.0,10.9,4.527,7.785,
2026-09-24T01:22:52,20.9,5,806.3,8.1,4.496,7.785,
2026-09-24T01:22:57,26.1,5,1160.8,10.5,4.153,7.785,
2026-09-24T01:23:02,31.2,5,1294.9,23.9,4.026,7.784,
2026-09-24T01:23:07,36.4,5,1294.9,27.7,4.023,7.784,
2026-09-24T01:23:12,41.6,5,2186.6,26.8,3.193,7.784,ram_alert
2026-09-24T01:23:17,46.8,5,2186.6,27.9,3.192,7.784,ram_alert
2026-09-24T01:23:23,51.9,5,2916.7,25.9,2.447,7.784,ram_alert kill
