time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T01:35:05,0.0,3,28.5,0.0,5.327,7.802,
2026-09-24T01:35:10,5.4,5,451.0,6.0,4.893,7.815,
2026-09-24T01:35:15,10.6,5,595.1,7.9,4.717,7.835,
2026-09-24T01:35:21,15.8,5,934.0,11.4,4.386,7.869,
2026-09-24T01:35:26,21.0,5,1071.6,23.7,4.254,7.899,
2026-09-24T01:35:31,26.2,5,1071.6,26.5,4.158,7.899,
2026-09-24T01:35:36,31.4,5,2072.5,23.1,3.150,7.899,ram_alert
2026-09-24T01:35:41,36.5,5,1808.0,16.1,3.504,7.898,ram_alert
2026-09-24T01:35:47,41.8,5,2112.5,23.1,3.178,7.898,ram_alert
2026-09-24T01:35:52,47.0,5,2215.3,31.3,3.175,7.898,ram_alert
2026-09-24T01:35:57,52.3,5,2292.7,17.5,2.944,7.898,ram_alert
2026-09-24T01:36:02,57.5,5,2244.3,8.2,2.920,7.898,ram_alert
2026-09-24T01:36:07,62.6,5,2404.4,9.3,2.754,7.898,ram_alert
2026-09-24T01:36:13,67.7,5,2421.8,8.3,3.029,7.897,ram_alert
2026-09-24T01:36:18,72.9,5,2404.1,8.3,3.021,7.896,ram_alert
2026-09-24T01:36:23,78.1,5,2423.6,8.2,3.034,7.896,ram_alert
2026-09-24T01:36:28,83.3,5,2418.2,8.3,3.001,7.898,ram_alert
2026-09-24T01:36:33,88.5,5,2415.2,8.2,3.027,7.898,ram_alert
2026-09-24T01:36:39,93.7,5,2415.5,8.2,3.031,7.898,ram_alert
2026-09-24T01:36:44,98.9,5,2413.5,8.3,3.066,7.897,ram_alert
2026-09-24T01:36:49,104.1,5,2409.2,8.3,3.015,7.896,ram_alert
2026-09-24T01:36:54,109.3,5,2415.2,8.3,2.976,7.896,ram_alert
2026-09-24T01:36:59,114.5,5,2404.3,8.3,3.019,7.896,ram_alert
2026-09-24T01:37:04,119.6,5,2418.9,8.4,2.959,7.896,ram_alert
2026-09-24T01:37:10,124.8,5,2272.3,10.0,3.137,7.896,ram_alert
2026-09-24T01:37:15,130.0,5,2427.6,30.9,3.034,7.896,ram_alert
2026-09-24T01:37:20,135.4,5,2299.1,29.7,3.130,7.896,ram_alert
2026-09-24T01:37:25,140.6,5,2338.7,31.2,2.970,7.895,ram_alert
2026-09-24T01:37:31,145.8,5,2468.7,32.1,2.948,7.895,ram_alert
2026-09-24T01:37:36,151.0,5,2299.0,31.0,3.164,7.895,ram_alert
2026-09-24T01:37:41,156.3,5,2427.7,31.9,3.087,7.895,ram_alert
2026-09-24T01:37:46,161.5,5,2427.7,32.2,3.113,7.895,ram_alert
2026-09-24T01:37:51,166.6,5,2288.8,32.1,3.200,7.895,ram_alert
2026-09-24T01:37:57,171.8,5,2320.1,31.5,3.008,7.895,ram_alert
2026-09-24T01:38:02,177.0,5,2486.5,32.6,3.149,7.894,ram_alert
2026-09-24T01:38:07,182.2,5,2302.3,32.2,3.155,7.894,ram_alert
2026-09-24T01:38:12,187.4,5,2268.6,32.0,3.190,7.894,ram_alert
2026-09-24T01:38:17,192.6,5,2427.7,30.8,3.155,7.894,ram_alert
2026-09-24T01:38:23,197.9,5,2301.0,29.9,3.195,7.894,ram_alert
2026-09-24T01:38:28,203.1,5,2277.6,32.4,3.119,7.893,ram_alert
2026-09-24T01:38:33,208.4,5,2343.4,11.5,3.106,7.893,ram_alert
2026-09-24T01:38:38,213.5,5,2343.6,8.3,3.109,7.893,ram_alert
2026-09-24T01:38:44,218.7,5,2280.6,9.2,3.146,7.893,ram_alert
2026-09-24T01:38:49,223.8,5,2280.6,8.3,3.199,7.893,ram_alert
2026-09-24T01:38:54,229.0,5,2603.6,9.4,2.895,7.893,ram_alert
2026-09-24T01:38:59,234.2,5,2603.6,8.2,2.885,7.893,ram_alert
