time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-24T02:06:33,0.0,3,29.0,0.0,5.082,7.820,
2026-09-24T02:06:38,5.4,5,429.5,5.7,4.601,7.819,
2026-09-24T02:06:43,10.6,5,586.8,7.9,4.550,7.819,
2026-09-24T02:06:48,15.8,5,1047.1,11.7,4.083,7.819,
2026-09-24T02:06:54,20.9,5,1070.5,27.5,4.051,7.818,
2026-09-24T02:06:59,26.1,5,1070.5,27.0,4.050,7.818,
2026-09-24T02:07:04,31.3,5,2103.1,21.1,3.138,7.818,ram_alert
2026-09-24T02:07:09,36.4,5,1920.1,18.9,3.299,7.818,ram_alert
2026-09-24T02:07:14,41.7,5,2088.7,23.1,3.119,7.818,ram_alert
2026-09-24T02:07:20,46.9,5,2214.3,32.3,3.174,7.818,ram_alert
2026-09-24T02:07:25,52.0,5,2291.7,14.2,2.976,7.818,ram_alert
2026-09-24T02:07:30,57.2,5,2291.7,8.4,2.980,7.817,ram_alert
2026-09-24T02:07:35,62.4,5,2461.6,9.3,2.789,7.817,ram_alert
2026-09-24T02:07:40,67.5,5,2461.6,8.4,2.763,7.817,ram_alert
2026-09-24T02:07:45,72.7,5,2444.3,8.2,2.831,7.817,ram_alert
2026-09-24T02:07:51,77.9,5,2467.6,8.3,2.784,7.817,ram_alert
2026-09-24T02:07:56,83.1,5,2506.6,8.3,2.753,7.817,ram_alert
2026-09-24T02:08:01,88.3,5,2464.6,8.3,2.817,7.816,ram_alert
2026-09-24T02:08:06,93.5,5,2447.5,8.3,2.796,7.816,ram_alert
2026-09-24T02:08:11,98.6,5,2449.7,8.3,2.784,7.816,ram_alert
2026-09-24T02:08:16,103.8,5,2447.5,8.3,2.789,7.816,ram_alert
2026-09-24T02:08:22,109.0,5,2449.6,8.2,2.747,7.816,ram_alert
2026-09-24T02:08:27,114.1,5,2509.6,8.3,2.696,7.815,ram_alert
2026-09-24T02:08:32,119.3,5,2469.6,8.3,2.732,7.815,ram_alert
2026-09-24T02:08:37,124.5,5,2364.5,22.7,2.720,7.815,ram_alert
2026-09-24T02:08:42,129.7,5,2328.5,31.1,2.883,7.815,ram_alert
2026-09-24T02:08:48,134.9,5,2472.3,32.6,2.854,7.815,ram_alert
2026-09-24T02:08:53,140.1,5,2461.4,31.8,2.794,7.815,ram_alert
2026-09-24T02:08:58,145.2,5,2331.5,32.1,2.925,7.814,ram_alert
2026-09-24T02:09:03,150.5,5,2472.9,32.0,2.890,7.814,ram_alert
2026-09-24T02:09:08,155.7,5,2355.8,31.2,2.930,7.816,ram_alert
2026-09-24T02:09:14,160.9,5,2320.2,31.7,2.965,7.815,ram_alert
2026-09-24T02:09:19,166.1,5,2472.9,31.9,2.838,7.815,ram_alert
2026-09-24T02:09:24,171.3,5,2336.9,32.3,2.912,7.815,ram_alert
2026-09-24T02:09:29,176.6,5,2472.9,32.3,2.864,7.815,ram_alert
2026-09-24T02:09:34,181.8,5,2430.4,32.6,2.791,7.815,ram_alert
2026-09-24T02:09:40,186.9,5,2346.3,32.6,2.910,7.815,ram_alert
2026-09-24T02:09:45,192.1,5,2512.5,30.1,2.810,7.815,ram_alert
2026-09-24T02:09:50,197.3,5,2472.9,31.7,2.955,7.814,ram_alert
2026-09-24T02:09:55,202.5,5,2382.6,27.5,2.897,7.814,ram_alert
2026-09-24T02:10:00,207.7,5,2382.7,8.3,2.903,7.814,ram_alert
2026-09-24T02:10:06,212.9,5,2356.3,9.4,2.930,7.814,ram_alert
2026-09-24T02:10:11,218.0,5,2356.3,8.3,2.920,7.814,ram_alert
2026-09-24T02:10:16,223.2,5,2679.3,9.0,2.646,7.814,ram_alert
2026-09-24T02:10:21,228.4,5,2679.3,8.6,2.646,7.813,ram_alert
2026-09-24T02:10:26,233.6,5,2917.6,8.2,2.394,7.813,ram_alert kill
