time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-22T22:43:37,0.0,3,29.1,0.0,5.053,8.794,
2026-09-22T22:43:42,5.4,5,472.8,7.0,4.520,8.794,
2026-09-22T22:43:47,10.5,5,542.9,8.1,4.577,8.794,
2026-09-22T22:43:52,15.7,5,543.1,8.2,4.571,8.793,
2026-09-22T22:43:58,20.9,5,543.1,8.3,4.553,8.793,
2026-09-22T22:44:03,26.0,5,543.3,8.3,4.546,8.793,
2026-09-22T22:44:08,31.2,5,543.2,8.3,4.544,8.793,
2026-09-22T22:44:13,36.3,5,543.2,8.3,4.614,8.792,
2026-09-22T22:44:18,41.5,5,543.2,8.3,4.600,8.792,
2026-09-22T22:44:23,46.6,5,543.2,8.3,4.594,8.792,
2026-09-22T22:44:29,51.8,5,543.2,8.3,4.618,8.792,
2026-09-22T22:44:34,56.9,5,543.4,8.3,4.619,8.791,
2026-09-22T22:44:39,62.1,5,543.2,8.3,4.619,8.791,
2026-09-22T22:44:44,67.2,5,560.3,9.2,4.601,8.791,
