time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-23T09:56:57,0.1,3,35.5,0.0,4.645,6.780,
2026-09-23T09:57:02,5.6,5,490.3,6.7,4.801,6.780,
2026-09-23T09:57:07,10.8,5,538.5,28.3,4.765,6.780,
2026-09-23T09:57:12,16.0,5,544.2,34.2,4.762,6.780,
2026-09-23T09:57:18,21.1,5,545.1,34.4,4.766,6.779,
2026-09-23T09:57:23,26.3,5,538.1,34.4,4.780,6.779,
2026-09-23T09:57:28,31.5,5,535.5,34.5,4.778,6.779,
2026-09-23T09:57:33,36.7,5,530.9,34.5,4.796,6.778,
2026-09-23T09:57:38,41.8,5,533.4,33.8,4.788,6.778,
2026-09-23T09:57:44,47.0,5,529.9,34.2,4.803,6.778,
2026-09-23T09:57:49,52.2,5,536.0,34.5,4.806,6.778,
2026-09-23T09:57:54,57.3,5,536.0,34.3,4.878,6.777,
2026-09-23T09:57:59,62.5,5,545.2,34.4,4.879,6.777,
