time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-22T23:31:08,0.0,3,30.4,0.0,4.771,8.827,
2026-09-22T23:31:13,5.4,5,453.6,6.8,4.323,8.826,
2026-09-22T23:31:18,10.6,5,751.7,9.2,4.040,8.826,
2026-09-22T23:31:23,15.8,5,762.3,32.8,3.993,8.826,ram_alert
2026-09-22T23:31:28,21.0,5,776.0,32.8,3.992,8.826,ram_alert
2026-09-22T23:31:34,26.2,5,785.5,33.4,3.983,8.826,ram_alert
2026-09-22T23:31:39,31.4,5,792.7,32.0,3.952,8.825,ram_alert
2026-09-22T23:31:44,36.6,5,801.3,32.5,3.937,8.825,ram_alert
2026-09-22T23:31:49,41.8,5,806.5,33.1,3.975,8.825,ram_alert
2026-09-22T23:31:55,47.0,5,815.5,17.7,3.954,8.825,ram_alert
2026-09-22T23:32:00,52.2,5,818.1,33.0,3.929,8.825,ram_alert
2026-09-22T23:32:05,57.4,5,821.2,33.2,3.935,8.825,ram_alert
2026-09-22T23:32:10,62.6,5,823.3,33.1,3.957,8.824,ram_alert
2026-09-22T23:32:15,67.8,5,825.7,33.4,3.985,8.824,ram_alert
2026-09-22T23:32:20,73.0,5,828.2,33.1,3.979,8.824,ram_alert
2026-09-22T23:32:26,78.1,5,829.7,33.3,3.986,8.824,ram_alert
2026-09-22T23:32:31,83.3,5,727.0,18.7,4.084,8.824,
2026-09-22T23:32:36,88.5,5,861.5,32.3,3.975,8.824,ram_alert
2026-09-22T23:32:41,93.7,5,871.8,33.1,3.961,8.824,ram_alert
2026-09-22T23:32:46,98.8,5,879.2,33.0,3.962,8.823,ram_alert
2026-09-22T23:32:52,104.0,5,886.1,32.9,3.879,8.822,ram_alert
2026-09-22T23:32:57,109.2,5,893.3,33.2,3.829,8.822,ram_alert
2026-09-22T23:33:02,114.4,5,900.9,33.2,3.832,8.822,ram_alert
2026-09-22T23:33:07,119.6,5,908.2,33.2,3.847,8.822,ram_alert
2026-09-22T23:33:12,124.8,5,915.5,32.9,3.863,8.822,ram_alert
2026-09-22T23:33:17,130.0,5,923.0,33.1,3.870,8.821,ram_alert
2026-09-22T23:33:23,135.2,5,926.9,33.2,3.903,8.821,ram_alert
2026-09-22T23:33:28,140.4,5,815.2,20.7,4.034,8.821,
2026-09-22T23:33:33,145.6,5,829.0,33.1,4.020,8.821,
2026-09-22T23:33:38,150.7,5,839.9,33.3,4.012,8.821,
2026-09-22T23:33:43,155.9,5,849.8,33.2,4.003,8.821,
2026-09-22T23:33:49,161.1,5,855.7,33.4,3.997,8.821,ram_alert
