time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-22T23:11:53,0.0,3,30.2,0.0,4.640,8.673,
2026-09-22T23:11:58,5.4,5,462.6,6.2,4.165,8.672,
2026-09-22T23:12:03,10.5,5,751.4,10.0,3.892,8.672,ram_alert
2026-09-22T23:12:09,15.7,5,754.7,33.0,3.870,8.672,ram_alert
2026-09-22T23:12:14,20.9,5,757.9,33.2,3.892,8.671,ram_alert
2026-09-22T23:12:19,26.1,5,762.9,32.8,3.911,8.671,ram_alert
2026-09-22T23:12:24,31.3,5,768.6,33.1,3.912,8.671,ram_alert
2026-09-22T23:12:29,36.4,5,772.6,33.2,3.939,8.670,ram_alert
2026-09-22T23:12:34,41.6,5,775.8,33.2,3.923,8.670,ram_alert
2026-09-22T23:12:40,46.8,5,755.2,33.0,4.127,8.670,
2026-09-22T23:12:45,52.0,5,759.9,33.1,4.105,8.670,
2026-09-22T23:12:50,57.2,5,763.4,32.5,4.051,8.669,
2026-09-22T23:12:55,62.4,5,766.3,32.7,4.040,8.669,
2026-09-22T23:13:00,67.6,5,770.1,32.7,4.036,8.668,
2026-09-22T23:13:06,72.8,5,773.7,32.9,4.028,8.668,
2026-09-22T23:13:11,78.0,5,776.8,31.2,4.009,8.668,
2026-09-22T23:13:16,83.2,5,779.9,31.8,3.948,8.667,ram_alert
2026-09-22T23:13:21,88.5,5,783.2,32.3,3.964,8.667,ram_alert
2026-09-22T23:13:26,93.7,5,786.4,32.9,3.996,8.667,ram_alert
2026-09-22T23:13:32,98.9,5,788.4,33.0,3.978,8.667,ram_alert
2026-09-22T23:13:37,104.1,5,790.1,33.3,4.013,8.666,
2026-09-22T23:13:42,109.3,5,792.5,32.7,4.047,8.666,
2026-09-22T23:13:47,114.5,5,672.3,28.5,4.115,8.666,
2026-09-22T23:13:52,119.7,5,811.6,22.1,3.884,8.666,ram_alert
2026-09-22T23:13:58,124.9,5,812.2,32.9,3.888,8.665,ram_alert
2026-09-22T23:14:03,130.1,5,812.9,33.1,3.911,8.673,ram_alert
2026-09-22T23:14:08,135.3,5,814.0,33.0,3.928,8.672,ram_alert
2026-09-22T23:14:13,140.5,5,815.4,33.1,3.928,8.672,ram_alert
2026-09-22T23:14:18,145.7,5,816.4,33.2,3.942,8.672,ram_alert
2026-09-22T23:14:24,150.9,5,817.0,33.0,3.903,8.672,ram_alert
2026-09-22T23:14:29,156.0,5,817.7,33.1,3.927,8.672,ram_alert
2026-09-22T23:14:34,161.2,5,818.3,33.0,3.954,8.671,ram_alert
