time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-22T23:27:25,0.0,3,30.4,0.0,4.742,8.848,
2026-09-22T23:27:30,5.4,5,469.4,7.0,4.337,8.848,
2026-09-22T23:27:35,10.5,5,752.4,10.1,4.061,8.848,
2026-09-22T23:27:40,15.7,5,739.8,32.8,4.283,8.847,
2026-09-22T23:27:45,20.9,5,750.6,33.1,4.239,8.847,
2026-09-22T23:27:51,26.1,5,760.0,33.2,4.221,8.847,
2026-09-22T23:27:56,31.3,5,767.4,33.1,4.119,8.847,
2026-09-22T23:28:01,36.5,5,777.5,33.2,4.143,8.847,
2026-09-22T23:28:06,41.7,5,787.6,33.3,4.110,8.847,
2026-09-22T23:28:11,46.9,5,792.8,33.1,4.115,8.846,
2026-09-22T23:28:17,52.1,5,809.4,18.2,4.040,8.846,
2026-09-22T23:28:22,57.3,5,811.0,33.0,4.039,8.846,
2026-09-22T23:28:27,62.5,5,813.5,33.0,4.055,8.846,
2026-09-22T23:28:32,67.7,5,815.2,33.0,3.944,8.846,ram_alert
2026-09-22T23:28:37,72.9,5,816.8,32.7,3.995,8.846,ram_alert
2026-09-22T23:28:43,78.1,5,818.5,33.0,4.017,8.845,
2026-09-22T23:28:48,83.3,5,820.3,32.7,3.958,8.835,ram_alert
2026-09-22T23:28:53,88.6,5,822.0,32.8,3.837,8.835,ram_alert
2026-09-22T23:28:58,93.8,5,823.1,32.9,3.844,8.835,ram_alert
2026-09-22T23:29:04,99.0,5,824.2,32.5,3.880,8.835,ram_alert
2026-09-22T23:29:09,104.2,5,830.1,16.6,3.816,8.835,ram_alert
2026-09-22T23:29:14,109.4,5,835.3,32.5,3.750,8.834,ram_alert
2026-09-22T23:29:19,114.6,5,843.7,33.2,3.859,8.834,ram_alert
2026-09-22T23:29:24,119.9,5,849.1,32.7,3.824,8.834,ram_alert
2026-09-22T23:29:30,125.1,5,854.5,32.5,3.974,8.834,ram_alert
2026-09-22T23:29:35,130.3,5,860.8,33.0,3.970,8.834,ram_alert
2026-09-22T23:29:40,135.5,5,866.9,33.1,4.017,8.834,
2026-09-22T23:29:45,140.7,5,872.8,32.8,3.977,8.834,ram_alert
2026-09-22T23:29:50,145.8,5,877.9,32.8,4.000,8.833,
2026-09-22T23:29:56,151.0,5,883.2,33.2,3.894,8.833,ram_alert
2026-09-22T23:30:01,156.2,5,888.4,32.8,3.928,8.833,ram_alert
2026-09-22T23:30:06,161.5,5,893.5,32.8,3.980,8.832,ram_alert
2026-09-22T23:30:11,166.7,5,899.2,33.1,3.982,8.832,ram_alert
2026-09-22T23:30:16,171.9,5,902.1,33.2,3.941,8.832,ram_alert
2026-09-22T23:30:22,177.1,5,804.6,20.5,4.053,8.832,
2026-09-22T23:30:27,182.3,5,814.1,33.2,4.070,8.832,
2026-09-22T23:30:32,187.5,5,824.4,32.9,3.983,8.829,ram_alert
2026-09-22T23:30:37,192.7,5,832.9,32.8,4.034,8.828,
2026-09-22T23:30:42,197.9,5,841.2,33.2,4.052,8.828,
2026-09-22T23:30:48,203.1,5,846.1,33.1,4.031,8.828,
