time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-23T09:58:47,0.0,3,35.0,0.0,5.021,6.775,
2026-09-23T09:58:53,5.6,5,460.9,6.1,4.551,6.775,
2026-09-23T09:58:58,10.7,5,636.1,7.5,4.258,6.774,
2026-09-23T09:59:03,15.9,5,667.4,31.7,4.411,6.774,
2026-09-23T09:59:08,21.1,5,651.3,27.6,4.353,6.774,
2026-09-23T09:59:13,26.2,5,678.8,22.2,4.339,6.774,
2026-09-23T09:59:19,31.4,5,681.7,32.9,4.348,6.773,
2026-09-23T09:59:24,36.5,5,660.8,16.3,4.451,6.773,
2026-09-23T09:59:29,41.6,5,693.6,28.5,4.432,6.773,
2026-09-23T09:59:34,46.8,5,703.7,32.7,4.415,6.773,
2026-09-23T09:59:39,52.0,5,707.6,32.9,4.458,6.772,
2026-09-23T09:59:44,57.2,5,675.4,19.0,4.514,6.772,
2026-09-23T09:59:50,62.3,5,683.5,32.3,4.463,6.772,
