time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-23T10:08:07,0.0,3,35.2,0.0,5.072,6.744,
2026-09-23T10:08:12,5.6,5,455.0,6.1,4.708,6.743,
2026-09-23T10:08:17,10.8,5,648.4,7.9,4.563,6.743,
2026-09-23T10:08:23,15.9,5,667.8,31.2,4.573,6.743,
2026-09-23T10:08:28,21.1,5,649.6,24.3,4.595,6.743,
2026-09-23T10:08:33,26.3,5,677.6,26.6,4.526,6.743,
2026-09-23T10:08:38,31.5,5,680.0,32.6,4.485,6.742,
2026-09-23T10:08:43,36.7,5,630.3,20.7,4.169,6.743,
2026-09-23T10:08:49,41.9,5,688.9,14.5,3.884,6.742,ram_alert
2026-09-23T10:08:54,47.1,5,693.7,31.7,4.134,6.742,
2026-09-23T10:08:59,52.3,5,701.3,32.0,3.733,6.742,ram_alert
2026-09-23T10:09:04,57.5,5,705.2,33.0,4.499,6.742,
2026-09-23T10:09:09,62.7,5,651.8,21.9,4.541,6.741,
2026-09-23T10:09:15,67.9,5,678.5,29.8,4.508,6.741,
