time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-23T10:47:09,0.1,3,33.8,0.0,2.304,6.643,
2026-09-23T10:47:15,5.7,5,120.8,1.8,1.886,6.644,
2026-09-23T10:47:20,11.0,5,390.6,4.1,1.956,6.643,
2026-09-23T10:47:26,16.2,5,491.5,6.0,1.855,6.643,
2026-09-23T10:47:31,21.4,5,594.1,6.1,1.818,6.642,
2026-09-23T10:47:36,26.5,5,626.3,8.5,2.119,6.642,
2026-09-23T10:47:41,31.8,5,635.0,7.6,1.756,6.640,
2026-09-23T10:47:46,37.0,5,647.2,7.7,1.752,6.639,
2026-09-23T10:47:52,42.3,5,1165.6,30.1,1.248,6.636,ram_alert
2026-09-23T10:47:57,47.6,5,826.5,31.8,2.019,6.634,
2026-09-23T10:48:02,52.8,5,747.8,30.5,2.272,6.631,
2026-09-23T10:48:08,58.2,5,1023.7,25.4,1.599,6.630,
2026-09-23T10:48:13,63.4,5,1015.6,8.3,1.717,6.630,
2026-09-23T10:48:18,68.5,5,1003.3,12.1,2.084,6.636,
2026-09-23T10:48:23,73.8,5,1178.0,32.2,1.895,6.636,
2026-09-23T10:48:28,78.9,5,963.1,13.4,1.663,6.636,
2026-09-23T10:48:34,84.1,5,964.7,8.4,2.034,6.635,
2026-09-23T10:48:39,89.5,5,1226.6,15.5,1.850,6.632,
2026-09-23T10:48:44,94.9,5,1205.9,26.1,1.752,6.630,
