time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-23T10:49:41,0.1,3,34.1,0.0,2.725,6.621,
2026-09-23T10:49:46,5.6,5,389.0,4.3,1.918,6.620,
2026-09-23T10:49:52,10.8,5,604.8,7.3,2.200,6.620,
2026-09-23T10:49:57,16.0,5,641.2,9.9,2.029,6.620,
2026-09-23T10:50:02,21.2,5,646.7,8.2,1.963,6.621,
2026-09-23T10:50:07,26.4,5,1108.8,21.7,1.769,6.621,
2026-09-23T10:50:12,31.6,5,820.5,32.6,2.101,6.620,
2026-09-23T10:50:17,36.8,5,909.2,32.7,2.016,6.617,
2026-09-23T10:50:23,42.2,5,1014.3,21.1,1.916,6.615,
2026-09-23T10:50:28,47.4,5,1025.6,8.2,1.870,6.612,
2026-09-23T10:50:33,52.5,5,1211.3,20.5,1.774,6.609,
2026-09-23T10:50:38,57.7,5,954.9,24.6,2.000,6.609,
2026-09-23T10:50:44,62.8,5,981.5,8.3,1.978,6.609,
2026-09-23T10:50:49,68.1,5,1299.5,17.6,1.669,6.609,
