time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-22T23:48:53,0.0,3,30.4,0.0,4.723,8.751,
2026-09-22T23:48:59,5.4,5,466.3,6.8,4.240,8.751,
2026-09-22T23:49:04,10.6,5,624.1,7.8,4.098,8.750,
2026-09-22T23:49:09,15.8,5,978.5,20.2,3.757,8.750,ram_alert
2026-09-22T23:49:14,21.0,5,1010.2,8.3,3.730,8.750,ram_alert
2026-09-22T23:49:19,26.2,5,1014.4,8.2,3.747,8.750,ram_alert
2026-09-22T23:49:25,31.3,5,1007.4,8.3,3.744,8.749,ram_alert
2026-09-22T23:49:30,36.5,5,1042.7,8.3,3.728,8.749,ram_alert
2026-09-22T23:49:35,41.6,5,1043.7,8.3,3.719,8.749,ram_alert
2026-09-22T23:49:40,46.8,5,1079.6,8.2,3.741,8.749,ram_alert
2026-09-22T23:49:45,51.9,5,1156.9,8.3,3.665,8.749,ram_alert
2026-09-22T23:49:50,57.1,5,1202.2,8.2,3.750,8.749,ram_alert
2026-09-22T23:49:56,62.3,5,1100.4,8.3,3.638,8.748,ram_alert
2026-09-22T23:50:01,67.5,5,1099.6,8.3,3.702,8.748,ram_alert
2026-09-22T23:50:06,72.7,5,1095.5,8.2,3.701,8.748,ram_alert
2026-09-22T23:50:11,77.9,5,1098.5,8.3,3.711,8.748,ram_alert
2026-09-22T23:50:16,83.0,5,1099.3,8.3,3.730,8.748,ram_alert
2026-09-22T23:50:22,88.2,5,1101.0,8.3,3.716,8.748,ram_alert
2026-09-22T23:50:27,93.4,5,1100.3,8.2,3.736,8.748,ram_alert
2026-09-22T23:50:32,98.5,5,1101.4,8.3,3.739,8.747,ram_alert
2026-09-22T23:50:37,103.7,5,1102.4,8.3,3.734,8.747,ram_alert
2026-09-22T23:50:42,108.9,5,1145.2,8.2,3.696,8.747,ram_alert
2026-09-22T23:50:47,114.0,5,1145.5,8.3,3.695,8.747,ram_alert
2026-09-22T23:50:52,119.2,5,1154.7,8.3,3.698,8.747,ram_alert
2026-09-22T23:50:58,124.3,5,1159.5,8.3,3.678,8.747,ram_alert
2026-09-22T23:51:03,129.5,5,1163.7,8.3,3.661,8.747,ram_alert
2026-09-22T23:51:08,134.7,5,1175.4,8.3,3.673,8.746,ram_alert
2026-09-22T23:51:13,139.8,5,1191.7,8.3,3.658,8.746,ram_alert
2026-09-22T23:51:18,145.0,5,1198.8,8.3,3.659,8.746,ram_alert
2026-09-22T23:51:23,150.2,5,1199.0,8.3,3.607,8.746,ram_alert
2026-09-22T23:51:29,155.3,5,1207.1,8.3,3.616,8.746,ram_alert
2026-09-22T23:51:34,160.5,5,1213.4,8.3,3.614,8.746,ram_alert
2026-09-22T23:51:39,165.7,5,1213.7,8.3,3.636,8.746,ram_alert
2026-09-22T23:51:44,170.8,5,1213.6,8.3,3.632,8.745,ram_alert
2026-09-22T23:51:49,176.0,5,1212.9,8.3,3.628,8.745,ram_alert
