time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-23T10:00:46,0.1,3,35.1,0.0,4.848,6.767,
2026-09-23T10:00:52,5.6,5,429.4,6.4,4.355,6.767,
2026-09-23T10:00:57,10.8,5,615.3,7.8,4.228,6.767,
2026-09-23T10:01:02,16.0,5,712.6,20.6,4.330,6.766,
2026-09-23T10:01:07,21.1,5,731.2,8.3,4.336,6.766,
2026-09-23T10:01:12,26.3,5,770.1,8.3,4.307,6.766,
2026-09-23T10:01:18,31.4,5,770.2,8.3,4.232,6.765,
2026-09-23T10:01:23,36.6,5,766.3,8.2,4.195,6.765,
2026-09-23T10:01:28,41.7,5,766.9,8.3,4.136,6.765,
2026-09-23T10:01:33,46.9,5,771.8,8.3,4.244,6.765,
2026-09-23T10:01:38,52.0,5,772.1,8.3,4.203,6.765,
