time_iso,elapsed_s,tree_n,tree_ws_mb,tree_cpu_pct,avail_ram_gb,disk_free_gb,flag
2026-09-22T23:45:36,0.0,3,30.6,0.0,4.696,8.768,
2026-09-22T23:45:41,5.5,5,464.1,6.5,4.252,8.767,
2026-09-22T23:45:46,10.6,5,676.3,12.1,4.035,8.766,
2026-09-22T23:45:52,15.8,5,639.9,33.2,4.024,8.765,
2026-09-22T23:45:57,21.0,5,641.5,33.1,4.014,8.765,
2026-09-22T23:46:02,26.2,5,643.3,33.2,4.004,8.765,
2026-09-22T23:46:07,31.4,5,644.4,33.2,4.014,8.763,
2026-09-22T23:46:12,36.6,5,646.8,33.1,4.004,8.763,
2026-09-22T23:46:17,41.8,5,648.5,32.7,4.034,8.763,
2026-09-22T23:46:23,47.0,5,657.2,33.1,3.977,8.761,ram_alert
2026-09-22T23:46:28,52.2,5,657.8,33.2,4.002,8.760,
2026-09-22T23:46:33,57.4,5,658.4,33.1,4.006,8.760,
2026-09-22T23:46:38,62.6,5,651.4,33.1,4.041,8.760,
2026-09-22T23:46:43,67.8,5,652.0,33.3,4.038,8.760,
2026-09-22T23:46:49,73.0,5,652.6,32.8,4.018,8.760,
2026-09-22T23:46:54,78.1,5,652.2,33.1,4.068,8.760,
2026-09-22T23:46:59,83.3,5,652.2,33.0,4.028,8.760,
2026-09-22T23:47:04,88.6,5,652.7,33.0,4.018,8.760,
2026-09-22T23:47:09,93.7,5,652.9,33.1,4.026,8.760,
2026-09-22T23:47:15,98.9,5,652.1,33.2,4.058,8.759,
2026-09-22T23:47:20,104.1,5,652.5,33.2,4.051,8.759,
2026-09-22T23:47:25,109.3,5,593.4,31.1,4.417,8.759,
